股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
000007,全新好,254,2025-08-22,2026-09-08,True,True,False
000011,深物业A,29,2026-07-30,2026-09-08,True,False,False
000017,深中华A,28,2026-07-31,2026-09-08,True,False,False
000020,深华发Ａ,280,2025-07-17,2026-09-08,True,True,False
000026,飞亚达,280,2025-07-17,2026-09-08,True,True,False
000048,京基智农,121,2026-03-17,2026-09-08,True,False,False
000059,华锦股份,121,2026-03-17,2026-09-08,True,False,False
000062,深圳华强,280,2025-07-17,2026-09-08,True,True,False
000428,华天酒店,123,2026-03-13,2026-09-08,True,False,False
000505,京粮控股,121,2026-03-17,2026-09-08,True,False,False
000506,招金黄金,121,2026-03-17,2026-09-08,True,False,False
000510,新金路,121,2026-03-17,2026-09-08,True,False,False
000517,荣安地产,29,2026-07-30,2026-09-08,True,False,False
000520,凤凰航运,253,2025-08-25,2026-09-08,True,True,False
000523,红棉股份,280,2025-07-17,2026-09-08,True,True,False
000526,学大教育,254,2025-08-22,2026-09-08,True,True,False
000536,华映科技,280,2025-07-17,2026-09-08,True,True,False
000560,我爱我家,28,2026-07-31,2026-09-08,True,False,False
000592,平潭发展,121,2026-03-17,2026-09-08,True,False,False
000596,古井贡酒,280,2025-07-17,2026-09-08,True,True,False
000603,盛达资源,121,2026-03-17,2026-09-08,True,False,False
000620,盈新发展,29,2026-07-30,2026-09-08,True,False,False
000626,远大控股,121,2026-03-17,2026-09-08,True,False,False
000628,高新发展,29,2026-07-30,2026-09-08,True,False,False
000635,英 力 特,29,2026-07-28,2026-09-08,True,False,False
000657,中钨高新,29,2026-07-30,2026-09-08,True,False,False
000670,盈方微,254,2025-08-08,2026-09-08,True,True,False
000712,锦龙股份,28,2026-07-31,2026-09-08,True,False,False
000716,黑芝麻,29,2026-07-30,2026-09-08,True,False,False
000720,新能泰山,254,2025-08-22,2026-09-08,True,True,False
000721,西安饮食,254,2025-08-22,2026-09-08,True,True,False
000723,美锦能源,255,2025-08-21,2026-09-08,True,True,False
000735,罗 牛 山,255,2025-08-21,2026-09-08,True,True,False
000737,北方铜业,121,2026-03-17,2026-09-08,True,False,False
000759,中百集团,280,2025-07-16,2026-09-07,False,True,True
000798,中水渔业,26,2026-08-04,2026-09-08,True,False,False
000811,冰轮环境,29,2026-07-30,2026-09-08,True,False,False
000831,中国稀土,29,2026-07-30,2026-09-08,True,False,False
000859,国风新材,29,2026-07-30,2026-09-08,True,False,False
000887,中鼎股份,254,2025-08-22,2026-09-08,True,True,False
000889,中嘉博创,254,2025-08-22,2026-09-08,True,True,False
000890,法尔胜,29,2026-07-30,2026-09-08,True,False,False
000892,欢瑞世纪,29,2026-07-30,2026-09-08,True,False,False
000912,泸天化,121,2026-03-17,2026-09-08,True,False,False
000931,中 关 村,29,2026-07-30,2026-09-08,True,False,False
000938,紫光股份,27,2026-08-03,2026-09-08,True,False,False
000960,锡业股份,29,2026-07-30,2026-09-08,True,False,False
000962,东方钽业,29,2026-07-30,2026-09-08,True,False,False
000975,山金国际,29,2026-07-30,2026-09-08,True,False,False
000977,浪潮信息,121,2026-03-17,2026-09-08,True,False,False
000978,桂林旅游,280,2025-07-16,2026-09-07,False,True,True
000989,九芝堂,29,2026-07-30,2026-09-08,True,False,False
001210,金房能源,254,2025-08-22,2026-09-08,True,True,False
001223,欧克科技,280,2025-07-17,2026-09-08,True,True,False
001258,立新能源,29,2026-07-30,2026-09-08,True,False,False
001268,联合精密,251,2025-08-27,2026-09-08,True,True,False
001277,速达股份,123,2026-03-13,2026-09-08,True,False,False
