股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,有效突破阶段,有效突破观察资格,有效突破确认,整理交易日数,整理超过一周,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,N型走势,有效突破确认路径,平台上方横盘振幅,微平台上沿,微平台再突破量比,有效突破原因,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,明显右侧,短周期整理合格,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
601595,上海电影,24.64,0.022406639004149298,0.07457479284779778,0.0859409431467606,0.49969567863664044,0.48612786489746695,0.4888217522658609,,0.1434977578475336,-0.0337254901960784,0.3487064116985376,0.4115145378272819,15384412.8,25062835.4,0.6138336925757412,0.03288348356388513,0.05760627695969056,0.5708316055018628,True,0.029637950401797175,0.050233644859813076,True,3,3,收敛较充分,-0.04570100697134005,0.8852140077821012,0.1750679574610139,20.0104,0.23135969295966086,0.015983265297833116,0.051647309364877714,0.05848673511609759,,0.005303957568339346,22.3,21.19,0.104932735426009,0.16281264747522406,True,3,2026-09-08,沪深主板10%,17,10.02666666666665,RETEST_STABILIZING,True,False,4,False,23.84,2026-09-18,1.3716782150910376,0.8389102285445833,False,True,False,,0.13542600896860985,,0.9471534304369998,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,1,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
001210,金房能源,29.72,-0.01458885941644572,0.037347294938917974,-0.02397372742200332,0.10524358497582731,0.6809954751131222,0.306948109058927,,0.12228163992869874,-0.055908513341804356,0.16529850746268654,0.7397625169501415,4435407.4,9013625.6,0.4920780601315414,0.027088789431954533,0.06543982542303227,0.4139495980748802,True,0.029542723867411302,0.007732321102207118,True,3,3,收敛较充分,-0.055908513341804356,0.9022765130483066,0.03350546832889956,28.555999999999997,0.04076201148620262,0.0025981321536407975,0.04605806016052805,0.040595409052142095,,0.00745762711864395,28.05,26.8,0.0595365418894831,0.10895522388059686,True,1,2026-08-20,沪深主板10%,3,10.018484288354902,RETEST_STABILIZING,True,False,5,False,29.38,2026-09-21,1.540553397319166,0.5803879411012184,True,False,False,,0.028813559322033947,,,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,5,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300363,博腾股份,24.04,0.0033388981636059967,0.1328934967012252,0.16079188797682265,0.15134099616858232,0.5148078134845622,0.4802955665024631,,0.1777251184834123,-0.0325955734406439,0.19892473118279563,0.8934289739976945,22398685.8,22678920.7,0.9876433758154991,0.043277637243565904,0.04530156019864419,0.9553233278014372,True,0.07141525265709481,0.04997384812895267,True,3,3,收敛较充分,-0.0325955734406439,0.9302325581395346,0.15012917424169925,21.046,0.1422598118407299,0.004735806901292827,0.02651221403644799,0.06173428652711377,,0.017781541066892448,21.1,20.06,0.13933649289099503,0.19840478564307085,True,1,2026-08-20,创业板20%,9,20.000000000000018,RETEST_STABILIZING,True,False,4,False,21.71,2026-09-16,1.2145024520011622,1.0251772793981246,True,True,False,,0.14516129032258074,24.1,1.1078832373728054,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,5,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301151,冠龙节能,22.71,0.00044052863436139233,0.06920903954802271,0.014745308310992078,0.3469750889679717,0.37970838396111795,0.3889908256880734,,0.1139670223084383,-0.011319111885067401,0.11425781249999999,0.9974549644772721,4196514.8,7948282.8,0.5279775400039868,0.025403733419106234,0.0498518708513222,0.5095843543138053,True,0.04142857142857137,0.007803065490013861,True,3,3,收敛较充分,-0.028241335044929428,0.9251700680272109,0.08124836336801011,20.0416,0.1331430624301455,0.011895385236796896,0.043915730237031214,0.0268587318229474,,0.015652951699463458,20.62,20.48,0.10135790494665375,0.10888671875,True,1,2026-08-31,创业板20%,17,20.023148148148138,EFFECTIVE_BREAKOUT_CONFIRMED,True,True,5,False,21.89,2026-09-18,1.2561031322340936,0.758447524753955,True,True,False,ABOVE_PLATFORM_TIGHT_HOLD,0.03748870822041546,,0.8019533054017053,放量突破后在平台上方缩量横住，低点稳定并重新缓慢走强,True,True,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,5,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
603297,永新光学,115.38,0.003129890453834161,0.0904451375106321,0.09137343927355279,0.09749833539427377,0.1349596694865236,-0.21483497788363382,,0.11331632170872313,-0.03785857238158774,0.18502512562814066,0.6124374801747938,1166683.6,1265653.6,0.9218032485349862,0.010765763772425933,0.011887317787284427,0.9056512129205301,True,0.05407523510971757,0.020437039674656488,True,3,3,收敛较充分,-0.24524105449074385,0.43598615916955,0.056975737560747586,108.39080000000001,0.06448148735870562,0.0023599998520378307,0.014900952858575733,-0.03241842773124004,,0.007685589519650593,105.81,99.5,0.0904451375106321,0.1595979899497486,True,1,2026-08-31,沪深主板10%,17,9.997151808601545,RETEST_STABILIZING,True,False,3,False,112.8,2026-09-18,1.4445162390591186,0.8275914664327926,True,True,False,,0.052631578947368425,,0.9074761245201031,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,5,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000536,华映科技,3.63,-0.018918918918918948,0.08682634730538918,-0.00819672131147553,0.11349693251533743,0.17475728155339798,0.08358208955223878,,0.16363636363636366,-0.08333333333333337,0.15615615615615616,1.047902097902098,90921638.0,71215790.6,1.276706152301004,0.019559556167328934,0.02798115504622673,0.6990260457445464,True,0.03891509433962237,-0.0017167381974249052,True,3,2,部分收敛/待确认,-0.2292993630573249,0.42857142857142855,0.0166643327265088,3.492,0.03951890034364269,0.0042562981709421965,0.00981726283048201,0.0030700668482297466,,0.022535211267605604,3.3,3.3,0.10000000000000009,0.10000000000000009,True,2,2026-09-01,沪深主板10%,17,10.122699386503076,RETEST_STABILIZING,True,False,5,False,3.46,2026-09-18,1.9361873884160885,1.8400250791444186,True,False,False,,0.07563025210084034,,0.6937535290731988,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,False,False,True,True,True,True,True,True,True,True,True,True,False,3,0,1,1,3,1,4,0,13,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,24,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002138,顺络电子,54.35,0.01836237586659184,0.10109400324149109,0.12993762993763003,0.1444514634659928,0.3039827255278311,-0.2564979480164158,,0.1365208545269583,-0.027031865377730058,0.15320018157058557,0.8911272371048568,31732415.4,26853456.3,1.1816883102679039,0.03830547702069923,0.03504095900499549,1.0931629187214411,False,0.05227336796746007,0.03860836548977531,True,3,2,部分收敛/待确认,-0.3182388359257401,0.4682456508069588,0.11239600069588707,48.723200000000006,0.11548502561408114,0.0019906881858415826,0.010655732084450253,-0.060468167227026415,,0.02779878971255667,49.15,45.5,0.10579857578840302,0.19450549450549448,True,1,2026-09-07,沪深主板10%,17,10.002247696111466,RETEST_STABILIZING,True,False,3,False,51.45,2026-09-18,1.3015684070541635,1.0148008634001093,True,True,False,,0.0680688336520077,,1.0855366559524,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,False,False,False,True,True,True,True,True,True,True,True,False,3,1,0,1,3,1,4,0,13,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,24,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301489,思泉新材,128.8,-0.019786910197869045,0.04817708333333348,-0.04458126251761729,0.09161793372319704,0.279936400675743,-0.21740187143030743,,0.13784028291800304,-0.08981697406543698,0.24131578947368412,0.571202917217461,6861971.6,8704002.7,0.7883696543430531,0.0888541321579089,0.13038599844376214,0.6814698910806233,True,0.035740347349473955,-0.012639579986678307,False,3,2,部分收敛/待确认,-0.37993452724821875,0.36554385400755696,0.025224665886604436,122.16640000000001,0.054299709249024275,0.00347287249596695,0.041026703022354116,-0.05007819449811579,,-0.00831536803202948,121.59,114.0,0.059297639608520525,0.12982456140350895,True,1,2026-09-03,创业板20%,17,19.999999999999996,RETEST_STABILIZING,True,False,3,False,127.99,2026-09-18,1.4438528816668663,1.0559776110993722,True,False,False,,0.09255310747848061,,0.9924175027688894,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,False,True,True,True,True,True,True,True,False,3,1,1,0,3,1,4,0,13,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,24,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
603150,万朗磁塑,73.46,0.043910757425039026,0.06742226097064807,0.05108026899413365,0.41459657230887714,0.526917480773228,0.040509915014164344,,0.13939393939393943,-0.023138297872340563,0.3798113207547169,0.36700838489214066,2551839.2,4032308.0,0.6328482844068459,0.0286317981353017,0.04774176022003071,0.5997222976979562,True,0.017541811389042872,0.009997968482456265,True,3,3,收敛较充分,-0.09665518937530748,0.7892196299275945,0.14172035156158924,61.958800000000004,0.18562657766128443,0.012458249178056269,0.052585628714817645,-0.019645695476220082,,0.03845066440486278,66.0,65.56,0.11303030303030304,0.1205003050640634,True,1,2026-09-03,沪深主板10%,17,9.999999999999986,BREAKOUT_AWAIT_RETEST,True,False,5,False,70.74,2026-09-22,1.3401707858885674,,False,False,False,,,,,首次放量突破，仅观察，等待缩量回踩确认,True,True,True,True,True,True,True,True,True,True,True,False,True,True,3,1,1,1,3,1,2,1,13,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,24,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002708,光洋股份,16.91,-0.0197101449275362,0.03361858190709044,0.04061538461538472,0.42820945945945943,0.7875264270613107,0.2820318423047765,,0.07923832923832919,-0.037564029595902104,0.3477576711250982,0.22785501461972044,34556802.4,57837121.0,0.5974848298552067,0.0752838547744448,0.11782946642699724,0.6389221394046444,True,0.018305814788226682,0.017416105346198085,True,3,3,收敛较充分,-0.037564029595902104,0.9263392857142857,0.09919396775871037,14.55,0.1621993127147765,0.014050347077025904,0.08239757985950891,0.03704533049697001,,-0.02983362019506597,16.28,15.88,0.038697788697788615,0.06486146095717871,True,3,2026-09-07,沪深主板10%,17,10.028248587570632,RETEST_STABILIZING,True,False,5,False,16.88,2026-09-17,1.4448015230025222,0.6622320719017504,True,False,False,,0.05405405405405419,17.43,0.781982898377122,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,True,True,True,True,True,True,True,True,True,True,True,False,True,False,3,1,1,1,3,1,2,0,12,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,44,True,,,23,9,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
