股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
688419,耐科装备,48.64,0.03710021321961632,0.011647254575707144,-0.04795458993932278,-0.08485418626528685,,,,0.14201317882299477,-0.16854700854700855,0.2149732620320855,0.6606085681567172,2675706.4,4055655.1,0.6597470282914343,,0.03639622415472808,,True,-0.01181332442811811,-0.029707366296669924,False,3,2,部分收敛/待确认,-0.16854700854700855,0.3195307108350588,-0.03138441930858682,,,,-0.02073686329776525,44.01,44.01,0.10520336287207455,0.10520336287207455,False,0,,科创板20%,12,6.508875739644959,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688443,智翔金泰,22.19,-0.011581291759465429,-0.03647416413373861,-0.035217391304347756,-0.16074130105900153,,,,0.06700554528650643,-0.1989169675090252,0.17049469964664307,0.393006617949872,1932548.2,3366057.8,0.5741280497322417,,0.024527389171722744,,True,-0.02381994920746111,-0.018858967719661668,False,3,2,部分收敛/待确认,-0.1989169675090252,0.0907590759075909,-0.06698061640667707,,,,-0.03897791251624072,21.64,21.64,0.025415896487985146,0.025415896487985146,False,0,,科创板20%,12,3.477588871715609,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688545,兴福电子,75.56,0.05796695603472424,0.02914737128847733,0.003452855245684061,-0.20169043845747492,,,,0.12109661339979484,-0.1987274655355249,0.15639543082780996,0.7742976425770468,6520101.4,8860795.0,0.735837066538612,,0.050191106843468926,,True,-0.005131844734399649,-0.016366918499698957,False,3,2,部分收敛/待确认,-0.21764340443155927,0.2590764892492072,-0.012881143364773973,,,,-0.008659144581474654,68.21,68.21,0.10775546107608869,0.10775546107608869,False,0,,科创板20%,12,5.796695603472424,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688598,金博股份,32.3,-0.006459550907413125,-0.022397094430992803,-0.07183908045977017,-0.15819650768829818,,,,0.14399733954107077,-0.22168674698795188,0.22821576763485474,0.6309701605345102,8293706.4,14341857.6,0.5782867625181274,,0.07296873195046871,,True,-0.016699171136031254,-0.031550028064163516,False,3,2,部分收敛/待确认,-0.22168674698795188,0.1951006124234468,-0.06310278313585005,,,,-0.051951863809803434,30.07,30.07,0.07416029265048207,0.07416029265048207,False,0,,科创板20%,12,13.558282208588967,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688669,聚石化学,67.67,0.001776461880088842,-0.060791117279666795,-0.10995659608049457,-0.16662561576354684,,,,0.17781249999999993,-0.1562344139650873,0.1454014598540145,1.2229072540160646,2156697.4,2673359.7,0.8067367066242526,,0.02272947972859256,,True,-0.03375621751522939,-0.0333264703863837,False,3,1,结构未成熟,-0.1735466536394723,0.20525727069351246,-0.07585575866001137,,,,-0.08306233062330615,64.0,64.0,0.05734375000000003,0.05734375000000003,False,0,,科创板20%,12,8.172871202396248,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688807,优迅股份,325.89,-0.024281437125748595,-0.021380739317137687,0.04118210862619809,-0.01869918699187001,,,,0.116609959789669,-0.09725761772853192,0.1970666666666667,0.5917284833711214,2164664.6,2209678.4,0.9796288002815252,0.14566325,0.1381049,1.0547290501640418,True,0.00938911054303948,0.01030041079201438,True,3,3,收敛较充分,-0.09725761772853192,0.7108145951733793,-0.00231748646091956,,,,-0.09475,323.3,300.0,0.008011135168574102,0.08630000000000004,False,0,,科创板20%,25,11.40485995410392,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
688825,长鑫科技,54.22,-0.0049550376215820036,-0.07141633841411199,-0.04035398230088494,-0.08396688629836124,,,,0.09306197964847367,-0.09482470784641073,0.10925925925925924,0.8517537120368778,184009984.2,253898425.3,0.72473857993636,0.037871018127593206,0.056383794796165385,0.6716649396249715,True,-0.021768802715850577,-0.013486662798262716,False,3,2,部分收敛/待确认,-0.12265372168284783,0.35489361702127675,-0.045077889026849505,,,,-0.08226134055517942,54.05,54.0,0.003145235892692,0.004074074074074119,False,0,,科创板20%,14,11.99710039869517,0,0,1,1,1,1,4,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,310,False,,,408,1,未入选：未满足一级粗筛最低资格条件
000712,锦龙股份,9.8,-0.02195608782435121,-0.17299578059071719,-0.274074074074074,0.10734463276836181,,,,0.21187308085977485,-0.29190751445086704,0.5709421112372303,0.3710938056410769,90733420.0,131597000.1,0.689479394903015,,0.14847411272228173,,True,-0.11265930331350893,-0.06801171493654412,False,3,2,部分收敛/待确认,-0.29190751445086704,0.2573529411764707,-0.09606604252179118,,,,-0.17229729729729726,9.77,9.77,0.003070624360286711,0.003070624360286711,False,0,,沪深主板10%,13,4.767063921993486,2,0,0,1,0,0,3,False,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
000938,紫光股份,32.87,0.004277421326000619,-0.030097373856594944,-0.1422233820459291,-0.16254777070063697,,,,0.07774294670846407,-0.16890012642225027,0.17393885425942415,0.4469556100013916,99117510.0,173576108.1,0.5710319875526695,,0.06066878280834896,,True,-0.03557242990654197,-0.04083444296493566,False,3,2,部分收敛/待确认,-0.21137236084452982,0.09918200408997942,-0.07051055466794875,,,,-0.043920884235020496,31.9,31.9,0.030407523510971757,0.030407523510971757,False,0,,沪深主板10%,25,8.526051825020907,0,0,1,1,0,1,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002235,安妮股份,7.91,-0.027060270602706105,-0.08975834292289986,-0.12885462555066074,-0.1383442265795206,,,,0.0935524652338812,-0.14301191765980503,0.08047337278106527,1.162526957685727,19830618.6,26076755.9,0.7604710753150089,0.0354355696910967,0.047105812864753474,0.7522547120211371,True,-0.044402897873334735,-0.031296572280179014,False,3,1,结构未成熟,-0.2523629489603024,0.0,-0.07980456026058635,,,,-0.08554913294797695,7.91,7.91,0.0,0.0,False,0,,沪深主板10%,25,8.787128712871283,0,0,1,1,0,1,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002370,亚太药业,5.09,-0.030476190476190546,-0.11478260869565216,-0.07454545454545458,-0.1572847682119206,,,,0.13188976377952755,-0.1586776859504132,0.11028037383177584,1.1959495529160533,23099183.8,19168304.5,1.2050718309488457,0.04847454850914975,0.025707786083127036,1.8855979411220236,False,-0.037481804949053954,-0.017707192405987504,False,3,0,结构未成熟,-0.23227752639517352,0.006451612903225669,-0.07209917054051596,,,,-0.11478260869565216,5.08,5.08,0.0019685039370078705,0.0019685039370078705,False,0,,沪深主板10%,25,6.481481481481466,0,0,1,1,1,0,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002545,东方铁塔,16.26,-0.02166064981949456,-0.09364548494983271,-0.10314396028681727,-0.11196067722555969,,,,0.12877387553912506,-0.13694267515923553,0.12142857142857137,1.0604907397339716,17447747.2,21461091.3,0.8129944072322174,,0.019073790187964876,,True,-0.039772727272727404,-0.025160780774004188,False,3,1,结构未成熟,-0.16314976839938233,0.009375000000000357,-0.07091023370093119,,,,-0.10610225398570639,16.23,16.23,0.001848428835489857,0.001848428835489857,False,0,,沪深主板10%,12,4.5481049562682285,0,0,1,1,1,0,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002607,中公教育,1.89,-0.03076923076923077,-0.11267605633802813,-0.11267605633802813,-0.09569377990430616,,,,0.13297872340425532,-0.12903225806451613,0.07960199004975133,1.6705452127659557,137947818.8,137504412.5,1.00322466960833,,0.02184628611324741,,False,-0.038722168441432614,-0.024578313253012074,False,3,0,结构未成熟,-0.1486486486486488,0.029411764705882353,-0.07466340269277849,,,,-0.11267605633802813,1.88,1.88,0.005319148936170137,0.005319148936170137,False,0,,沪深主板10%,12,1.85185185185186,0,0,1,1,1,0,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002796,世嘉科技,27.55,-0.01747503566333808,-0.0692567567567568,-0.05908469945355188,-0.14785029384472614,,,,0.12669849430774877,-0.14520632950667067,0.14088495575221227,0.8993046392446999,6607595.6,10508291.2,0.6287982959589091,,0.04708246517478312,,True,-0.029929456886514716,-0.019806681363405243,False,3,2,部分收敛/待确认,-0.1613394216133942,0.05693950177935947,-0.060496521620515664,,,,-0.10143509458577948,27.23,27.23,0.011751744399559394,0.011751744399559394,False,0,,沪深主板10%,12,3.2903225806451664,0,0,1,1,1,0,3,False,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
002855,捷荣技术,12.24,-0.012903225806451646,-0.33837837837837836,-0.30886504799548276,0.20353982300884965,,,,0.5122950819672132,-0.3774160732451678,0.6247933884297521,0.8199431867464655,20922943.4,27203947.3,0.7691142454168773,,0.10790936804260541,,True,-0.2002521779000459,-0.060066352365985676,False,3,2,部分收敛/待确认,-0.3774160732451678,0.2572572572572573,-0.14498271104746607,,,,-0.3365853658536585,12.2,12.2,0.003278688524590345,0.003278688524590345,False,0,,沪深主板10%,13,2.763561924257929,2,0,0,1,0,0,3,False,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
003005,竞业达,14.08,-0.027624309392265234,-0.24786324786324776,-0.22552255225522555,0.02400000000000002,,,,0.3074733096085409,-0.36,0.6296296296296297,0.4883399623194473,21008069.8,24838463.2,0.8457878263579528,,0.16559081962247918,,True,-0.14650326062514063,-0.03565649238323754,False,3,2,部分收敛/待确认,-0.36,0.1081081081081082,-0.11198007000725307,,,,-0.2335329341317366,14.05,14.05,0.002135231316725994,0.002135231316725994,False,0,,沪深主板10%,12,1.8011527377521652,2,0,0,1,0,0,3,False,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,522,False,,,408,1,未入选：未满足一级粗筛最低资格条件
