股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000520,凤凰航运,4.43,0.0572792362768495,0.0045351473922901064,0.11868686868686873,0.0254629629629628,0.0278422273781902,-0.008948545861297563,0.11510791366906485,-0.047311827956989405,-0.17041198501872667,0.5560975609756097,0.06953162723322048,0.026193099940662767,0.00616472135459456,-0.01703929675269944,0.0278422273781902,4.17,4.13,0.062350119904076795,0.07263922518159793,12,0,0,1,0,2.2125000000000004,3.2125000000000004,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,40,40,26,1.7125,入选：阶段3分=3.2125000000000004；软容量40-40只，本次实际26只
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,0.10944527736131948,-0.2629482071713146,-0.08188585607940446,0.11661807580174924,-0.07035175879396982,-0.3410507569011576,0.3792544570502432,0.042473762062407605,0.034071212796513706,-0.04573749503333191,-0.02533166196594583,0.029207232267037586,6.86,6.58,0.07871720116618075,0.12462006079027366,12,0,0,1,6,2.2125000000000004,-2.7874999999999996,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,27,False,40,40,26,1.7125,未入选：未满足三级生命周期筛选最低资格条件
000723,美锦能源,3.99,0.023076923076923217,0.12711864406779672,0.09315068493150691,0.18397626112759657,-0.05450236966824629,-0.24431818181818177,0.09283819628647218,-0.03155339805825241,-0.3202725724020443,0.29850746268656725,0.07532677536720134,0.02248234856930509,-0.021342839093944743,-0.0535893477421846,-0.0024999999999999467,3.77,3.46,0.05835543766578244,0.15317919075144526,12,0,0,1,6,2.2125000000000004,-2.7874999999999996,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,27,False,40,40,26,1.7125,未入选：未满足三级生命周期筛选最低资格条件
000735,罗 牛 山,5.9,0.03690685413005279,-0.0453074433656957,0.11742424242424243,0.18951612903225823,0.16600790513834007,-0.2247043363994744,0.1298701298701299,-0.08809891808346204,-0.5115894039735098,0.16146540027137046,0.07029478458049887,0.02414384649596535,0.0076449627470036585,-0.05818162246531855,0.0016977928692700761,5.39,5.18,0.09461966604823768,0.13899613899613916,12,0,0,1,6,2.2125000000000004,-2.7874999999999996,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,27,False,40,40,26,1.7125,未入选：未满足三级生命周期筛选最低资格条件
000887,中鼎股份,21.32,0.0319457889641821,0.020584011488750553,0.14377682403433467,0.24751316559391467,-0.022018348623853212,0.07189542483660127,0.09163745618427652,-0.10004221190375695,-0.19364599092284418,0.5033947623666344,0.014658290500666249,0.032226579520697074,0.0015306692808434441,0.0035547928413828256,-0.01751152073732709,19.97,19.97,0.0676014021031548,0.0676014021031548,12,3,0,1,0,2.2125000000000004,6.2125,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,8,True,40,40,26,1.7125,入选：阶段3分=6.2125；软容量40-40只，本次实际26只
001210,金房能源,29.88,0.03678001387925045,0.10462107208872462,0.4372294372294372,0.5315222962583288,0.29127052722558333,0.8175182481751824,0.1549243821468093,-0.045672309166400527,-0.045672309166400527,0.9328323156411461,0.14544199953998294,0.08080435384189655,0.03846242375417175,0.08701611225200612,0.008777852802160702,27.11,25.79,0.10217631870158606,0.1585886002326482,12,3,2,1,0,2.2125000000000004,8.2125,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,40,40,26,1.7125,入选：阶段3分=8.2125；软容量40-40只，本次实际26只
002365,永安药业,15.8,0.03879026955950038,0.016077170418006492,0.23727486296006273,0.5061963775023832,0.4311594202898552,0.09342560553633228,0.11715481171548116,-0.07764156450671322,-0.2216748768472906,0.5706106870229007,0.08826669421772237,0.03533982516872958,0.05372758995804072,0.00022798035460724897,0.0050890585241729624,14.34,14.1,0.10181311018131112,0.12056737588652489,12,3,0,1,0,2.2125000000000004,6.2125,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,8,True,40,40,26,1.7125,入选：阶段3分=6.2125；软容量40-40只，本次实际26只
002702,海欣食品,5.32,0.035019455252918386,0.029013539651837617,0.09465020576131677,0.20090293453724617,0.04930966469428011,-0.13636363636363635,0.09650924024640652,-0.0037453183520598232,-0.5258467023172906,0.18956043956043958,0.0657051282051282,0.02782905012068726,-0.011485851519264845,-0.04968433863238775,0.0037735849056603765,4.87,4.72,0.0924024640657084,0.12711864406779672,12,0,0,1,6,2.2125000000000004,-2.7874999999999996,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,27,False,40,40,26,1.7125,未入选：未满足三级生命周期筛选最低资格条件
002724,海洋王,7.15,0.03623188405797095,0.10510046367851622,0.33395522388059695,0.4895833333333335,0.35416666666666674,-0.0714285714285714,0.11782477341389731,-0.041554959785522705,-0.13855421686746994,0.684065934065934,0.14822546972860118,0.05953169204839592,0.0351362523450669,-0.03417784939538793,0.021428571428571574,6.62,5.63,0.08006042296072513,0.26998223801065735,12,0,0,1,0,2.2125000000000004,3.2125000000000004,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,40,40,26,1.7125,入选：阶段3分=3.2125000000000004；软容量40-40只，本次实际26只
002913,奥士康,63.43,0.030376868096166243,0.07892498724272845,0.259031361651449,0.13065953654188944,0.27395059248845155,0.30918472652218765,0.11099656357388304,-0.019022579647386295,-0.10232097367676196,0.8109803921568628,0.08159263364310698,0.06461112875900055,0.022335515325504485,0.042528643590552306,-0.006733479486376481,58.2,54.71,0.08986254295532636,0.1593858526777554,12,3,2,1,0,2.2125000000000004,8.2125,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,40,40,26,1.7125,入选：阶段3分=8.2125；软容量40-40只，本次实际26只
