股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
002354,天娱数科,120,2026-03-17,2026-09-07,True,False,False
002364,中恒电气,25,2026-07-30,2026-09-02,False,False,True
002365,永安药业,250,2025-08-21,2026-09-01,False,True,True
002370,亚太药业,25,2026-07-30,2026-09-02,False,False,True
002382,蓝帆医疗,25,2026-07-30,2026-09-02,False,False,True
002384,东山精密,25,2026-07-30,2026-09-02,False,False,True
002396,星网锐捷,25,2026-07-30,2026-09-02,False,False,True
002403,爱仕达,26,2026-08-03,2026-09-07,True,False,False
002409,雅克科技,25,2026-07-30,2026-09-02,False,False,True
002418,康盛股份,25,2026-07-30,2026-09-02,False,False,True
002421,达实智能,25,2026-07-30,2026-09-02,False,False,True
002428,云南锗业,25,2026-07-30,2026-09-02,False,False,True
002436,兴森科技,25,2026-07-30,2026-09-02,False,False,True
002437,誉衡药业,120,2026-03-17,2026-09-07,True,False,False
002438,江苏神通,25,2026-07-30,2026-09-02,False,False,True
002445,中南文化,120,2026-03-10,2026-09-07,True,False,False
002448,中原内配,25,2026-07-30,2026-09-02,False,False,True
002463,沪电股份,25,2026-07-30,2026-09-02,False,False,True
002474,榕基软件,120,2026-03-13,2026-09-03,False,False,True
002476,新叶股份,250,2025-08-25,2026-09-03,False,True,True
002484,江海股份,25,2026-07-30,2026-09-02,False,False,True
002491,通鼎互联,120,2026-03-17,2026-09-07,True,False,False
002515,金字火腿,25,2026-07-30,2026-09-02,False,False,True
002517,恺英网络,25,2026-07-30,2026-09-02,False,False,True
002536,飞龙股份,120,2026-03-17,2026-09-07,True,False,False
002545,东方铁塔,25,2026-07-30,2026-09-02,False,False,True
002548,金新农,120,2026-03-17,2026-09-07,True,False,False
002552,宝鼎科技,25,2026-07-30,2026-09-02,False,False,True
002558,巨人网络,25,2026-07-30,2026-09-02,False,False,True
002564,天沃科技,25,2026-08-04,2026-09-07,True,False,False
002579,中京电子,120,2026-03-17,2026-09-07,True,False,False
002580,圣阳股份,250,2025-08-25,2026-09-03,False,True,True
002582,好想你,25,2026-07-30,2026-09-02,False,False,True
002589,瑞康医药,120,2026-03-13,2026-09-03,False,False,True
002607,中公教育,25,2026-07-30,2026-09-02,False,False,True
002631,德尔未来,25,2026-07-30,2026-09-02,False,False,True
002636,金安国纪,120,2026-03-17,2026-09-07,True,False,False
002638,勤上股份,120,2026-03-17,2026-09-07,True,False,False
002645,华宏科技,25,2026-07-30,2026-09-02,False,False,True
002655,共达电声,250,2025-08-27,2026-09-07,True,True,False
002659,凯文教育,25,2026-07-30,2026-09-02,False,False,True
002686,亿利达,120,2026-03-11,2026-09-07,True,False,False
002687,乔治白,120,2026-03-13,2026-09-03,False,False,True
002695,煌上煌,25,2026-07-30,2026-09-02,False,False,True
002702,海欣食品,250,2025-08-21,2026-09-01,False,True,True
002703,浙江世宝,120,2026-03-17,2026-09-07,True,False,False
002706,良信股份,25,2026-07-30,2026-09-02,False,False,True
002708,光洋股份,25,2026-07-30,2026-09-02,False,False,True
002716,湖南白银,25,2026-07-30,2026-09-02,False,False,True
002721,金一文化,120,2026-03-17,2026-09-07,True,False,False
002724,海洋王,250,2025-08-21,2026-09-01,False,True,True
002734,利民股份,250,2025-08-22,2026-09-02,False,True,True
002741,光华科技,25,2026-07-30,2026-09-02,False,False,True
002742,冀衡医药,25,2026-07-30,2026-09-02,False,False,True
002743,富煌钢构,120,2026-03-16,2026-09-04,False,False,True
002774,快意电梯,25,2026-07-30,2026-09-02,False,False,True
002775,文科股份,25,2026-07-30,2026-09-02,False,False,True
002779,中坚科技,25,2026-07-30,2026-09-02,False,False,True
002796,世嘉科技,25,2026-07-30,2026-09-02,False,False,True
002811,郑中设计,120,2026-03-17,2026-09-07,True,False,False
002827,高争民爆,250,2025-08-22,2026-09-02,False,True,True
002828,贝肯能源,25,2026-07-23,2026-09-02,False,False,True
002829,星网宇达,250,2025-08-22,2026-09-02,False,True,True
002837,英维克,120,2026-03-17,2026-09-07,True,False,False
002846,英联股份,250,2025-08-22,2026-09-02,False,True,True
002851,麦格米特,25,2026-07-30,2026-09-02,False,False,True
002855,捷荣技术,25,2026-07-31,2026-09-03,False,False,True
002859,洁美科技,25,2026-07-30,2026-09-02,False,False,True
002870,香山股份,120,2026-03-10,2026-08-31,False,False,True
002880,卫光生物,120,2026-03-17,2026-09-07,True,False,False
002882,金龙羽,250,2025-08-22,2026-09-02,False,True,True
002886,沃特股份,25,2026-07-30,2026-09-02,False,False,True
002902,铭普光磁,120,2026-03-17,2026-09-07,True,False,False
002907,华森制药,25,2026-07-30,2026-09-02,False,False,True
002908,德生科技,25,2026-07-30,2026-09-02,False,False,True
002909,集泰股份,25,2026-07-30,2026-09-02,False,False,True
002913,奥士康,250,2025-08-25,2026-09-03,False,True,True
002915,中欣氟材,120,2026-03-13,2026-09-03,False,False,True
002916,深南电路,25,2026-07-30,2026-09-02,False,False,True
002918,蒙娜丽莎,120,2026-03-17,2026-09-07,True,False,False
002929,润建股份,25,2026-07-30,2026-09-02,False,False,True
002931,锋龙股份,25,2026-07-30,2026-09-02,False,False,True
002938,鹏鼎控股,25,2026-07-30,2026-09-02,False,False,True
002942,新农股份,25,2026-07-30,2026-09-02,False,False,True
002947,恒铭达,120,2026-03-17,2026-09-07,True,False,False
002949,华阳国际,120,2026-03-17,2026-09-07,True,False,False
002951,金时科技,25,2026-07-30,2026-09-02,False,False,True
002953,日丰股份,120,2026-03-17,2026-09-07,True,False,False
002957,科瑞技术,25,2026-07-30,2026-09-02,False,False,True
002963,豪尔赛,25,2026-07-30,2026-09-02,False,False,True
002971,和远气体,25,2026-07-30,2026-09-02,False,False,True
002973,侨银股份,250,2025-08-22,2026-09-02,False,True,True
002975,博杰股份,25,2026-07-30,2026-09-02,False,False,True
002980,华盛昌,120,2026-03-17,2026-09-07,True,False,False
002989,中天精装,25,2026-07-30,2026-09-02,False,False,True
003005,竞业达,25,2026-07-30,2026-09-02,False,False,True
003018,金富科技,25,2026-07-30,2026-09-02,False,False,True
003031,中瓷电子,25,2026-07-30,2026-09-02,False,False,True
003040,楚天龙,25,2026-07-31,2026-09-03,False,False,True
300017,网宿科技,120,2026-03-17,2026-09-07,True,False,False
300051,琏升科技,25,2026-07-30,2026-09-02,False,False,True
300063,天龙集团,25,2026-07-30,2026-09-02,False,False,True
300120,经纬辉开,25,2026-07-30,2026-09-02,False,False,True
300122,智飞生物,120,2026-03-17,2026-09-07,True,False,False
300134,大富科技,250,2025-08-22,2026-09-02,False,True,True
300139,晓程科技,120,2026-03-17,2026-09-07,True,False,False
300142,沃森生物,25,2026-07-30,2026-09-02,False,False,True
300169,天晟新材,120,2026-03-17,2026-09-07,True,False,False
300189,神农种业,120,2026-03-17,2026-09-07,True,False,False
300197,节能铁汉,25,2026-07-30,2026-09-02,False,False,True
300209,行云科技,25,2026-07-30,2026-09-02,False,False,True
300214,日科化学,25,2026-07-30,2026-09-02,False,False,True
300243,瑞丰高材,120,2026-03-17,2026-09-07,True,False,False
300270,中威电子,25,2026-07-30,2026-09-02,False,False,True
300287,飞利信,25,2026-07-30,2026-09-02,False,False,True
300305,裕兴股份,250,2025-08-22,2026-09-02,False,True,True
300319,麦捷科技,120,2026-03-17,2026-09-07,True,False,False
300333,兆日科技,25,2026-07-16,2026-09-02,False,False,True
300345,华民股份,25,2026-07-30,2026-09-02,False,False,True
300359,全通教育,25,2026-07-30,2026-09-02,False,False,True
300363,博腾股份,25,2026-07-30,2026-09-02,False,False,True
300364,中文在线,25,2026-07-30,2026-09-02,False,False,True
300368,汇金股份,120,2026-03-17,2026-09-07,True,False,False
300369,绿盟科技,25,2026-07-30,2026-09-02,False,False,True
300378,鼎捷数智,120,2026-03-17,2026-09-07,True,False,False
300386,飞天诚信,120,2026-03-13,2026-09-03,False,False,True
300394,天孚通信,25,2026-07-30,2026-09-02,False,False,True
300413,芒果超媒,25,2026-07-31,2026-09-03,False,False,True
300456,赛微电子,25,2026-07-30,2026-09-02,False,False,True
300476,胜宏科技,25,2026-07-30,2026-09-02,False,False,True
300480,光力科技,25,2026-07-30,2026-09-02,False,False,True
300508,维宏股份,25,2026-07-30,2026-09-02,False,False,True
