股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000007,全新好,12.93,0.005443234836703059,0.17652411282984537,0.3539267015706804,,,,0.06386418755052554,-0.01747720364741645,-0.01747720364741645,0.9487750556792872,0.1095855144597957,,,,-0.0038520801232666546,12.37,10.93,0.045270816491511656,0.18298261665141813,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000020,深华发Ａ,12.63,-0.03218390804597704,-0.08078602620087327,0.1565934065934067,,,,0.08903020667726544,-0.08078602620087327,-0.08078602620087327,0.6837606837606839,0.04367227203239277,,,,-0.06305637982195844,12.58,11.13,0.003974562798092274,0.13477088948787053,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000048,京基智农,22.93,-0.013763440860215082,0.021380846325167013,0.08313651393481325,,,,0.09830818472793774,-0.07837620578778137,-0.07837620578778137,0.7713950762016413,0.012049256300481037,,,,-0.026326963906581735,21.87,21.2,0.04846822130772743,0.08160377358490578,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000062,深圳华强,24.64,0.009422367882015559,0.1099099099099099,0.05887408680704764,,,,0.13378684807256233,-0.014399999999999968,-0.014399999999999968,0.9192825112107624,0.06083437378912482,,,,-0.005248284214775856,22.05,21.4,0.11746031746031749,0.15140186915887854,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000428,华天酒店,4.44,-0.03267973856209139,0.12690355329949243,0.08292682926829298,,,,0.1307339449541283,-0.09939148073022297,-0.09939148073022297,0.614173228346457,0.03243808859434938,,,,-0.0652631578947368,4.36,3.88,0.01834862385321112,0.14432989690721665,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000506,招金黄金,21.08,0.0503238664673642,0.14814814814814814,0.34955185659411003,,,,0.17802430005282627,-0.06518847006651896,-0.06518847006651896,0.8482972136222908,0.07919930374238482,,,,-0.05173189383715704,18.93,18.75,0.11357633386159538,0.12426666666666653,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000510,新金路,17.06,-0.01444251877527436,0.10349288486416541,0.058312655086848464,,,,0.13924830560690069,-0.0773391022174148,-0.0773391022174148,0.7395264116575592,0.013244639781433865,,,,-0.053799223516361794,16.23,15.58,0.0511398644485519,0.09499358151476245,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000520,凤凰航运,4.19,-0.009456264775413725,0.04488778054862852,0.06345177664974622,,,,0.1259079903147701,-0.09892473118279566,-0.09892473118279566,0.5490196078431375,0.017360689571445986,,,,-0.025581395348837077,4.13,4.13,0.014527845036319764,0.014527845036319764,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000523,红棉股份,3.36,-0.028901734104046284,0.04672897196261672,0.1586206896551725,,,,0.12037037037037027,-0.07438016528925617,-0.07438016528925617,0.6707317073170731,0.06396453451551598,,,,-0.0561797752808989,3.24,3.0,0.03703703703703698,0.11999999999999988,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
000526,学大教育,37.41,-0.018110236220472586,-0.042977743668457524,0.05380281690140842,,,,0.12048540884137537,-0.042977743668457524,-0.042977743668457524,0.807780320366132,0.045497736291990165,,,,0.014370932754880439,34.61,33.71,0.08090147356255417,0.10975971521803607,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,163,8,入选：阶段1分=8；软容量150-200只，本次实际163只
