股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明,阶段2通过,基础整理条件,整理成熟,振幅收敛,流动性收敛,短期下行停止,中期趋势仍活,稳健上沿核心区,稳健上沿宽区,阶段2风险提示,阶段2规则说明
600165,宁科生物,3.25,-0.026946107784431073,0.028481012658227778,-0.04692082111436957,0.3319672131147542,0.2126865671641791,0.14035087719298245,-0.12868632707774796,0.07717041800643094,-0.09722222222222221,0.2244897959183674,0.34375913475591957,17062686.4,29738261.3,0.5737620712882766,0.016639158969441032,0.04057539583592355,0.4100800158974543,True,0.010705289672543916,-0.008062015503875863,True,3,3,收敛较充分,-0.26801801801801806,0.4803493449781659,0.060704960835509025,0.05669271802505893,0.021763743867152963,-0.039646512127642475,0.0,3.11,3.09,0.045016077170418,0.05177993527508096,14,0,0,1,0,1.9852941176470589,2.985294117647059,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,34,34,24,1.6176470588235294,入选：阶段3分=2.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
600198,大唐电信,7.95,0.03515625,0.02580645161290329,-0.0074906367041197575,0.09806629834254132,0.08606557377049184,-0.17445482866043616,-0.08830275229357798,0.10280373831775695,-0.03985507246376807,0.1342465753424657,0.765782948693496,20288728.0,31986725.7,0.6342858656520758,0.015583341183866362,0.02456832483228359,0.6342858656520748,True,-0.013878180416345143,-0.006637732958896803,False,3,2,部分收敛/待确认,-0.3629807692307693,0.2462562396006656,0.02746365105008075,0.018636895651390706,-0.028790747448139586,-0.030013415458132853,0.008883248730964466,7.49,7.49,0.06141522029372504,0.06141522029372504,14,0,0,1,6,1.9852941176470589,-3.014705882352941,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,25,False,34,34,24,1.6176470588235294,未入选：未满足三级生命周期筛选最低资格条件,True,True,True,True,True,False,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
600368,五洲交通,4.41,0.009153318077803174,0.011467889908256756,0.030373831775700966,0.0970149253731345,0.15143603133159278,0.22841225626740957,0.14248704663212441,0.04205607476635507,-0.011210762331838486,0.12755102040816327,0.32971962616822376,36245617.2,37934412.7,0.9554811744851397,0.021205629705431134,0.02356681376649112,0.8998089396192677,True,0.0013793103448276334,0.01538820237817684,True,3,3,收敛较充分,-0.022172949002217224,0.9200000000000003,0.05275722129386495,0.023331119229491826,0.02926242650988775,0.01441140438801658,0.002272727272727204,4.28,4.23,0.030373831775700966,0.04255319148936154,14,3,2,1,0,1.9852941176470589,7.985294117647059,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,2,True,34,34,24,1.6176470588235294,入选：阶段3分=7.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603011,合锻智能,26.45,0.007619047619047636,0.029182879377431803,0.15754923413566724,0.05757696921231492,0.19629127091813658,-0.23554913294797697,0.10484544695071008,0.1328613077884214,-0.04339963833634719,0.27890841813135975,0.4763617702132125,49003758.8,50026045.4,0.9795649128004029,0.1018386450016493,0.10118241227652494,1.0064856402447782,True,0.005869463139771325,0.04294725001004385,True,3,3,收敛较充分,-0.36111111111111116,0.44423791821561337,0.060014026650636376,0.057583009273108,-0.03864793060401406,-0.007306760383561817,-0.00638617580766343,24.01,21.99,0.1016243231986671,0.20281946339245116,14,0,0,1,0,1.9852941176470589,2.985294117647059,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,34,34,24,1.6176470588235294,入选：阶段3分=2.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603082,北自科技,47.52,-0.01635272200372595,0.06024096385542177,0.1373863092388703,0.15116279069767447,0.3604351560263386,0.3561643835616439,0.29765155652648834,0.1342390052958784,-0.0353227771010961,0.22513632822643476,0.5962565275598934,5863332.8,6122637.3,0.9576482343646259,0.14464407618267994,0.15096413433965608,0.95813536649204,True,0.03441051927791405,0.03594007696536572,True,3,3,收敛较充分,-0.061426031996839825,0.8621453900709221,0.09510750581891103,0.04353855149945707,0.0466303563225936,0.022928657685491682,0.0072064434082239615,43.43,40.03,0.09417453373244311,0.18710966774918814,14,3,2,1,0,1.9852941176470589,7.985294117647059,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,2,True,34,34,24,1.6176470588235294,入选：阶段3分=7.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603118,共进股份,17.85,-0.010532150776053073,0.013053348467650494,-0.001677852348993203,0.23018607856650597,0.38694638694638717,0.38372093023255816,0.39344262295081966,0.15160891089108908,-0.1326530612244896,0.21349772874756645,0.7101195491889615,81657547.2,121879116.7,0.6699880128028529,0.08099875322992127,0.1548110876575666,0.5232102845830136,True,-0.003996346197761902,0.02095929060862578,True,3,3,收敛较充分,-0.1326530612244896,0.723684210526316,0.016514806378132185,0.00960146774029158,0.05958090803259597,0.06499030041185017,-0.015986769570010995,16.16,16.16,0.10457920792079212,0.10457920792079212,14,3,2,1,0,1.9852941176470589,7.985294117647059,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,2,True,34,34,24,1.6176470588235294,入选：阶段3分=7.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603797,联泰环保,4.98,0.014256619144602967,0.020491803278688714,0.05957446808510647,0.026804123711340333,0.2450000000000001,0.205811138014528,-0.002004008016032066,0.06092436974789917,-0.013861386138613763,0.07343412526997838,0.8296465645081567,9300844.8,9891088.1,0.9403257463655592,0.01613035220858828,0.017154004631834786,0.9403257463655577,True,0.002479338842975354,0.010436234606554073,True,3,3,收敛较充分,-0.04780114722753348,0.84472049689441,0.03512783205154868,0.03909111293818679,0.025697651074081174,-0.009688117151693265,0.00809716599190291,4.76,4.63,0.04621848739495804,0.07559395248380141,14,0,0,1,0,1.9852941176470589,2.985294117647059,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,34,34,24,1.6176470588235294,入选：阶段3分=2.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603848,好太太,13.85,-0.009298998569384875,-0.002161383285302687,0.011687363038714427,0.029739776951672958,0.033582089552238736,-0.007168458781361964,-0.1450617283950617,0.03999999999999994,-0.05525238744884042,0.15220820189274445,0.26279792746113956,2220340.0,4854596.0,0.4573686461242089,0.0060991392192789665,0.012063910168690049,0.5055690181702702,True,-0.0021717098595626094,0.013860369609856038,True,3,3,收敛较充分,-0.5902366863905325,0.07724329324699353,0.012389898030042756,0.013967177133735742,-0.0018148375229920521,-0.035589976609103346,-0.010007147962830643,13.5,13.5,0.025925925925925908,0.025925925925925908,14,0,0,1,6,1.9852941176470589,-3.014705882352941,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,25,False,34,34,24,1.6176470588235294,未入选：未满足三级生命周期筛选最低资格条件,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
603955,大千生态,22.4,0.009009009009008917,0.07899807321772623,0.057102406795658256,0.041860465116279055,0.23280132085855776,-0.07514450867052025,-0.1688311688311689,0.08381502890173402,-0.004444444444444473,0.20687772925764186,0.4051428309973002,2714090.0,3390129.6,0.8005859127037503,0.022066263876608667,0.0249788505747126,0.8833978893707584,True,0.045620789220404356,0.0287889138284374,True,3,3,收敛较充分,-0.4398599649912479,0.2511707109408258,0.09925162556741496,0.030243638698341346,-0.022079783815847964,-0.057428311285633415,0.020501138952163878,20.76,19.55,0.07899807321772623,0.1457800511508951,14,0,0,1,6,1.9852941176470589,-3.014705882352941,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,25,False,34,34,24,1.6176470588235294,未入选：未满足三级生命周期筛选最低资格条件,True,True,True,True,True,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
605006,山东玻纤,16.34,0.05897602073882058,0.023809523809523725,0.19270072992700737,0.09297658862876257,0.0309148264984227,-0.3185988323603003,0.7420042643923239,0.1326460481099656,-0.015662650602409678,0.2192513368983958,0.6049953901600869,65972563.6,34174005.8,1.9304896237829985,0.10429136220531972,0.05228570627209147,1.9946438451571094,False,0.022406748385396025,0.04185412406271305,True,3,2,部分收敛/待确认,-0.3805913570887035,0.48644501278772384,0.09996634129922599,0.027169294684165735,-0.04669364127706088,0.06039362587703656,0.023809523809523725,14.55,13.73,0.12302405498281788,0.1900946831755279,14,3,0,1,0,1.9852941176470589,5.985294117647059,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,8,True,34,34,24,1.6176470588235294,入选：阶段3分=5.985294117647059；软容量34-34只，本次实际24只,True,True,True,True,False,True,True,True,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据
