股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000059,华锦股份,成功,120,global-cache,global-cache,local-cache,120,
000670,盈方微,成功,120,global-cache,global-cache,local-cache,110,
002015,协鑫能科,成功,120,global-cache,global-cache,local-cache,120,
002265,建设工业,成功,120,global-cache,global-cache,local-cache,120,
002564,天沃科技,成功,120,global-cache,global-cache,local-cache,120,
300570,太辰光,成功,120,global-cache,global-cache,local-cache,120,
600127,金健米业,成功,120,sina,sina,deep-backfill,120,
600487,亨通光电,成功,120,global-cache,global-cache,local-cache,120,
601208,东材科技,成功,120,global-cache,global-cache,local-cache,120,
603082,北自科技,成功,120,global-cache,global-cache,local-cache,120,
603228,景旺电子,成功,120,global-cache,global-cache,local-cache,120,
603880,南卫股份,成功,120,global-cache,global-cache,local-cache,120,
605162,新中港,成功,120,global-cache,global-cache,local-cache,120,
000565,渝三峡Ａ,成功,120,global-cache,global-cache,local-cache,120,
002041,登海种业,成功,120,global-cache,global-cache,local-cache,120,
002436,兴森科技,成功,120,global-cache,global-cache,local-cache,120,
002708,光洋股份,成功,120,global-cache,global-cache,local-cache,120,
301419,阿莱德,成功,120,global-cache,global-cache,local-cache,120,
600192,长城电工,成功,120,global-cache,global-cache,local-cache,120,
600712,南宁百货,成功,120,global-cache,global-cache,local-cache,110,
601890,亚星锚链,成功,120,global-cache,global-cache,local-cache,120,
603162,海通发展,成功,120,sina,sina,deep-backfill,120,
603618,杭电股份,成功,120,global-cache,global-cache,local-cache,120,
605577,龙版传媒,成功,120,sina,sina,deep-backfill,120,
000428,华天酒店,成功,120,global-cache,global-cache,local-cache,120,
000560,我爱我家,成功,120,sina,sina,deep-backfill,120,
000912,泸天化,成功,120,global-cache,global-cache,local-cache,120,
002068,黑猫股份,成功,120,global-cache,global-cache,local-cache,120,
002297,博云新材,成功,120,global-cache,global-cache,local-cache,120,
002445,中南文化,成功,120,sina,sina,deep-backfill,120,
002902,铭普光磁,成功,120,global-cache,global-cache,local-cache,120,
002988,豪美新材,成功,120,global-cache,global-cache,local-cache,111,
300765,石药创新,成功,120,global-cache,global-cache,local-cache,120,
301152,天力锂能,成功,120,global-cache,global-cache,local-cache,120,
600103,青山纸业,成功,120,global-cache,global-cache,local-cache,120,
600186,莲花控股,成功,120,global-cache,global-cache,local-cache,111,
600371,万向德农,成功,120,sina,sina,deep-backfill,120,
600722,金牛化工,成功,120,sina,sina,deep-backfill,120,
600869,远东股份,成功,120,sina,sina,deep-backfill,120,
601595,上海电影,成功,120,sina,sina,deep-backfill,120,
601949,中国出版,成功,120,sina,sina,deep-backfill,120,
603366,日出东方,成功,120,global-cache,global-cache,local-cache,120,
603978,深圳新星,成功,120,global-cache,global-cache,local-cache,120,
605580,恒盛能源,成功,120,sina,sina,deep-backfill,120,
000506,招金黄金,成功,120,sina,sina,deep-backfill,120,
000993,闽东电力,成功,120,global-cache,global-cache,local-cache,120,
002721,金一文化,成功,120,global-cache,global-cache,local-cache,120,
300598,诚迈科技,成功,120,global-cache,global-cache,local-cache,120,
600359,新农开发,成功,120,global-cache,global-cache,local-cache,120,
600830,香溢融通,成功,120,global-cache,global-cache,local-cache,120,
603396,金辰股份,成功,120,global-cache,global-cache,local-cache,120,
688167,炬光科技,成功,120,global-cache,global-cache,local-cache,120,
000596,古井贡酒,成功,120,global-cache,global-cache,local-cache,120,
000859,国风新材,成功,120,sina,sina,deep-backfill,120,
001366,播恩集团,成功,120,global-cache,global-cache,local-cache,120,
002112,三变科技,成功,120,sina,sina,deep-backfill,120,
002277,友阿股份,成功,120,global-cache,global-cache,local-cache,120,
002396,星网锐捷,成功,120,global-cache,global-cache,local-cache,120,
002552,宝鼎科技,成功,120,sina,sina,deep-backfill,120,
002686,亿利达,成功,120,global-cache,global-cache,local-cache,120,
002859,洁美科技,成功,120,sina,sina,deep-backfill,120,
002989,中天精装,成功,120,sina,sina,deep-backfill,120,
300363,博腾股份,成功,120,sina,sina,deep-backfill,120,
300929,华骐环保,成功,120,sina,sina,deep-backfill,120,
600206,有研新材,成功,120,sina,sina,deep-backfill,120,
600379,宝光股份,成功,120,global-cache,global-cache,local-cache,120,
