股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明,OpenAI生命周期资格,OpenAI结构成熟对齐,OpenAI基础资格,OpenAI过热排序惩罚,OpenAI前置对齐分,OpenAI输入排名,OpenAI输入资格,OpenAI输入上限,OpenAI实际输入数,OpenAI前置判定代码,OpenAI前置判定原因
000620,盈新发展,3.27,0.0218749999999998,0.0548387096774194,0.0827814569536424,-0.0576368876080691,0.1978021978021977,0.0283018867924527,0.1275862068965518,0.0953947368421052,-0.1016483516483516,0.1525423728813558,0.6253654970760238,305572457.8,295981159.4,1.0324050977415018,0.063963976571373,0.0664715972225393,0.962275306206784,True,0.0140306122448978,0.0195200000000002,True,3,3,收敛较充分,-0.2004889975550121,0.6746031746031746,0.0204400062412231,3.2364000000000006,0.0103819058212826,0.0021055239038894,0.0221793635486982,0.0081278786236791,0.0103949526112454,0.0123839009287924,3.04,3.0,0.075657894736842,0.09,True,2,2026-08-24,沪深主板10%,6,10.158730158730169,15,3,2,1,0,2.9243697478991595,8.92436974789916,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,23.92436974789916,1,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名1/28，输入上限50只
001210,金房能源,30.16,0.0328767123287672,0.0385674931129476,0.0661010957935666,0.1415594246782738,0.6681415929203542,0.3434298440979955,0.980302035456336,0.1222816399286987,-0.0419313850063532,0.1682835820895521,0.7266403437004718,4669024.4,9338609.6,0.4999699741169178,0.0303049959019978,0.0684845738256523,0.4425083520143979,True,0.0250957039557635,0.0062661905762098,True,3,3,收敛较充分,-0.0419313850063532,0.937381404174573,0.0539926611916827,28.482,0.0589144020785057,0.0061608896550751,0.0489172393717329,0.0407496410046008,0.1120666220793513,0.0265486725663717,28.05,26.8,0.0752228163992869,0.1253731343283581,True,1,2026-08-20,沪深主板10%,3,10.018484288354902,15,3,2,1,0,2.9243697478991595,8.92436974789916,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,23.92436974789916,2,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名2/28，输入上限50只
603150,万朗磁塑,70.37,0.0205946337926032,0.0342445620223397,0.0126636926176428,0.3307488653555219,0.3967844382691545,-0.0105455568053993,0.5091143040960755,0.0831818181818181,-0.0377410091617665,0.3798113207547169,0.2190082644628097,2357759.2,4065048.0,0.5800077145460522,0.0278768761040206,0.0481673159185646,0.578750872295882,True,-0.0053494491513169,0.0123536205611027,True,3,3,收敛较充分,-0.1346532218396456,0.7706806282722515,0.1123053821228168,61.1964,0.1499042427332328,0.0101549655668755,0.0530250734184325,-0.0228365317035046,0.0299786994909774,-0.0043859649122807,66.0,65.56,0.0662121212121213,0.0733679072605246,True,1,2026-09-03,沪深主板10%,17,9.999999999999986,15,3,2,1,0,2.9243697478991595,8.92436974789916,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,23.92436974789916,3,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名3/28，输入上限50只
002708,光洋股份,17.25,0.0129183793305929,0.0213143872113676,0.0267857142857141,0.5,0.7857142857142856,0.3636363636363635,0.449579831932773,0.0825631546518792,-0.0182128628343768,0.3584456780333069,0.230336588531017,34475027.4,57096182.5,0.6038061721552049,0.0696394144900525,0.1162140504723065,0.5992340358763025,True,0.0221201498851686,0.0238489363006559,True,3,3,收敛较充分,-0.0182128628343768,0.9642857142857144,0.1400812927530486,14.3484,0.2022246382871957,0.0144800475126558,0.0832595447679567,0.0359566665261561,0.0351040410923004,-0.0069084628670121,16.23,15.65,0.0628465804066542,0.1022364217252396,True,3,2026-09-07,沪深主板10%,17,10.028248587570632,14,3,2,1,0,2.546218487394958,8.546218487394958,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,22.54621848739496,4,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名4/28，输入上限50只
605168,三人行,53.04,-0.001881821603312,0.0584713630013968,0.010478186321204,0.1166315789473684,0.497881954250212,0.0667739340305713,0.4684385382059801,0.0939474220501324,-0.0420805490337727,0.3108428030303029,0.3022345093219799,8400671.6,8924042.0,0.9413527636916096,0.0408155050181771,0.0427714369684206,0.9542701370616192,True,0.0655313910545751,0.0163187474909674,True,3,3,收敛较充分,-0.1735743222187598,0.6983482263742213,0.0733039915009863,48.9076,0.0844940254684343,0.0052453733012143,0.0437675171198244,-0.0098349662854376,0.0569165285491728,-0.0058106841611996,49.07,42.24,0.0809048298349297,0.2556818181818181,True,1,2026-09-07,沪深主板10%,17,9.99580888516347,14,3,2,1,0,2.546218487394958,8.546218487394958,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,22.54621848739496,5,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名5/28，输入上限50只
002886,沃特股份,26.95,0.0208333333333332,0.0635359116022098,0.0162141779788838,0.31591796875,0.4930747922437672,0.0200605601816803,0.3133528265107212,0.1148,-0.1261348897535668,0.2930817610062892,0.3916995708154508,38514880.8,53177349.9,0.7242722864608189,0.1882839424589551,0.2656457196234674,0.7087783786835841,True,0.0229523297766176,0.0004987148501938,True,3,3,收敛较充分,-0.2244604316546763,0.5948051948051948,0.0333787074138689,24.8988,0.0823814802319788,0.0099785825545173,0.0548915578358208,-0.0318545276257632,0.0265432690430291,-0.0062684365781711,25.0,23.85,0.078,0.1299790356394128,True,5,2026-09-02,沪深主板10%,17,10.000000000000009,15,3,0,1,0,2.9243697478991595,6.92436974789916,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,22,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,21.92436974789916,6,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名6/28，输入上限50只
002975,博杰股份,107.53,0.025462521457181,0.0807035175879398,0.0286998947670524,-0.0123989713445995,0.2219318181818181,-0.2207971014492753,0.9364307581487484,0.1246573951883057,-0.0567543859649122,0.1918103448275862,0.6498992288468975,10881732.4,13037607.6,0.8346418095908946,0.0792642794352121,0.0974559982674358,0.8133340260667946,True,0.0424069226003716,0.0151871253012527,True,3,3,收敛较充分,-0.3193011331265429,0.5684462696783026,0.0505439322368388,102.0628,0.0535670195213142,0.0005960667437894,0.0228264113112781,-0.0643353112371889,0.0785476599398882,0.0049532710280373,98.51,92.8,0.0915643081920616,0.1587284482758622,True,1,2026-09-07,沪深主板10%,17,9.996843102178254,15,3,0,1,0,2.9243697478991595,6.92436974789916,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,22,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,21.92436974789916,7,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名7/28，输入上限50只
002638,勤上股份,4.31,0.016509433962264,0.0615763546798029,0.0141176470588233,0.0311004784688995,0.2349570200573063,0.072139303482587,0.0,0.0931989924433248,-0.1058091286307055,0.205,0.4546292314308527,25072059.2,42550029.1,0.5892371810387316,0.0191165862051266,0.0330804445266256,0.5778817811755866,True,0.021484375,-0.0014289116456299,True,3,3,收敛较充分,-0.1663442940038685,0.6917562724014336,-0.0072555568351952,4.255199999999999,0.0128783605940967,0.0076726342710997,0.0201904136572552,0.0101153581267219,0.0173971844839246,0.0141176470588233,3.97,3.97,0.0856423173803524,0.0856423173803524,True,2,2026-08-21,沪深主板10%,6,10.133333333333328,13,3,2,1,0,1.903361344537815,7.903361344537815,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,9,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.903361344537814,8,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名8/28，输入上限50只
300765,石药创新,46.39,0.0572014585232452,0.0659466911764705,0.0213562307353587,0.0254199823165339,0.2737506864360242,0.6747292418772564,0.438895781637717,0.1192660550458715,-0.0399420529801324,0.1598309719115088,0.7462011499992867,16303757.8,18484959.3,0.8820012819828065,0.0098439626648159,0.0127778497308388,0.7703927399504434,True,0.0232233443477452,0.0,True,3,3,收敛较充分,-0.2162527453961817,0.6511310983919325,0.0505100827681472,44.6704,0.038495289945915,0.001749176989801,0.0172486359497081,0.0811869928016963,0.0685112794201481,0.0424719101123596,42.51,40.23,0.0912726417313574,0.1531195625155357,True,1,2026-08-20,创业板20%,17,20.0,13,3,2,1,0,1.903361344537815,7.903361344537815,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,9,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.903361344537814,9,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名9/28，输入上限50只
301151,冠龙节能,22.7,0.0234445446348061,0.0799238820171266,0.0509259259259258,0.4021000617665224,0.3337250293772034,0.3633633633633635,0.2731351654514864,0.1086323957322986,-0.0069991251093612,0.141,0.7704425229241039,4350334.0,9338191.8,0.4658647084117505,0.0255445143664761,0.0590018794801806,0.4329440789264477,True,0.0172560113154172,-9.2306272211351e-05,True,3,3,收敛较充分,-0.0286692340607617,0.9240362811791382,0.0960359229395007,19.806,0.1461173381803493,0.0110260336906584,0.0446287235573463,0.0245163060879114,0.0181426312180146,0.0370031978072178,20.62,20.48,0.1008729388942772,0.1083984375,True,1,2026-08-31,创业板20%,17,20.023148148148135,13,3,2,1,0,1.903361344537815,7.903361344537815,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,9,True,,,79,1.1512605042016806,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.903361344537814,10,True,50,28,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名10/28，输入上限50只
