日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,9.05,9.35,8.97,9.31,30497257.0,280638300.0,0.052591579068418895,9.05,9.35,8.97,9.31,1.0
2026-07-31,8.9,9.27,8.79,9.24,21571600.0,196630956.0,0.037199558866304105,8.9,9.27,8.79,9.24,1.0
2026-08-03,9.18,9.32,9.12,9.31,16196050.0,149683579.0,0.027929588689601357,9.18,9.32,9.12,9.31,1.0
2026-08-04,9.5,9.68,9.33,9.63,28992842.0,274739080.0,0.049997261801649116,9.5,9.68,9.33,9.63,1.0
2026-08-05,9.5,9.54,9.28,9.41,26106300.0,244943956.0,0.04501950915237604,9.5,9.54,9.28,9.41,1.0
2026-08-06,9.39,10.35,9.24,10.35,28105760.0,277752200.0,0.04846751625295367,9.39,10.35,9.24,10.35,1.0
2026-08-07,10.3,11.35,10.09,10.32,61027150.0,646427855.0,0.10523943791224438,10.3,11.35,10.09,10.32,1.0
2026-08-10,10.27,10.88,10.27,10.54,49534692.0,522734426.0,0.08542104855357244,10.27,10.88,10.27,10.54,1.0
2026-08-11,10.2,10.95,10.18,10.74,46752435.0,500110501.0,0.08062313217033305,10.2,10.95,10.18,10.74,1.0
2026-08-12,10.62,10.99,10.37,10.69,37002359.0,393957690.0,0.06380942683030548,10.62,10.99,10.37,10.69,1.0
2026-08-13,10.56,11.55,10.38,10.75,42570872.0,465296048.0,0.07341215574894293,10.56,11.55,10.38,10.75,1.0
2026-08-14,10.67,11.83,10.3,11.83,50959289.0,565271892.0,0.08787772214117189,10.67,11.83,10.3,11.83,1.0
2026-08-17,12.34,12.79,10.98,11.54,62280601.0,721430344.0,0.10740097550150654,12.34,12.79,10.98,11.54,1.0
2026-08-18,11.27,12.69,11.27,11.9,74244861.0,901369440.0,0.12803297285737109,11.27,12.69,11.27,11.9,1.0
2026-08-19,11.66,11.8,10.71,10.71,38561400.0,423044351.0,0.06649794494924341,11.66,11.8,10.71,10.71,1.0
2026-08-20,10.32,11.1,10.06,10.27,48948749.0,514327188.0,0.08441060792233512,10.32,11.1,10.06,10.27,1.0
2026-08-21,9.74,10.05,9.52,9.62,38220723.0,370576934.0,0.06591045797025735,9.74,10.05,9.52,9.62,1.0
2026-08-24,9.62,9.74,9.15,9.22,24322401.0,227314398.0,0.04194323034774212,9.62,9.74,9.15,9.22,1.0
2026-08-25,9.2,10.14,9.1,10.14,42553664.0,416052674.0,0.07338248108368994,9.2,10.14,9.1,10.14,1.0
2026-08-26,10.16,10.44,10.01,10.18,40265738.0,411213077.0,0.06943702326328034,10.16,10.44,10.01,10.18,1.0
2026-08-27,10.13,10.77,10.13,10.58,43376438.0,455979073.0,0.07480132946983953,10.13,10.77,10.13,10.58,1.0
2026-08-28,10.47,10.52,10.29,10.31,24835640.0,257920028.0,0.04282829517339173,10.47,10.52,10.29,10.31,1.0
2026-08-31,10.16,10.43,9.98,10.11,19342300.0,195168486.0,0.033355199774690515,10.16,10.43,9.98,10.11,1.0
2026-09-01,10.05,10.65,10.0,10.47,23785742.0,246890326.0,0.04101777845443648,10.05,10.65,10.0,10.47,1.0
2026-09-02,10.37,10.53,10.17,10.23,14438738.0,148121477.0,0.024899158346443566,10.37,10.53,10.17,10.23,1.0
