日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,59.8,61.19,53.91,53.91,4772600.0,265278822.0,0.04816915623738393,59.8,61.19,53.91,53.91,1.0
2026-07-31,58.42,59.3,58.42,59.3,2488100.0,147213803.0,0.025112030682276947,58.42,59.3,58.42,59.3,1.0
2026-08-03,59.8,62.0,57.3,57.52,5706781.0,337328926.0,0.057597708922083164,59.8,62.0,57.3,57.52,1.0
2026-08-04,58.67,58.91,56.45,58.4,3901840.0,226329654.0,0.03938070246265644,58.67,58.91,56.45,58.4,1.0
2026-08-05,58.99,64.24,58.42,64.24,2011100.0,125694158.0,0.020297739200645943,58.99,64.24,58.42,64.24,1.0
2026-08-06,64.37,66.78,62.8,65.17,7701000.0,497595956.0,0.07772507064997981,64.37,66.78,62.8,65.17,1.0
2026-08-07,64.09,66.68,63.55,66.15,5568100.0,365752744.0,0.0561980218005652,64.09,66.68,63.55,66.15,1.0
2026-08-10,66.48,67.26,64.09,66.19,4175800.0,274495750.0,0.042145740815502625,66.48,67.26,64.09,66.19,1.0
2026-08-11,66.2,66.3,64.33,64.77,3285500.0,214236502.0,0.033160072668550665,66.2,66.3,64.33,64.77,1.0
2026-08-12,64.7,66.1,63.71,65.89,3257820.0,212892080.0,0.03288070246265644,64.7,66.1,63.71,65.89,1.0
2026-08-13,67.21,70.0,65.2,65.33,5330200.0,358453601.0,0.053796931772305205,67.21,70.0,65.2,65.33,1.0
2026-08-14,66.38,67.99,64.06,65.27,3909800.0,256420422.0,0.039461041582559545,66.38,67.99,64.06,65.27,1.0
2026-08-17,66.49,69.4,65.29,68.28,6571200.0,443859641.0,0.06632216390795317,66.49,69.4,65.29,68.28,1.0
2026-08-18,68.06,70.68,68.05,69.89,4819136.0,332833773.0,0.04863883730318934,68.06,70.68,68.05,69.89,1.0
2026-08-19,67.23,68.79,64.52,65.0,5062184.0,335322374.0,0.051091885345175614,67.23,68.79,64.52,65.0,1.0
2026-08-20,66.1,67.46,64.62,65.68,3069440.0,201943409.0,0.030979410577311264,66.1,67.46,64.62,65.68,1.0
2026-08-21,65.19,67.88,63.86,67.36,3664520.0,244589755.0,0.03698546628986677,65.19,67.88,63.86,67.36,1.0
2026-08-24,67.51,68.6,63.85,65.35,3480800.0,228394416.0,0.0351312071053694,67.51,68.6,63.85,65.35,1.0
2026-08-25,64.88,66.17,63.23,66.04,2665720.0,173089921.0,0.026904723455793297,64.88,66.17,63.23,66.04,1.0
2026-08-26,66.04,67.2,63.87,64.5,3046900.0,197220659.0,0.030751917642309244,66.04,67.2,63.87,64.5,1.0
2026-08-27,64.5,69.83,64.16,68.41,4821700.0,323214943.0,0.04866471538150989,64.5,69.83,64.16,68.41,1.0
2026-08-28,68.4,71.48,68.0,69.55,4278800.0,299458170.0,0.043185304804198625,68.4,71.48,68.0,69.55,1.0
2026-08-31,68.68,70.44,67.0,70.26,3014500.0,207292668.0,0.03042490916431167,68.68,70.44,67.0,70.26,1.0
2026-09-01,71.6,73.65,66.86,67.5,4187800.0,290625025.0,0.04226685506661284,71.6,73.65,66.86,67.5,1.0
2026-09-02,65.11,67.9,65.02,67.35,2748300.0,183384247.0,0.027738191360516754,65.11,67.9,65.02,67.35,1.0
