日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,4.62,4.72,4.48,4.49,85323050.0,390875630.0,0.023778084364945586,4.62,4.72,4.48,4.49,1.0
2026-07-31,4.69,4.89,4.57,4.58,109980310.0,520444821.0,0.0306496437910139,4.69,4.89,4.57,4.58,1.0
2026-08-03,4.56,4.65,4.51,4.59,65789667.0,302102954.0,0.01833446240221929,4.56,4.65,4.51,4.59,1.0
2026-08-04,4.62,4.77,4.6,4.73,72973851.0,342649830.0,0.020336572421086316,4.62,4.77,4.6,4.73,1.0
2026-08-05,4.72,5.0,4.68,4.97,92336078.0,452351372.0,0.025732496114616112,4.72,5.0,4.68,4.97,1.0
2026-08-06,4.92,5.04,4.84,5.01,81003240.0,401642470.0,0.022574226713109,4.92,5.04,4.84,5.01,1.0
2026-08-07,5.0,5.51,4.91,5.51,152938716.0,811470636.0,0.042621421664069126,5.0,5.51,4.91,5.51,1.0
2026-08-10,5.52,5.53,5.16,5.31,258112563.0,1362259139.0,0.07193158588056021,5.52,5.53,5.16,5.31,1.0
2026-08-11,5.3,5.49,5.21,5.35,197049721.0,1051001927.0,0.0549144092953427,5.3,5.49,5.21,5.35,1.0
2026-08-12,5.44,5.48,5.26,5.3,128529650.0,683636559.0,0.03581902968889331,5.44,5.48,5.26,5.3,1.0
2026-08-13,5.3,5.37,5.16,5.17,110149342.0,580816021.0,0.030696750137497945,5.3,5.37,5.16,5.17,1.0
2026-08-14,5.22,5.5,5.2,5.31,127073258.0,674983723.0,0.03541315798312996,5.22,5.5,5.2,5.31,1.0
2026-08-17,5.36,5.68,5.35,5.59,171002256.0,943562490.0,0.04765542335586952,5.36,5.68,5.35,5.59,1.0
2026-08-18,5.6,5.85,5.47,5.5,176191853.0,991385483.0,0.04910167586660452,5.6,5.85,5.47,5.5,1.0
2026-08-19,5.4,5.72,5.17,5.23,157063366.0,844448167.0,0.04377089153974602,5.4,5.72,5.17,5.23,1.0
2026-08-20,5.25,5.27,5.03,5.09,124495840.0,637007901.0,0.03469487537781136,5.25,5.27,5.03,5.09,1.0
2026-08-21,5.07,5.6,4.99,5.51,272479018.0,1475695573.0,0.07593527279769684,5.07,5.6,4.99,5.51,1.0
2026-08-24,5.5,5.55,5.23,5.37,160577204.0,859418781.0,0.04475013848894382,5.5,5.55,5.23,5.37,1.0
2026-08-25,5.27,5.36,5.17,5.28,113609613.0,597444880.0,0.03166106887391881,5.27,5.36,5.17,5.28,1.0
2026-08-26,5.24,5.36,5.15,5.32,96954224.0,511231241.0,0.027019494940814143,5.24,5.36,5.15,5.32,1.0
2026-08-27,5.28,5.61,5.26,5.59,128256559.0,704535568.0,0.03574292386711001,5.28,5.61,5.26,5.59,1.0
2026-08-28,5.54,5.72,5.53,5.67,116672323.0,657546630.0,0.032514594114347546,5.54,5.72,5.53,5.67,1.0
2026-08-31,5.6,5.69,5.53,5.68,92014951.0,517178181.0,0.02564300347578215,5.6,5.69,5.53,5.68,1.0
2026-09-01,5.69,5.69,5.53,5.59,88191043.0,493589888.0,0.024577345285787883,5.69,5.69,5.53,5.59,1.0
2026-09-02,5.57,5.8,5.56,5.59,149724839.0,848874840.0,0.04172576874912342,5.57,5.8,5.56,5.59,1.0
