日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,32.06,32.78,30.58,31.46,48557552.0,1533408759.0,0.02951051967902955,32.06,32.78,30.58,31.46,1.0
2026-07-31,32.9,34.5,32.7,34.1,85013769.0,2861543270.0,0.05166653588844373,32.9,34.5,32.7,34.1,1.0
2026-08-03,34.4,35.2,34.13,34.81,59122794.0,2055327612.0,0.035931473147909315,34.4,35.2,34.13,34.81,1.0
2026-08-04,35.05,36.79,35.05,36.34,60928976.0,2204174488.0,0.037029167888676086,35.05,36.79,35.05,36.34,1.0
2026-08-05,37.37,38.66,36.68,38.6,70406375.0,2676517417.0,0.04278899222445633,37.37,38.66,36.68,38.6,1.0
2026-08-06,39.3,40.3,38.11,39.25,91938748.0,3603896919.0,0.05587514444960773,39.3,40.3,38.11,39.25,1.0
2026-08-07,39.23,40.7,38.42,40.34,77762947.0,3089343052.0,0.04725989847558279,39.23,40.7,38.42,40.34,1.0
2026-08-10,40.3,40.95,39.56,40.5,67572866.0,2714182998.0,0.04106694653514301,40.3,40.95,39.56,40.5,1.0
2026-08-11,40.19,40.4,38.21,38.4,76502078.0,3000308210.0,0.046493613975961016,40.19,40.4,38.21,38.4,1.0
2026-08-12,38.42,40.07,38.17,39.24,51887253.0,2041564637.0,0.03153412265814564,38.42,40.07,38.17,39.24,1.0
2026-08-13,39.11,39.68,37.61,37.67,55499125.0,2140404887.0,0.03372921313004867,39.11,39.68,37.61,37.67,1.0
2026-08-14,37.68,38.84,37.37,38.61,38445532.0,1473873470.0,0.02336500877673488,37.68,38.84,37.37,38.61,1.0
2026-08-17,39.14,39.8,39.14,39.61,49120213.0,1940608232.0,0.029852473048365847,39.14,39.8,39.14,39.61,1.0
2026-08-18,39.24,40.18,38.4,38.93,43829233.0,1713851691.0,0.02663691618892302,39.24,40.18,38.4,38.93,1.0
2026-08-19,37.3,38.1,36.01,36.19,54266413.0,2002364109.0,0.03298004085434218,37.3,38.1,36.01,36.19,1.0
2026-08-20,37.69,37.8,36.66,36.95,45715054.0,1703504437.0,0.027783010986527874,37.69,37.8,36.66,36.95,1.0
2026-08-21,37.0,37.56,36.5,37.1,40013027.0,1480175051.0,0.02431764312791223,37.0,37.56,36.5,37.1,1.0
2026-08-24,37.39,37.5,35.24,36.03,56130422.0,2024613427.0,0.034112879558327674,37.39,37.5,35.24,36.03,1.0
2026-08-25,35.46,35.98,34.22,34.9,50319984.0,1751294286.0,0.030581625656920516,35.46,35.98,34.22,34.9,1.0
2026-08-26,35.02,36.55,34.7,35.57,47418342.0,1694761713.0,0.028818172603469663,35.02,36.55,34.7,35.57,1.0
2026-08-27,34.97,36.4,34.83,36.12,42269545.0,1515937387.0,0.025689026488529016,34.97,36.4,34.83,36.12,1.0
2026-08-28,36.25,36.66,35.75,36.27,35112656.0,1272343536.0,0.021339476213112947,36.25,36.66,35.75,36.27,1.0
2026-08-31,35.0,36.2,34.45,36.19,34527227.0,1228518767.0,0.020983685747704504,35.0,36.2,34.45,36.19,1.0
2026-09-01,37.2,37.25,35.4,35.47,32794017.0,1174915990.0,0.019930339240185124,37.2,37.25,35.4,35.47,1.0
2026-09-02,34.41,34.63,33.27,34.3,42177638.0,1434193684.0,0.025633170638708982,34.41,34.63,33.27,34.3,1.0
