股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,决策说明
002724,海洋王,7.15,0.03623188405797095,0.10510046367851622,0.33395522388059695,0.4895833333333335,0.35416666666666674,-0.0714285714285714,0.11782477341389731,-0.041554959785522705,-0.13855421686746994,0.684065934065934,0.14822546972860118,0.05953169204839592,0.0351362523450669,-0.03417784939538793,0.021428571428571574,12,0,0,1,0,2.25,3.25,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,12,True,入选：按阶段3分排序第12名；本阶段上限30只
603188,亚邦股份,5.07,0.04752066115702491,0.08102345415778256,0.25806451612903225,0.3033419023136248,0.18457943925233655,-0.08318264014466548,0.11157894736842111,-0.03977272727272729,-0.1926751592356688,0.5827586206896552,0.09137875363254766,0.04348517370220195,0.010863053636327447,-0.03372508942258545,0.014000000000000012,12,0,0,1,0,2.25,3.25,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,13,True,入选：按阶段3分排序第13名；本阶段上限30只
603400,华之杰,48.38,0.04945770065075927,0.027830890163586197,0.07582832999777644,0.2671555788370876,0.01638655462184868,-0.10967979389032023,0.1256604640477831,-0.06566241792197758,-0.29761904761904756,0.4599578503688094,0.0527346512462874,0.042841518186119476,-0.01995731869974471,-0.014951032960500377,0.017455310199789853,12,0,0,1,0,2.25,3.25,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,14,True,入选：按阶段3分排序第14名；本阶段上限30只
000526,学大教育,37.41,-0.018110236220472586,-0.042977743668457524,0.05380281690140842,0.4011235955056178,0.4284077892325313,0.06916261789082578,0.12048540884137537,-0.042977743668457524,-0.3106688778330571,0.4466688546110927,0.04549773629199039,0.03518984122014923,0.043233909822597116,-0.004638837128468243,0.014370932754880439,11,0,0,1,0,0.75,1.75,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,15,True,入选：按阶段3分排序第15名；本阶段上限30只
002012,凯恩股份,7.35,0.009615384615384581,0.11702127659574457,0.14130434782608692,0.2068965517241379,-0.04296875,0.012396694214876103,0.07737226277372267,-0.004065040650406582,-0.23834196891191717,0.5137420718816067,0.08591268375563255,0.05118989271905461,-0.022278673948939454,-0.008907218507491876,0.009615384615384581,11,0,0,1,0,0.75,1.75,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,16,True,入选：按阶段3分排序第16名；本阶段上限30只
002734,利民股份,16.57,-0.0071899340922708666,0.12951601908657118,0.09300791556728227,0.02664188351920682,0.042138364779874316,-0.21469194312796214,0.10858257477243172,-0.028152492668621742,-0.25326723749436686,0.4642516682554814,0.056760204081632626,0.031906811851101446,-0.010172896949188326,-0.0418442295105812,0.01159951159951178,11,0,0,1,0,0.75,1.75,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,17,True,入选：按阶段3分排序第17名；本阶段上限30只
002973,侨银股份,12.78,0.01670644391408116,0.14413607878245305,0.2792792792792791,0.28830645161290325,-0.020689655172413945,-0.073913043478261,0.1016088060965283,-0.017678708685626487,-0.2356459330143541,0.5099502487562189,0.07843550905025087,0.04485714285714293,-0.009412832929782011,-0.03600865928923891,-0.005447470817120603,11,0,0,1,0,0.75,1.75,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,18,True,入选：按阶段3分排序第18名；本阶段上限30只
300305,裕兴股份,6.52,0.007727975270479082,0.07590759075907583,0.043199999999999905,0.24665391969407247,-0.13297872340425532,-0.05507246376811603,0.07920792079207928,-0.03550295857988173,-0.21445783132530127,0.5388601036269427,0.04128403737123687,0.0434426229508198,-0.026837335628042025,-0.013441350386829476,0.006172839506172645,11,0,0,1,0,0.75,1.75,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,19,True,入选：按阶段3分排序第19名；本阶段上限30只
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,0.10944527736131948,-0.2629482071713146,-0.08188585607940446,0.11661807580174924,-0.07035175879396982,-0.3410507569011576,0.3792544570502432,0.042473762062407605,0.034071212796513706,-0.04573749503333191,-0.02533166196594583,0.029207232267037586,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,20,False,未入选：未满足三级生命周期筛选最低资格条件
000723,美锦能源,3.99,0.023076923076923217,0.12711864406779672,0.09315068493150691,0.18397626112759657,-0.05450236966824629,-0.24431818181818177,0.09283819628647218,-0.03155339805825241,-0.3202725724020443,0.29850746268656725,0.07532677536720134,0.02248234856930509,-0.021342839093944743,-0.0535893477421846,-0.0024999999999999467,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,21,False,未入选：未满足三级生命周期筛选最低资格条件
000735,罗 牛 山,5.9,0.03690685413005279,-0.0453074433656957,0.11742424242424243,0.18951612903225823,0.16600790513834007,-0.2247043363994744,0.1298701298701299,-0.08809891808346204,-0.5115894039735098,0.16146540027137046,0.07029478458049887,0.02414384649596535,0.0076449627470036585,-0.05818162246531855,0.0016977928692700761,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,22,False,未入选：未满足三级生命周期筛选最低资格条件
002702,海欣食品,5.32,0.035019455252918386,0.029013539651837617,0.09465020576131677,0.20090293453724617,0.04930966469428011,-0.13636363636363635,0.09650924024640652,-0.0037453183520598232,-0.5258467023172906,0.18956043956043958,0.0657051282051282,0.02782905012068726,-0.011485851519264845,-0.04968433863238775,0.0037735849056603765,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,23,False,未入选：未满足三级生命周期筛选最低资格条件
600547,山东黄金,37.89,0.027107617240444526,0.16548754229467866,0.3124350536889504,0.5528688524590164,0.4022945965951148,-0.18951871657754005,0.14434523809523814,-0.014564369310793301,-0.41608876560332875,0.3657505285412262,0.1385387400652054,0.0648830266637912,0.04776865228577076,-0.065004643362916,-0.005250721974271566,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,24,False,未入选：未满足三级生命周期筛选最低资格条件
600698,湖南天雁,7.68,0.042062415196743475,0.1671732522796352,0.15488721804511263,0.34736842105263155,0.23076923076923062,-0.01285347043701801,0.1195499296765119,-0.035175879396984966,-0.42428785607196406,0.28263624841571605,0.08735664731700421,0.042905286454403724,0.014884205048139254,-0.02731286820252754,0.026737967914438387,12,0,0,1,6,2.25,-2.75,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,25,False,未入选：未满足三级生命周期筛选最低资格条件
000721,西安饮食,7.3,-0.03820816864295129,0.1248073959938365,0.11280487804878048,0.32969034608378855,0.19476268412438613,-0.12679425837320568,0.12444444444444443,-0.03820816864295129,-0.35398230088495586,0.32885906040268453,0.08212273940112658,0.03369258135398123,0.012647508741258973,-0.04516144160198854,-0.00815217391304357,11,0,0,1,6,0.75,-4.25,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,26,False,未入选：未满足三级生命周期筛选最低资格条件
002037,保利联合,7.05,-0.0028288543140029265,0.053811659192825045,0.03372434017595305,0.1691542288557213,0.014388489208633004,-0.2087542087542088,0.03498542274052468,-0.0832249674902471,-0.40556492411467115,0.22168284789644016,0.00541928123217339,0.026811266757041707,-0.008256349585923917,-0.043953541334547874,0.0014204545454545858,11,0,0,1,6,0.75,-4.25,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,27,False,未入选：未满足三级生命周期筛选最低资格条件
002829,星网宇达,21.57,0.0,0.08994441637190498,0.039017341040462394,0.3380893300248138,-0.002773925104022079,-0.19814126394052034,0.11960985626283359,-0.032735426008968616,-0.3956290277388623,0.2828847130523109,0.04846157585184474,0.00148741418764331,-0.028400672146481565,-0.04832883997488635,0.027632205812291755,11,0,0,1,6,0.75,-4.25,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,28,False,未入选：未满足三级生命周期筛选最低资格条件
002846,英联股份,10.96,-0.009041591320072317,0.07556427870461246,0.025257249766136747,0.09054726368159205,-0.06324786324786313,-0.273209549071618,0.05387523629489606,-0.01704035874439458,-0.5371621621621621,0.14745308310991964,0.023964123884710586,0.025633499657567782,-0.021925584963559674,-0.0589535507909944,-0.009041591320072317,11,0,0,1,6,0.75,-4.25,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,29,False,未入选：未满足三级生命周期筛选最低资格条件
002882,金龙羽,23.92,0.006310475389146086,0.15444015444015458,0.042720139494333065,0.35064935064935066,0.16342412451361876,-0.2323491655969191,0.15247895229186165,-0.029220779220779147,-0.4138691497182063,0.3131354209028061,0.07653187515470661,0.04743127716996054,0.005103050288540967,-0.06031594706913124,0.017872340425532096,11,0,0,1,6,0.75,-4.25,长期下降趋势修复,False,长期下降趋势中的修复/反弹，降级,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,30,False,未入选：未满足三级生命周期筛选最低资格条件
