股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000520,凤凰航运,4.43,0.0572792362768495,0.0045351473922901064,0.11868686868686873,0.0254629629629628,0.0278422273781902,,0.11510791366906485,-0.047311827956989405,-0.1140000000000001,0.6666666666666665,0.06953162723322048,0.026193099940662767,0.006164721354594782,,0.0278422273781902,4.17,4.13,0.062350119904076795,0.07263922518159793,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,0.10944527736131948,-0.2629482071713146,,0.11661807580174924,-0.07035175879396982,-0.2864030858244937,0.4406779661016951,0.04247376206240738,0.034071212796513706,-0.04573749503333191,,0.029207232267037586,6.86,6.58,0.07871720116618075,0.12462006079027366,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
000723,美锦能源,3.99,0.023076923076923217,0.12711864406779672,0.09315068493150691,0.18397626112759657,-0.05450236966824629,,0.09283819628647218,-0.03155339805825241,-0.2975352112676055,0.3212851405622491,0.07532677536720112,0.02248234856930509,-0.0213428390939443,,-0.0024999999999999467,3.77,3.46,0.05835543766578244,0.15317919075144526,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
000735,罗 牛 山,5.9,0.03690685413005279,-0.0453074433656957,0.11742424242424243,0.18951612903225823,0.16600790513834007,,0.1298701298701299,-0.08809891808346204,-0.23969072164948446,0.39016393442622965,0.07029478458049887,0.02414384649596557,0.0076449627470036585,,0.0016977928692700761,5.39,5.18,0.09461966604823768,0.13899613899613916,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
000887,中鼎股份,21.32,0.0319457889641821,0.020584011488750553,0.14377682403433467,0.24751316559391467,-0.022018348623853212,,0.09163745618427652,-0.10004221190375695,-0.10004221190375695,0.6865079365079365,0.014658290500666249,0.032226579520697074,0.001530669280843222,,-0.01751152073732709,19.97,19.97,0.0676014021031548,0.0676014021031548,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
001210,金房能源,29.88,0.03678001387925045,0.10462107208872462,0.4372294372294372,0.5315222962583288,0.29127052722558333,,0.1549243821468093,-0.045672309166400527,-0.045672309166400527,0.9198430493273543,0.14544199953998294,0.08080435384189655,0.03846242375417175,,0.008777852802160702,27.11,25.79,0.10217631870158606,0.1585886002326482,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
001268,联合精密,26.02,0.05088852988691439,0.16057091882247976,0.3316274309109519,0.1293402777777779,-0.10306790761806284,,0.10388548057259711,-0.0359392367543534,-0.22467222884386184,0.5766423357664232,0.14273166447079477,0.06117365746737091,-0.02219073260592308,,-0.014020462296324365,24.45,22.08,0.06421267893660532,0.17844202898550732,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
002041,登海种业,11.58,0.05464480874316946,0.13640824337585866,0.2924107142857142,0.4087591240875912,0.3310344827586209,,0.16584887144259092,-0.025252525252525304,-0.050819672131147464,0.8606741573033709,0.13651977622926692,0.049215714491293694,0.05110765643218018,,-0.014468085106382977,10.19,10.16,0.13640824337585866,0.13976377952755903,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
002365,永安药业,15.8,0.03879026955950038,0.016077170418006492,0.23727486296006273,0.5061963775023832,0.4311594202898552,,0.11715481171548116,-0.07764156450671322,-0.07764156450671322,0.8180574555403559,0.08826669421772237,0.03533982516872958,0.053727589958040944,,0.0050890585241729624,14.34,14.1,0.10181311018131112,0.12056737588652489,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
002655,共达电声,38.85,0.03023070803500394,0.09807801017524032,0.24240486088903102,0.16736778846153855,0.17018072289156616,,0.09262295081967215,-0.047093451066961056,-0.2630880121396054,0.6203120722693676,0.06830556013859113,0.06430429128738613,0.010348391047660721,,-0.016455696202531622,36.6,33.6,0.061475409836065475,0.15625,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,50,31,12,入选：阶段2分=12；软容量30-50只，本次实际31只
