股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000592,平潭发展,成功,120,global-cache,global-cache,local-cache,120,
002015,协鑫能科,成功,120,global-cache,global-cache,local-cache,120,
002194,武汉凡谷,成功,120,global-cache,global-cache,local-cache,120,
002491,通鼎互联,成功,120,global-cache,global-cache,local-cache,120,
002870,香山股份,成功,120,sina,sina,deep-backfill,120,
002918,蒙娜丽莎,成功,120,global-cache,global-cache,local-cache,120,
301282,金禄电子,成功,120,global-cache,global-cache,local-cache,111,
600255,鑫科材料,成功,120,global-cache,global-cache,local-cache,120,
601872,招商轮船,成功,120,global-cache,global-cache,local-cache,120,
603228,景旺电子,成功,120,global-cache,global-cache,local-cache,120,
603637,镇海股份,成功,120,global-cache,global-cache,local-cache,120,
603980,吉华集团,成功,120,global-cache,global-cache,local-cache,120,
688485,九州一轨,成功,120,global-cache,global-cache,local-cache,120,
002172,澳洋健康,成功,120,global-cache,global-cache,local-cache,120,
002349,精华制药,成功,120,global-cache,global-cache,local-cache,120,
002882,金龙羽,成功,120,global-cache,global-cache,local-cache,110,
301489,思泉新材,成功,120,global-cache,global-cache,local-cache,120,
600192,长城电工,成功,120,global-cache,global-cache,local-cache,120,
600969,郴电国际,成功,120,global-cache,global-cache,local-cache,120,
603082,北自科技,成功,120,global-cache,global-cache,local-cache,120,
603150,万朗磁塑,成功,120,global-cache,global-cache,local-cache,120,
603601,再升科技,成功,120,global-cache,global-cache,local-cache,120,
605011,杭州热电,成功,120,global-cache,global-cache,local-cache,120,
688001,华兴源创,成功,120,global-cache,global-cache,local-cache,120,
000723,美锦能源,成功,120,global-cache,global-cache,local-cache,109,
000980,众泰汽车,成功,120,global-cache,global-cache,local-cache,120,
001268,联合精密,成功,120,global-cache,global-cache,local-cache,120,
002201,九鼎新材,成功,120,global-cache,global-cache,local-cache,120,
002377,国创高新,成功,120,global-cache,global-cache,local-cache,120,
002716,湖南白银,成功,120,global-cache,global-cache,local-cache,120,
002947,恒铭达,成功,120,global-cache,global-cache,local-cache,110,
300839,博汇股份,成功,120,global-cache,global-cache,local-cache,120,
600105,永鼎股份,成功,120,global-cache,global-cache,local-cache,120,
600330,天通股份,成功,120,global-cache,global-cache,local-cache,120,
600654,中安科,成功,120,global-cache,global-cache,local-cache,120,
601011,宝泰隆,成功,120,global-cache,global-cache,local-cache,110,
601886,江河集团,成功,120,global-cache,global-cache,local-cache,120,
603110,东方材料,成功,120,global-cache,global-cache,local-cache,120,
603285,键邦股份,成功,120,global-cache,global-cache,local-cache,120,
603989,艾华集团,成功,120,global-cache,global-cache,local-cache,120,
