股票代码,股票名称,首次进入日期,最近提交日期,提交次数,当前状态,淘汰日期,淘汰原因
603216,梦天家居,2026-09-02,2026-09-02,1,活跃,,
603217,元利科技,2026-09-02,2026-09-02,1,一级活跃,,
603221,爱丽家居,2026-09-02,2026-09-02,1,活跃,,
603228,景旺电子,2026-09-02,2026-09-02,1,活跃,,
603236,移远通信,2026-09-02,2026-09-02,1,活跃,,
603256,宏和科技,2026-09-02,2026-09-02,1,活跃,,
603259,药明康德,2026-09-02,2026-09-02,1,活跃,,
603261,立航科技,2026-09-02,2026-09-02,1,活跃,,
603268,松发股份,2026-09-02,2026-09-02,1,一级活跃,,
603269,海鸥股份,2026-09-03,2026-09-03,1,活跃,,
603270,金帝股份,2026-09-02,2026-09-03,2,一级活跃,,
603285,键邦股份,2026-09-02,2026-09-02,1,活跃,,
603297,永新光学,2026-09-02,2026-09-02,1,一级活跃,,
603306,华懋科技,2026-09-02,2026-09-02,1,一级活跃,,
603318,水发燃气,2026-09-02,2026-09-02,1,进入30-40只研究池,,
603330,天洋新材,2026-09-02,2026-09-03,2,进入30-40只研究池,,
603333,尚纬股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
603335,迪生力,2026-09-02,2026-09-02,1,活跃,,
603358,华达科技,2026-09-02,2026-09-02,1,活跃,,
603366,日出东方,2026-09-02,2026-09-02,1,一级活跃,,
603387,基蛋生物,2026-09-02,2026-09-02,1,一级活跃,,
603395,红四方,2026-09-02,2026-09-02,1,活跃,,
603396,金辰股份,2026-09-02,2026-09-02,1,一级活跃,,
603400,华之杰,2026-09-02,2026-09-02,1,进入30-40只研究池,,
603459,红板科技,2026-09-02,2026-09-02,1,活跃,,
603533,掌阅科技,2026-09-02,2026-09-02,1,活跃,,
603556,海兴电力,2026-09-02,2026-09-02,1,活跃,,
603559,中通国脉,2026-09-02,2026-09-03,2,活跃,,
603580,艾艾精工,2026-09-02,2026-09-02,1,活跃,,
603618,杭电股份,2026-09-02,2026-09-03,2,活跃,,
603626,科森科技,2026-09-02,2026-09-02,1,活跃,,
603629,利通电子,2026-09-02,2026-09-02,1,活跃,,
603637,镇海股份,2026-09-02,2026-09-02,1,一级活跃,,
603663,三祥新材,2026-09-02,2026-09-02,1,活跃,,
603679,华体科技,2026-09-02,2026-09-02,1,活跃,,
603682,锦和商管,2026-09-02,2026-09-02,1,活跃,,
603688,石英股份,2026-09-02,2026-09-02,1,活跃,,
603690,至纯科技,2026-09-02,2026-09-02,1,活跃,,
603696,安记食品,2026-09-02,2026-09-02,1,活跃,,
603716,塞力医疗,2026-09-02,2026-09-02,1,活跃,,
603721,中广天择,2026-09-02,2026-09-02,1,活跃,,
603725,天安新材,2026-09-02,2026-09-02,1,活跃,,
603738,泰晶科技,2026-09-02,2026-09-02,1,活跃,,
603757,大元泵业,2026-09-02,2026-09-03,2,活跃,,
603773,沃格光电,2026-09-02,2026-09-02,1,活跃,,
603778,国晟科技,2026-09-02,2026-09-02,1,一级活跃,,
603797,联泰环保,2026-09-02,2026-09-02,1,一级活跃,,
603800,洪田股份,2026-09-02,2026-09-02,1,活跃,,
603801,志邦家居,2026-09-02,2026-09-02,1,活跃,,
603848,好太太,2026-09-02,2026-09-02,1,一级活跃,,
603880,南卫股份,2026-09-02,2026-09-02,1,一级活跃,,
603890,春秋电子,2026-09-02,2026-09-02,1,一级活跃,,
603900,莱绅通灵,2026-09-02,2026-09-02,1,活跃,,
603912,佳力图,2026-09-02,2026-09-02,1,进入30-40只研究池,,
603931,格林达,2026-09-02,2026-09-02,1,活跃,,
603936,博敏电子,2026-09-02,2026-09-02,1,一级活跃,,
603938,三孚股份,2026-09-02,2026-09-02,1,活跃,,
603955,大千生态,2026-09-02,2026-09-02,1,一级活跃,,
603958,哈森股份,2026-09-02,2026-09-02,1,活跃,,
603978,深圳新星,2026-09-02,2026-09-03,2,活跃,,
603980,吉华集团,2026-09-02,2026-09-02,1,活跃,,
603989,艾华集团,2026-09-02,2026-09-03,2,活跃,,
603990,麦迪科技,2026-09-02,2026-09-02,1,活跃,,
603995,甬金股份,2026-09-02,2026-09-02,1,一级活跃,,
605006,山东玻纤,2026-09-02,2026-09-02,1,一级活跃,,
605060,联德股份,2026-09-02,2026-09-02,1,活跃,,
605068,明新旭腾,2026-09-02,2026-09-03,2,活跃,,
605118,力鼎光电,2026-09-02,2026-09-03,2,一级活跃,,
605162,新中港,2026-09-02,2026-09-02,1,一级活跃,,
605167,利柏特,2026-09-02,2026-09-02,1,活跃,,
605168,三人行,2026-09-02,2026-09-02,1,一级活跃,,
605178,时空科技,2026-09-02,2026-09-02,1,一级活跃,,
605179,一鸣食品,2026-09-02,2026-09-02,1,活跃,,
605188,国光连锁,2026-09-02,2026-09-03,2,活跃,,
605198,安德利,2026-09-02,2026-09-02,1,一级活跃,,
605288,凯迪股份,2026-09-02,2026-09-03,2,活跃,,
605289,罗曼股份,2026-09-02,2026-09-02,1,活跃,,
605388,均瑶健康,2026-09-02,2026-09-02,1,一级活跃,,
605488,福莱新材,2026-09-02,2026-09-02,1,活跃,,
605577,龙版传媒,2026-09-02,2026-09-03,2,活跃,,
605589,圣泉集团,2026-09-02,2026-09-02,1,活跃,,
688003,天准科技,2026-09-02,2026-09-02,1,活跃,,
688020,方邦股份,2026-09-02,2026-09-02,1,活跃,,
688111,金山办公,2026-09-02,2026-09-02,1,活跃,,
688112,鼎阳科技,2026-09-02,2026-09-02,1,一级活跃,,
688123,聚辰股份,2026-09-02,2026-09-02,1,活跃,,
688137,近岸蛋白,2026-09-02,2026-09-02,1,活跃,,
688143,长盈通,2026-09-02,2026-09-02,1,活跃,,
688146,中船特气,2026-09-02,2026-09-02,1,活跃,,
688152,麒麟信安,2026-09-02,2026-09-02,1,活跃,,
688158,优刻得-W,2026-09-02,2026-09-02,1,活跃,,
688167,炬光科技,2026-09-02,2026-09-02,1,一级活跃,,
688185,康希诺,2026-09-02,2026-09-02,1,活跃,,
688195,腾景科技,2026-09-02,2026-09-02,1,活跃,,
688209,英集芯,2026-09-03,2026-09-03,1,活跃,,
688234,天岳先进,2026-09-02,2026-09-02,1,活跃,,
688280,精进电动-W,2026-09-02,2026-09-02,1,活跃,,
688286,敏芯股份,2026-09-02,2026-09-02,1,一级活跃,,
688300,联瑞新材,2026-09-02,2026-09-02,1,活跃,,
688368,晶丰明源,2026-09-02,2026-09-02,1,活跃,,
688378,奥来德,2026-09-02,2026-09-02,1,活跃,,
688419,耐科装备,2026-09-02,2026-09-02,1,活跃,,
688432,有研硅,2026-09-02,2026-09-02,1,一级活跃,,
688433,华曙高科,2026-09-02,2026-09-02,1,活跃,,
688435,英方软件,2026-09-02,2026-09-02,1,活跃,,
688443,智翔金泰-U,2026-09-02,2026-09-02,1,活跃,,
688485,九州一轨,2026-09-02,2026-09-02,1,活跃,,
688498,源杰科技,2026-09-02,2026-09-02,1,活跃,,
688545,兴福电子,2026-09-02,2026-09-02,1,活跃,,
688596,正帆科技,2026-09-02,2026-09-02,1,活跃,,
688598,金博股份,2026-09-02,2026-09-02,1,活跃,,
688600,皖仪科技,2026-09-02,2026-09-02,1,活跃,,
688601,力芯微,2026-09-02,2026-09-02,1,活跃,,
688618,三旺通信,2026-09-02,2026-09-02,1,一级活跃,,
688625,呈和科技,2026-09-02,2026-09-02,1,活跃,,
688661,和林微纳,2026-09-02,2026-09-02,1,活跃,,
688662,富信科技,2026-09-02,2026-09-02,1,活跃,,
688669,聚石化学,2026-09-02,2026-09-02,1,活跃,,
688677,海泰新光,2026-09-02,2026-09-02,1,活跃,,
688790,昂瑞微-UW,2026-09-02,2026-09-02,1,活跃,,
688808,联讯仪器,2026-09-02,2026-09-02,1,进入30-40只研究池,,
920006,晟楠科技,2026-09-03,2026-09-03,1,活跃,,
920021,流金科技,2026-09-03,2026-09-03,1,活跃,,
920212,智新电子,2026-09-03,2026-09-03,1,活跃,,
920592,华信永道,2026-09-03,2026-09-03,1,活跃,,
920855,浙江大农,2026-09-03,2026-09-03,1,活跃,,
920895,花溪科技,2026-09-03,2026-09-03,1,活跃,,
