股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000635,英 力 特,成功,120,global-cache,global-cache,local-cache,114,
002040,南 京 港,成功,120,global-cache,global-cache,local-cache,114,
002201,九鼎新材,成功,120,global-cache,global-cache,local-cache,114,
002377,国创高新,成功,120,global-cache,global-cache,local-cache,114,
002811,郑中设计,成功,120,global-cache,global-cache,local-cache,105,
002918,蒙娜丽莎,成功,120,global-cache,global-cache,local-cache,114,
002980,华盛昌,成功,120,global-cache,global-cache,local-cache,114,
300378,鼎捷数智,成功,120,global-cache,global-cache,local-cache,114,
301231,荣信文化,成功,120,global-cache,global-cache,local-cache,114,
600192,长城电工,成功,120,global-cache,global-cache,local-cache,114,
600378,昊华科技,成功,120,global-cache,global-cache,local-cache,114,
601872,招商轮船,成功,120,global-cache,global-cache,local-cache,114,
603122,合富中国,成功,120,global-cache,global-cache,local-cache,114,
603269,海鸥股份,成功,120,global-cache,global-cache,local-cache,114,
603637,镇海股份,成功,120,global-cache,global-cache,local-cache,114,
603980,吉华集团,成功,120,global-cache,global-cache,local-cache,114,
000560,我爱我家,成功,120,global-cache,global-cache,local-cache,114,
001232,嘉立创,成功,34,sina,sina,deep-backfill,34,
002212,天融信,成功,120,global-cache,global-cache,local-cache,114,
002436,兴森科技,成功,120,global-cache,global-cache,local-cache,114,
002902,铭普光磁,成功,120,global-cache,global-cache,local-cache,114,
301282,金禄电子,成功,120,global-cache,global-cache,local-cache,105,
600127,金健米业,成功,120,global-cache,global-cache,local-cache,114,
600967,内蒙一机,成功,120,global-cache,global-cache,local-cache,114,
603011,合锻智能,成功,120,global-cache,global-cache,local-cache,114,
603090,宏盛股份,成功,120,global-cache,global-cache,local-cache,114,
603285,键邦股份,成功,120,global-cache,global-cache,local-cache,114,
605162,新中港,成功,120,global-cache,global-cache,local-cache,114,
605580,恒盛能源,成功,120,global-cache,global-cache,local-cache,114,
688655,迅捷兴科技,成功,120,global-cache,global-cache,local-cache,114,
000536,华映科技,成功,120,global-cache,global-cache,local-cache,114,
000628,高新发展,成功,120,global-cache,global-cache,local-cache,105,
000823,超声电子,成功,120,global-cache,global-cache,local-cache,114,
000980,众泰汽车,成功,120,global-cache,global-cache,local-cache,114,
001358,兴欣新材,成功,120,global-cache,global-cache,local-cache,114,
002068,黑猫股份,成功,120,global-cache,global-cache,local-cache,114,
002229,鸿博股份,成功,120,global-cache,global-cache,local-cache,104,
002536,飞龙股份,成功,120,global-cache,global-cache,local-cache,114,
002703,浙江世宝,成功,120,global-cache,global-cache,local-cache,114,
002949,华阳国际,成功,120,global-cache,global-cache,local-cache,105,
301129,瑞纳智能,成功,120,global-cache,global-cache,local-cache,114,
600059,古越龙山,成功,120,global-cache,global-cache,local-cache,114,
600318,新力金融,成功,120,global-cache,global-cache,local-cache,114,
600540,新赛股份,成功,120,global-cache,global-cache,local-cache,114,
600654,中安科,成功,120,global-cache,global-cache,local-cache,114,
600829,人民同泰,成功,120,global-cache,global-cache,local-cache,114,
601011,宝泰隆,成功,120,global-cache,global-cache,local-cache,105,
603093,南华期货,成功,120,global-cache,global-cache,local-cache,114,
603396,金辰股份,成功,120,global-cache,global-cache,local-cache,114,
603696,安记食品,成功,120,global-cache,global-cache,local-cache,114,
605006,山东玻纤,成功,120,global-cache,global-cache,local-cache,114,
688003,天准科技,成功,120,global-cache,global-cache,local-cache,114,
000993,闽东电力,成功,120,global-cache,global-cache,local-cache,114,
002295,精艺股份,成功,120,global-cache,global-cache,local-cache,114,
003031,中瓷电子,成功,120,global-cache,global-cache,local-cache,106,
300570,太辰光,成功,120,global-cache,global-cache,local-cache,114,
600095,湘财股份,成功,120,global-cache,global-cache,local-cache,114,
600641,先导基电,成功,120,global-cache,global-cache,local-cache,114,
601118,海南橡胶,成功,120,global-cache,global-cache,local-cache,104,
603052,可川科技,成功,120,global-cache,global-cache,local-cache,114,
603200,上海洗霸,成功,120,global-cache,global-cache,local-cache,114,
603721,中广天择,成功,120,global-cache,global-cache,local-cache,114,
688001,苏州华兴源创科技,成功,120,global-cache,global-cache,local-cache,114,
688378,奥来德光电,成功,120,global-cache,global-cache,local-cache,114,
000428,华天酒店,成功,120,global-cache,global-cache,local-cache,114,
000526,学大教育,成功,120,global-cache,global-cache,local-cache,103,
000931,中 关 村,成功,120,global-cache,global-cache,local-cache,106,
002038,双鹭药业,成功,120,global-cache,global-cache,local-cache,114,
002277,友阿股份,成功,120,global-cache,global-cache,local-cache,114,
002476,新叶股份,成功,120,global-cache,global-cache,local-cache,104,
002880,卫光生物,成功,120,global-cache,global-cache,local-cache,114,
300142,沃森生物,成功,120,global-cache,global-cache,local-cache,114,
300970,华绿生物,成功,120,global-cache,global-cache,local-cache,105,
301211,亨迪药业,成功,120,global-cache,global-cache,local-cache,114,
600613,神奇制药,成功,120,global-cache,global-cache,local-cache,114,
600865,百大集团,成功,120,global-cache,global-cache,local-cache,114,
603102,百合股份,成功,120,global-cache,global-cache,local-cache,106,
603366,日出东方,成功,120,global-cache,global-cache,local-cache,114,
603823,百合花,成功,120,global-cache,global-cache,local-cache,105,
688677,青岛海泰新光,成功,120,global-cache,global-cache,local-cache,114,
002721,金一文化,成功,120,global-cache,global-cache,local-cache,114,
600721,百花医药,成功,120,global-cache,global-cache,local-cache,114,
605398,新炬网络,成功,120,global-cache,global-cache,local-cache,114,
