股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000520,凤凰航运,成功,250,global-cache,global-cache,cache/full,250,
000670,盈方微,成功,250,global-cache,global-cache,cache/full,250,
000723,美锦能源,成功,250,global-cache,global-cache,cache/full,250,
000735,罗 牛 山,成功,250,global-cache,global-cache,cache/full,250,
000887,中鼎股份,成功,250,global-cache,global-cache,cache/full,250,
001210,金房能源,成功,250,global-cache,global-cache,cache/full,250,
001268,联合精密,成功,250,sina,sina,cache/full,250,
002041,登海种业,成功,250,sina,sina,cache/full,250,
002365,永安药业,成功,250,global-cache,global-cache,cache/full,250,
002655,共达电声,成功,250,sina,sina,cache/full,250,
002702,海欣食品,成功,250,global-cache,global-cache,cache/full,250,
002724,海洋王,成功,250,global-cache,global-cache,cache/full,250,
002913,奥士康,成功,250,global-cache,global-cache,cache/full,250,
300839,博汇股份,成功,250,sina,sina,cache/full,250,
301227,森鹰窗业,成功,250,sina,sina,cache/full,250,
301251,威尔高,成功,250,sina,sina,cache/full,250,
600186,莲花控股,成功,250,global-cache,global-cache,cache/full,250,
600547,山东黄金,成功,250,global-cache,global-cache,cache/full,250,
600698,湖南天雁,成功,250,global-cache,global-cache,cache/full,250,
600737,中粮糖业,成功,250,sina,sina,cache/full,250,
600801,华新建材,成功,250,global-cache,global-cache,cache/full,250,
601118,海南橡胶,成功,250,global-cache,global-cache,cache/full,250,
601886,江河集团,成功,250,sina,sina,cache/full,250,
603188,亚邦股份,成功,250,global-cache,global-cache,cache/full,250,
603318,水发燃气,成功,250,global-cache,global-cache,cache/full,250,
603330,天洋新材,成功,250,global-cache,global-cache,cache/full,250,
603333,福华尚纬,成功,250,global-cache,global-cache,cache/full,250,
603400,华之杰,成功,250,global-cache,global-cache,cache/full,250,
603848,好太太,成功,250,sina,sina,cache/full,250,
603912,佳力图,成功,250,global-cache,global-cache,cache/full,250,
603955,大千生态,成功,250,sina,sina,cache/full,250,
