股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000020,深华发Ａ,12.45,0.01384364820846895,-0.01813880126182965,0.012195121951219301,0.11659192825112097,,,,0.07944307944307935,-0.09388646288209612,0.2367236723672368,0.3355941492823617,7538243.2,17410408.7,0.4329733626528825,0.041609731077168,0.09610228865401774,0.43297336265288233,True,-0.027253019510684262,0.005775773399794293,False,3,2,部分收敛/待确认,-0.09388646288209612,0.5728476821192049,0.012030564135912858,,,,-0.055386949924127515,12.21,11.56,0.019656019656019597,0.07698961937716242,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000026,飞亚达,21.13,0.069873417721519,0.04037419990152635,0.07204464738711303,0.10802307288935498,,,,0.11196712891628145,-0.10504023718763233,0.24002100840336138,0.46648886970809594,10844075.2,11875241.0,0.913166747521166,0.02975562533481192,0.032585095127023546,0.913166747521167,True,-0.0017855371490924643,-0.006789333858112867,True,3,3,收敛较充分,-0.10504023718763233,0.6942046855733661,0.02069898316547114,,,,0.022254475084663605,19.47,19.1,0.0852593733949667,0.1062827225130889,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000062,深圳华强,24.05,0.011779554059739183,-0.020366598778004064,0.09967992684042071,0.03485370051635117,,,,0.05977108944467995,-0.03799999999999992,0.1612149532710282,0.3707540040916376,34400517.6,24195140.8,1.4217944786665593,0.03292665852802104,0.023158521869420617,1.421794478666561,False,0.00024785194976861824,0.023812605150770105,True,3,2,部分收敛/待确认,-0.03799999999999992,0.7361111111111114,0.030177121929279682,,,,-0.03645833333333337,23.59,21.4,0.019499788045782118,0.12383177570093462,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000520,凤凰航运,4.4,-0.009009009009009028,0.05011933174224348,0.032863849765258246,0.1055276381909549,,,,0.11510791366906485,-0.053763440860215006,0.10804020100502516,1.065417433495065,84429748.0,36073409.4,2.340498150973221,0.0834217253358815,0.03564272217057434,2.3404981509732217,False,0.028937381404174456,0.007775683317624571,True,3,1,结构未成熟,-0.053763440860215006,0.7191011235955058,0.05074626865671661,,,,-0.045553145336225564,4.17,4.13,0.05515587529976029,0.06537530266343827,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000523,红棉股份,3.6,0.06824925816023741,0.06824925816023741,0.17263843648208477,0.21212121212121215,,,,0.1557632398753894,-0.029649595687331498,0.22635135135135134,0.6881480448226158,80536447.6,125707948.7,0.6406631277724445,0.04487165003745828,0.07003938277745889,0.6406631277724443,True,-0.0017492711370260539,0.015540944411237101,True,3,3,收敛较充分,-0.029649595687331498,0.8764044943820226,0.1124845488257109,,,,0.022727272727272707,3.21,3.09,0.12149532710280386,0.16504854368932054,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000526,学大教育,37.35,0.0056542810985460434,0.031198233020430788,0.08010410641989596,0.026945284575199402,,,,0.07602663706992237,-0.04451266308518809,0.15959655888460406,0.4763676460273386,4399282.6,7325393.7,0.6005523771370813,0.03621598351950135,0.060304454529258714,0.6005523771370813,True,0.023337543243094894,0.008623072245868002,True,3,3,收敛较充分,-0.04451266308518809,0.8009153318077802,0.03863961847026598,,,,-0.028861154446177872,36.04,33.71,0.036348501664816846,0.10797982794423011,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000536,华映科技,3.64,0.011111111111111072,0.011111111111111072,0.1518987341772151,0.0930930930930931,,,,0.10614525139664802,-0.08080808080808077,0.17857142857142852,0.5944134078212291,118773535.6,68707672.7,1.7286793589793645,0.04298588077345712,0.02486631228062821,1.7286793589793665,False,0.013609145345672147,0.03912543153049475,True,3,2,部分收敛/待确认,-0.08080808080808077,0.6363636363636365,0.0599883517763542,,,,-0.054545454545454564,3.58,3.12,0.016759776536312776,0.16666666666666674,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000596,古井贡酒,101.0,-0.0016803400217455522,0.10129756842220039,0.1141753998896855,0.04587345966656309,,,,0.11355191256830602,-0.03191795265024444,0.0963936636332996,1.178001834231343,5919205.0,3869741.2,1.5296126262913912,0.01448655163974542,0.009470732256485499,1.5296126262913958,False,0.044396397909276075,0.0270160210041257,True,3,1,结构未成熟,-0.03191795265024444,0.7976913730255164,0.057453212930244524,,,,0.0011895321173671647,91.5,89.01,0.10382513661202175,0.1347039658465341,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000721,西安饮食,7.59,0.04979253112033177,0.09999999999999987,0.18593749999999987,0.12444444444444436,,,,0.10144927536231874,-0.001315789473684159,0.15905511811023634,0.6378246520304193,50543515.6,18477077.2,2.7354713655685763,0.09864838241919395,0.03606266315227523,2.7354713655685776,False,0.03284671532846706,0.03655162370758713,True,3,2,部分收敛/待确认,-0.001315789473684159,0.9920000000000002,0.10819097678493228,,,,0.0,6.9,6.37,0.09999999999999987,0.1915227629513343,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
000887,中鼎股份,21.32,0.03696498054474717,-0.0023397285914834587,0.01186521120075934,0.1063829787234043,,,,0.08819133034379668,-0.10004221190375695,0.1342013019529294,0.6571570399125447,35089618.4,56273360.5,0.6235564766031699,0.026696898261741996,0.04281392185544061,0.6235564766031698,True,-0.00037972280235420985,-0.010896226415094246,False,3,2,部分收敛/待确认,-0.10004221190375695,0.6419939577039274,0.0006570918989956542,,,,-0.01751152073732709,20.07,19.97,0.06228201295465863,0.0676014021031548,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,174,8,入选：阶段1分=8；软容量150-200只，本次实际174只
