日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,39.9,40.81,36.83,36.83,27875623.0,1061314082.0,0.0511176677307724,39.9,40.81,36.83,36.83,1.0
2026-07-31,38.0,38.9,34.37,34.6,65141458.0,2402335419.0,0.1194548873595423,38.0,38.9,34.37,34.6,1.0
2026-08-03,33.61,33.69,31.3,31.55,54663482.0,1767165601.0,0.1002406191920108,33.61,33.69,31.3,31.55,1.0
2026-08-04,31.86,34.71,30.91,34.71,36532123.0,1218356046.0,0.0669917556645715,31.86,34.71,30.91,34.71,1.0
2026-08-05,35.19,38.18,34.23,38.17,60073533.0,2226191733.0,0.1101614446180303,35.19,38.18,34.23,38.17,1.0
2026-08-06,37.39,38.68,36.29,37.85,45461394.0,1708215466.0,0.0833660447004083,37.39,38.68,36.29,37.85,1.0
2026-08-07,38.0,40.08,37.66,39.61,43946487.0,1721235987.0,0.080588043553348,38.0,40.08,37.66,39.61,1.0
2026-08-10,39.61,40.45,37.8,39.52,35738493.0,1380531185.0,0.0655364154685452,39.61,40.45,37.8,39.52,1.0
2026-08-11,39.49,41.26,38.99,39.72,47549680.0,1915868547.0,0.0871954948933179,39.49,41.26,38.99,39.72,1.0
2026-08-12,40.33,43.69,39.29,42.85,52119644.0,2176199148.0,0.0955757883595336,40.33,43.69,39.29,42.85,1.0
2026-08-13,43.48,44.23,41.4,41.65,47765026.0,2049048278.0,0.0875903913688209,43.48,44.23,41.4,41.65,1.0
2026-08-14,43.28,44.92,42.02,42.6,50315897.0,2186636163.0,0.0922681191527726,43.28,44.92,42.02,42.6,1.0
2026-08-17,42.99,46.11,42.84,46.11,40063381.0,1787947358.0,0.0734672942782065,42.99,46.11,42.84,46.11,1.0
2026-08-18,46.11,46.5,44.0,45.99,44934167.0,2033001207.0,0.0823992281164456,46.11,46.5,44.0,45.99,1.0
2026-08-19,44.9,45.05,41.42,41.8,41106912.0,1759432487.0,0.0753808971033258,44.9,45.05,41.42,41.8,1.0
2026-08-20,42.55,43.1,41.02,42.7,37203411.0,1565898891.0,0.0682227479525521,42.55,43.1,41.02,42.7,1.0
2026-08-21,44.83,46.97,44.7,46.97,35954362.0,1653153384.0,0.0659322710092581,44.83,46.97,44.7,46.97,1.0
2026-08-24,50.73,51.67,47.61,48.8,82495811.0,4109110827.0,0.1512788953946823,50.73,51.67,47.61,48.8,1.0
2026-08-25,48.48,52.65,47.0,51.56,75890576.0,3795234560.0,0.1391663694068804,48.48,52.65,47.0,51.56,1.0
2026-08-26,51.02,51.56,48.0,49.3,57426566.0,2850424344.0,0.1053074982290897,51.02,51.56,48.0,49.3,1.0
2026-08-27,51.49,54.23,50.0,54.23,62335292.0,3302729426.0,0.1143090055550212,51.49,54.23,50.0,54.23,1.0
2026-08-28,54.23,55.31,53.05,53.33,66102018.0,3579542618.0,0.1212163398987545,54.23,55.31,53.05,53.33,1.0
2026-08-31,51.29,55.46,50.98,54.9,59623558.0,3216120815.0,0.1093362909510736,51.29,55.46,50.98,54.9,1.0
2026-09-01,54.95,54.95,52.59,52.79,41116617.0,2192303238.0,0.0753986939061211,54.95,54.95,52.59,52.79,1.0
2026-09-02,51.51,58.07,51.51,58.07,57804275.0,3259697785.0,0.1060001321896266,51.51,58.07,51.51,58.07,1.0
