日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2025-07-21,6.39,6.45,6.39,6.45,12295830.0,79076912.0,0.04058231074271293,6.39,6.45,6.39,6.45,1.0
2025-07-22,6.46,6.47,6.36,6.44,10459319.0,67104370.0,0.03452091756434185,6.46,6.47,6.36,6.44,1.0
2025-07-23,6.43,6.46,6.37,6.38,9996000.0,64154204.0,0.03299173607508874,6.43,6.46,6.37,6.38,1.0
2025-07-24,6.37,6.45,6.35,6.45,11987620.0,76997212.0,0.039565065547064356,6.37,6.45,6.35,6.45,1.0
2025-07-25,6.44,6.46,6.41,6.43,6199500.0,39859388.0,0.02046141134428898,6.44,6.46,6.41,6.43,1.0
2025-07-28,6.43,6.44,6.38,6.4,7343100.0,47042792.0,0.024235856059722304,6.43,6.44,6.38,6.4,1.0
2025-07-29,6.4,6.43,6.28,6.31,12625397.0,79916485.0,0.04167004458455554,6.4,6.43,6.28,6.31,1.0
2025-07-30,6.31,6.32,6.23,6.26,10022800.0,62830227.0,0.03308018930906357,6.31,6.32,6.23,6.26,1.0
2025-07-31,6.26,6.29,6.16,6.17,9342306.0,58124709.0,0.030834223077702883,6.26,6.29,6.16,6.17,1.0
2025-08-01,6.18,6.22,6.16,6.21,5460500.0,33830531.0,0.018022346422371157,6.18,6.22,6.16,6.21,1.0
2025-08-04,6.2,6.29,6.16,6.28,6558821.0,40964520.0,0.021647348078806486,6.2,6.29,6.16,6.28,1.0
2025-08-05,6.3,6.31,6.26,6.31,5850300.0,36787067.0,0.019308878907572196,6.3,6.31,6.26,6.31,1.0
2025-08-06,6.32,6.34,6.27,6.32,7436814.0,46935977.0,0.02454515853616697,6.32,6.34,6.27,6.32,1.0
2025-08-07,6.33,6.38,6.3,6.36,10390406.0,65906281.0,0.034293470634755754,6.33,6.38,6.3,6.36,1.0
2025-08-08,6.37,6.41,6.33,6.37,11536568.0,73481620.0,0.03807637121531757,6.37,6.41,6.33,6.37,1.0
2025-08-11,6.37,6.44,6.33,6.44,13317500.0,85187873.0,0.043954326248498835,6.37,6.44,6.33,6.44,1.0
2025-08-12,6.47,6.73,6.45,6.65,41016574.0,270278412.0,0.13537494839059094,6.47,6.73,6.45,6.65,1.0
2025-08-13,6.65,6.68,6.5,6.52,25253426.0,165526114.0,0.08334877606880592,6.65,6.68,6.5,6.52,1.0
2025-08-14,6.53,6.6,6.38,6.4,18009621.0,116624496.0,0.05944064254145416,6.53,6.6,6.38,6.4,1.0
2025-08-15,6.4,6.43,6.36,6.42,13413279.0,85745776.0,0.04427044424465089,6.4,6.43,6.36,6.42,1.0
2025-08-18,6.43,6.51,6.39,6.51,16797167.0,108609678.0,0.055438945625569246,6.43,6.51,6.39,6.51,1.0
2025-08-19,6.54,6.6,6.49,6.57,18606100.0,121896196.0,0.06140931778578518,6.54,6.6,6.49,6.57,1.0
2025-08-20,6.59,7.17,6.54,6.84,45584463.0,313426689.0,0.15045123773715965,6.59,7.17,6.54,6.84,1.0
2025-08-21,6.85,6.88,6.73,6.76,26166163.0,177813459.0,0.0863612588829284,6.85,6.88,6.73,6.76,1.0
2025-08-22,6.73,6.81,6.66,6.8,18999042.0,127963190.0,0.06270622042252162,6.73,6.81,6.66,6.8,1.0
2025-08-25,6.87,6.87,6.68,6.74,16291000.0,109882820.0,0.05376834457775817,6.87,6.87,6.68,6.74,1.0
2025-08-26,6.7,6.79,6.68,6.75,15308811.0,103090279.0,0.05052663586788869,6.7,6.79,6.68,6.75,1.0
2025-08-27,6.74,6.76,6.52,6.52,17288581.0,114758150.0,0.05706085448827469,6.74,6.76,6.52,6.52,1.0
2025-08-28,6.5,6.61,6.3,6.52,15747900.0,101669924.0,0.0519758463922459,6.5,6.61,6.3,6.52,1.0
2025-08-29,6.47,6.56,6.45,6.5,11993284.0,77917950.0,0.039583759543976055,6.47,6.56,6.45,6.5,1.0
2025-09-01,6.53,6.69,6.49,6.68,18020031.0,119329238.0,0.059475000681964534,6.53,6.69,6.49,6.68,1.0
2025-09-02,6.67,6.81,6.62,6.76,29311411.0,197452867.0,0.09674213042221419,6.67,6.81,6.62,6.76,1.0
2025-09-03,6.86,7.05,6.62,6.64,35657800.0,243325217.0,0.11768834800103035,6.86,7.05,6.62,6.64,1.0
2025-09-04,6.76,6.78,6.59,6.68,26425075.0,176940135.0,0.08721579633497656,6.76,6.78,6.59,6.68,1.0
2025-09-05,6.67,6.8,6.53,6.78,21534572.0,144153209.0,0.0710747214799916,6.67,6.8,6.53,6.78,1.0
2025-09-08,6.88,6.91,6.74,6.82,17413300.0,118596505.0,0.05747248877514434,6.88,6.91,6.74,6.82,1.0
2025-09-09,6.87,7.5,6.77,7.5,54314120.0,396099167.0,0.1792634165857042,6.87,7.5,6.77,7.5,1.0
2025-09-10,7.3,7.34,7.07,7.25,74203546.0,535016900.0,0.24490834388432442,7.3,7.34,7.07,7.25,1.0
2025-09-11,7.2,7.23,7.05,7.13,43660141.0,310166968.0,0.14410002489727503,7.2,7.23,7.05,7.13,1.0
2025-09-12,7.11,7.33,7.04,7.2,51090431.0,368407859.0,0.16862365101185797,7.11,7.33,7.04,7.2,1.0
2025-09-15,7.1,7.15,6.98,7.07,30625222.0,215668994.0,0.10107835548869562,7.1,7.15,6.98,7.07,1.0
2025-09-16,7.21,7.29,7.0,7.09,28074690.0,198894963.0,0.09266034042316258,7.21,7.29,7.0,7.09,1.0
2025-09-17,7.02,7.05,6.91,6.94,23517203.0,163438617.0,0.07761838281315378,7.02,7.05,6.91,6.94,1.0
2025-09-18,6.9,6.93,6.62,6.68,29002190.0,196868837.0,0.09572154842732873,6.9,6.93,6.62,6.68,1.0
2025-09-19,6.66,6.73,6.56,6.71,18103926.0,120338141.0,0.0597518956097376,6.66,6.73,6.56,6.71,1.0
2025-09-22,6.69,6.75,6.6,6.75,15034572.0,100220514.0,0.04962151174729083,6.69,6.75,6.6,6.75,1.0
2025-09-23,6.72,6.74,6.54,6.6,14865241.0,98259010.0,0.049062635830791144,6.72,6.74,6.54,6.6,1.0
2025-09-24,6.57,6.82,6.56,6.73,15633714.0,105039273.0,0.05159897620662464,6.57,6.82,6.56,6.73,1.0
2025-09-25,6.7,6.73,6.57,6.62,13289087.0,88080251.0,0.04386054931801649,6.7,6.73,6.57,6.62,1.0
2025-09-26,6.58,6.65,6.52,6.55,8530974.0,56110316.0,0.028156426837879563,6.58,6.65,6.52,6.55,1.0
2025-09-29,6.55,6.59,6.42,6.59,10196711.0,66494312.0,0.03365418148719029,6.55,6.59,6.42,6.59,1.0
2025-09-30,6.59,6.67,6.58,6.6,8967109.0,59396070.0,0.02959588770353671,6.59,6.67,6.58,6.6,1.0
2025-10-09,6.78,6.97,6.65,6.89,28677904.0,195093754.0,0.09465124449327049,6.78,6.97,6.65,6.89,1.0
2025-10-10,6.72,7.24,6.72,7.11,46353880.0,323687104.0,0.15299069377914512,6.72,7.24,6.72,7.11,1.0
