日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2026-07-30,105.74,109.3,99.9,102.0,27315512.0,2856936153.0,0.0245282148711589,105.74,109.3,99.9,102.0,1.0
2026-07-31,110.0,120.99,107.0,118.0,30514110.0,3494565764.0,0.0274004253217798,110.0,120.99,107.0,118.0,1.0
2026-08-03,114.81,120.08,103.13,107.02,26287174.0,2869692944.0,0.0236048093196109,114.81,120.08,103.13,107.02,1.0
2026-08-04,109.11,110.0,101.9,107.59,28074894.0,2964465378.0,0.0252101089123649,109.11,110.0,101.9,107.59,1.0
2026-08-05,108.59,123.22,108.59,115.52,36691522.0,4271734389.0,0.0329474891616842,108.59,123.22,108.59,115.52,1.0
2026-08-06,109.49,125.45,108.6,119.18,36709490.0,4276191616.0,0.0329636236923057,109.49,125.45,108.6,119.18,1.0
2026-08-07,119.21,121.99,114.13,118.17,31201134.0,3659191281.0,0.0280173448323364,119.21,121.99,114.13,118.17,1.0
2026-08-10,121.01,122.58,113.13,121.2,26813052.0,3156575052.0,0.0240770262994725,121.01,122.58,113.13,121.2,1.0
2026-08-11,123.1,132.96,120.12,127.7,33640813.0,4245660244.0,0.0302080769968535,123.1,132.96,120.12,127.7,1.0
2026-08-12,127.89,129.0,121.44,126.23,24278705.0,3013078705.0,0.0218012861349068,127.89,129.0,121.44,126.23,1.0
2026-08-13,129.0,148.8,128.0,143.3,39410767.0,5401589749.0,0.0353892601834877,129.0,148.8,128.0,143.3,1.0
2026-08-14,143.08,148.7,139.29,143.9,31987800.0,4588251429.0,0.0287237387919237,143.08,148.7,139.29,143.9,1.0
2026-08-17,144.0,148.0,139.04,148.0,29913759.0,4314404322.0,0.0268613346275942,144.0,148.0,139.04,148.0,1.0
2026-08-18,147.0,149.3,136.5,136.99,29476977.0,4172215230.0,0.0264691222192068,147.0,149.3,136.5,136.99,1.0
2026-08-19,132.04,134.47,121.17,121.82,29741000.0,3794028179.0,0.0267062040968933,132.04,134.47,121.17,121.82,1.0
2026-08-20,124.02,125.97,119.5,123.3,18972330.0,2336202531.0,0.0170363779689187,124.02,125.97,119.5,123.3,1.0
2026-08-21,122.99,129.46,122.7,126.97,23041145.0,2922812323.0,0.0206900077669249,122.99,129.46,122.7,126.97,1.0
2026-08-24,124.21,125.86,113.63,115.9,22613015.0,2672756238.0,0.020305564501399,124.21,125.86,113.63,115.9,1.0
2026-08-25,113.28,118.0,111.1,115.73,14145351.0,1622605236.0,0.0127019478439929,113.28,118.0,111.1,115.73,1.0
2026-08-26,116.0,118.32,113.37,115.06,13222452.0,1529804251.0,0.0118732222108663,116.0,118.32,113.37,115.06,1.0
2026-08-27,119.01,120.9,116.03,120.25,19012959.0,2264133166.0,0.017072861152613,119.01,120.9,116.03,120.25,1.0
2026-08-28,117.88,126.88,117.88,119.4,22150762.0,2732486264.0,0.0198904801746312,117.88,126.88,117.88,119.4,1.0
2026-08-31,114.7,131.94,114.24,127.33,25360922.0,3104626251.0,0.0227730728293397,114.7,131.94,114.24,127.33,1.0
2026-09-01,126.84,127.1,119.09,119.37,17191120.0,2098397830.0,0.0154369240904537,126.84,127.1,119.09,119.37,1.0
2026-09-02,117.5,125.0,117.5,120.9,15818259.0,1917334342.0,0.0142041509468921,117.5,125.0,117.5,120.9,1.0
