日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2025-07-21,16.46,16.69,16.11,16.56,4596100.0,75622558.0,0.020952315827862875,16.46,16.69,16.11,16.56,1.0
2025-07-22,16.57,16.6,16.37,16.39,3075800.0,50525770.0,0.014021699489423778,16.57,16.6,16.37,16.39,1.0
2025-07-23,16.3,16.67,16.23,16.53,4423000.0,72550666.0,0.020163202042304887,16.3,16.67,16.23,16.53,1.0
2025-07-24,16.5,16.55,16.41,16.5,2258700.0,37237494.0,0.010296772428884026,16.5,16.55,16.41,16.5,1.0
2025-07-25,16.49,16.82,16.42,16.69,3739900.0,62317036.0,0.017049142961342086,16.49,16.82,16.42,16.69,1.0
2025-07-28,16.89,16.89,16.63,16.76,2807100.0,46973617.0,0.012796772428884027,16.89,16.89,16.63,16.76,1.0
2025-07-29,16.7,16.7,16.4,16.42,2789300.0,45969618.0,0.012715627279358132,16.7,16.7,16.4,16.42,1.0
2025-07-30,16.25,16.49,16.2,16.31,2374300.0,38661782.0,0.010823760029175783,16.25,16.49,16.2,16.31,1.0
2025-07-31,16.31,16.57,16.25,16.31,2483200.0,40573641.0,0.011320204230488694,16.31,16.57,16.25,16.31,1.0
2025-08-01,16.38,17.37,16.24,17.0,7118200.0,119758960.0,0.0324498541210795,16.38,17.37,16.24,17.0,1.0
2025-08-04,16.9,16.92,16.57,16.71,3678100.0,61527143.0,0.01676741429613421,16.9,16.92,16.57,16.71,1.0
2025-08-05,16.77,16.88,16.6,16.69,3159500.0,52830065.0,0.014403264040846098,16.77,16.88,16.6,16.69,1.0
2025-08-06,16.61,16.91,16.48,16.89,4454300.0,74178446.0,0.020305889861415027,16.61,16.91,16.48,16.89,1.0
2025-08-07,16.85,17.68,16.83,17.5,8698700.0,151267329.0,0.039654905178701676,16.85,17.68,16.83,17.5,1.0
2025-08-08,17.3,17.46,17.1,17.16,4550000.0,78298060.0,0.020742159008023342,17.3,17.46,17.1,17.16,1.0
2025-08-11,17.05,17.13,16.8,16.95,4427200.0,74840610.0,0.020182348650619984,17.05,17.13,16.8,16.95,1.0
2025-08-12,17.05,17.05,16.8,16.9,2940400.0,49703859.0,0.013404449307075128,17.05,17.05,16.8,16.9,1.0
2025-08-13,16.9,17.1,16.8,16.96,2969500.0,50350830.0,0.013537107950401167,16.9,17.1,16.8,16.96,1.0
2025-08-14,17.06,17.06,16.47,16.51,3771772.0,62796731.0,0.01719443836615609,17.06,17.06,16.47,16.51,1.0
2025-08-15,16.5,16.6,16.31,16.53,2772800.0,45649385.0,0.012640408460977389,16.5,16.6,16.31,16.53,1.0
2025-08-18,16.75,16.83,16.52,16.56,3559800.0,59219108.0,0.0162281181619256,16.75,16.83,16.52,16.56,1.0
2025-08-19,16.68,16.98,16.41,16.78,5179600.0,85945775.0,0.023612326768781913,16.68,16.98,16.41,16.78,1.0
2025-08-20,16.64,17.77,16.6,17.07,7903478.0,136150449.0,0.036029713712618525,16.64,17.77,16.6,17.07,1.0
2025-08-21,17.03,17.29,16.85,17.0,4733972.0,80758325.0,0.021580835156819838,17.03,17.29,16.85,17.0,1.0
2025-08-22,16.97,17.18,16.8,17.16,5476272.0,92893620.0,0.024964770240700217,16.97,17.18,16.8,17.16,1.0
2025-08-25,18.88,18.88,17.99,18.06,16549822.0,304415888.0,0.07544594274252371,18.88,18.88,17.99,18.06,1.0
2025-08-26,17.8,17.88,17.51,17.57,8138800.0,143918755.0,0.037102479941648434,17.8,17.88,17.51,17.57,1.0
2025-08-27,17.53,18.3,17.41,17.41,7831300.0,140002550.0,0.035700674690007296,17.53,18.3,17.41,17.41,1.0
2025-08-28,17.11,18.44,17.05,17.84,7954200.0,140581759.0,0.0362609409190372,17.11,18.44,17.05,17.84,1.0
2025-08-29,17.68,17.74,17.34,17.36,5218300.0,91423554.0,0.023788749088256747,17.68,17.74,17.34,17.36,1.0
2025-09-01,17.17,17.51,17.15,17.19,3767522.0,65074598.0,0.017175063822027718,17.17,17.51,17.15,17.19,1.0
2025-09-02,17.19,17.2,16.51,16.79,4431300.0,74419566.0,0.020201039387308533,17.19,17.2,16.51,16.79,1.0
2025-09-03,16.83,16.98,16.43,16.79,3795100.0,63491101.0,0.017300784099197667,16.83,16.98,16.43,16.79,1.0
2025-09-04,17.3,17.68,17.06,17.22,6640367.0,114920335.0,0.030271549051787017,17.3,17.68,17.06,17.22,1.0
2025-09-05,16.95,17.21,16.6,17.05,5159800.0,87240969.0,0.02352206418672502,16.95,17.21,16.6,17.05,1.0
2025-09-08,17.05,17.21,16.84,17.0,3375200.0,57297517.0,0.015386579139314368,17.05,17.21,16.84,17.0,1.0
2025-09-09,17.0,17.03,16.75,16.8,3007700.0,50740958.0,0.013711250911743253,17.0,17.03,16.75,16.8,1.0
2025-09-10,16.78,17.27,16.68,16.89,3691429.0,62504656.0,0.016828177425237054,16.78,17.27,16.68,16.89,1.0
2025-09-11,16.83,16.9,16.65,16.88,3649418.0,61179496.0,0.016636661196207148,16.83,16.9,16.65,16.88,1.0
2025-09-12,16.8,16.95,16.71,16.78,2831799.0,47641212.0,0.012909368161925602,16.8,16.95,16.71,16.78,1.0
2025-09-15,16.79,16.85,16.51,16.6,2850700.0,47327050.0,0.012995532458059811,16.79,16.85,16.51,16.6,1.0
2025-09-16,16.7,17.1,16.5,16.83,4308700.0,72484971.0,0.01964214077315828,16.7,17.1,16.5,16.83,1.0
2025-09-17,16.81,17.03,16.6,16.67,4211900.0,70704429.0,0.019200857038657915,16.81,17.03,16.6,16.67,1.0
2025-09-18,16.67,16.98,16.33,16.43,5327800.0,88366577.0,0.02428792851932896,16.67,16.98,16.33,16.43,1.0
2025-09-19,16.38,16.58,16.01,16.1,3261000.0,52601803.0,0.014865973741794311,16.38,16.58,16.01,16.1,1.0
2025-09-22,16.1,16.48,16.02,16.17,2548100.0,41266545.0,0.01161606491611962,16.1,16.48,16.02,16.17,1.0
2025-09-23,16.11,16.11,15.1,15.45,5717400.0,88548237.0,0.026064004376367616,16.11,16.11,15.1,15.45,1.0
2025-09-24,15.45,15.7,15.28,15.67,3808597.0,59103179.0,0.017362313092633114,15.45,15.7,15.28,15.67,1.0
2025-09-25,15.8,15.93,15.6,15.64,2376500.0,37405630.0,0.010833789204959884,15.8,15.93,15.6,15.64,1.0
2025-09-26,15.64,15.86,15.53,15.62,3134100.0,49332593.0,0.014287472647702406,15.64,15.86,15.53,15.62,1.0
2025-09-29,15.66,15.67,15.2,15.62,3440097.0,53291610.0,0.0156824261487965,15.66,15.67,15.2,15.62,1.0
2025-09-30,15.59,15.68,15.42,15.44,2085900.0,32439714.0,0.00950902625820569,15.59,15.68,15.42,15.44,1.0
2025-10-09,15.38,15.64,15.28,15.52,2986100.0,46179758.0,0.013612782640408461,15.38,15.64,15.28,15.52,1.0
2025-10-10,15.5,15.7,15.4,15.61,2373100.0,37036233.0,0.010818289569657184,15.5,15.7,15.4,15.61,1.0
2025-10-13,15.01,16.65,15.01,16.06,7488608.0,121642696.0,0.03413843909555069,15.01,16.65,15.01,16.06,1.0
2025-10-14,16.16,16.5,15.9,15.92,3406900.0,54923260.0,0.015531090444930708,16.16,16.5,15.9,15.92,1.0
2025-10-15,15.91,17.09,15.8,16.75,8281400.0,137521585.0,0.03775255288110868,15.91,17.09,15.8,16.75,1.0
2025-10-16,16.75,16.87,16.26,16.33,3602900.0,59236094.0,0.016424598832968637,16.75,16.87,16.26,16.33,1.0
2025-10-17,16.4,16.42,15.74,15.79,3056900.0,48979707.0,0.013935539752005835,16.4,16.42,15.74,15.79,1.0
2025-10-20,16.01,16.1,15.66,15.75,1968300.0,31129741.0,0.008972921225382933,16.01,16.1,15.66,15.75,1.0
2025-10-21,15.81,16.88,15.66,16.85,10160800.0,168539390.0,0.046320204230488694,15.81,16.88,15.66,16.85,1.0
2025-10-22,16.79,17.41,16.6,16.92,5776700.0,98120547.0,0.026334336250911743,16.79,17.41,16.6,16.92,1.0
2025-10-23,16.86,17.2,16.76,17.16,4745400.0,80696683.0,0.02163293216630197,16.86,17.2,16.76,17.16,1.0
2025-10-24,17.03,17.58,17.03,17.28,7099700.0,123511851.0,0.03236551787016776,17.03,17.58,17.03,17.28,1.0
2025-10-27,17.34,17.59,16.97,17.43,6354700.0,109696178.0,0.028969274252370534,17.34,17.59,16.97,17.43,1.0
2025-10-28,17.43,17.43,16.77,16.91,4884000.0,82883314.0,0.02226477024070022,17.43,17.43,16.77,16.91,1.0
