日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数,5日成交量比
2026-03-17,3.12,3.16,3.09,3.1,33515200.0,104818106.0,0.012602643268228282,3.12,3.16,3.09,3.1,1.0,0.9334263989502284
2026-03-18,3.1,3.11,3.05,3.09,29909700.0,91982333.0,0.011246875428454177,3.1,3.11,3.05,3.09,1.0,0.8227396947683787
2026-03-19,3.05,3.07,3.0,3.0,38222400.0,115696190.0,0.014372680815138464,3.05,3.07,3.0,3.0,1.0,1.0800263821840677
2026-03-20,3.0,3.03,2.91,2.92,39458000.0,116831896.0,0.014837300630094748,3.0,3.03,2.91,2.92,1.0,1.0844507278226005
2026-03-23,2.85,2.86,2.72,2.73,56077100.0,156431875.0,0.021086542429010244,2.85,2.86,2.72,2.73,1.0,1.6492362476640983
2026-03-24,2.79,2.84,2.73,2.83,47932800.0,133195742.0,0.018024060105484453,2.79,2.84,2.73,2.83,1.0,1.2154431632843499
2026-03-25,2.85,2.9,2.83,2.87,36053100.0,103275777.0,0.013556963945128212,2.85,2.9,2.83,2.87,1.0,0.8519163516068053
2026-03-26,2.85,2.91,2.8,2.82,29273000.0,83581401.0,0.011007458597616798,2.85,2.91,2.8,2.82,1.0,0.6721902937126911
2026-03-27,2.77,3.09,2.77,2.94,85875804.0,253411862.0,0.03229168028787808,2.77,3.09,2.77,2.94,1.0,2.0564720250581914
2026-03-30,2.88,2.96,2.87,2.95,42029200.0,123071864.0,0.015804143029103813,2.88,2.96,2.87,2.95,1.0,0.8234180265423774
2026-03-31,2.95,2.98,2.88,2.89,35320000.0,103419632.0,0.013281298044881812,2.95,2.98,2.88,2.89,1.0,0.7322820582635783
2026-04-01,2.93,2.96,2.87,2.9,26347900.0,76248296.0,0.00990753999877524,2.93,2.96,2.87,2.9,1.0,0.5764115670165392
2026-04-02,2.91,2.91,2.8,2.82,26749100.0,76040005.0,0.010058402308390375,2.91,2.91,2.8,2.82,1.0,0.6111400650203624
2026-04-03,2.84,2.86,2.75,2.77,21773588.0,60598774.0,0.008187472019662006,2.84,2.86,2.75,2.77,1.0,0.5032679893257646
2026-04-07,2.77,2.82,2.74,2.81,20398800.0,56894373.0,0.007670513662455694,2.77,2.82,2.74,2.81,1.0,0.6700442914819984
2026-04-08,2.88,2.92,2.85,2.92,32391100.0,93715497.0,0.012179950540814588,2.88,2.92,2.85,2.92,1.0,1.240188827594475
2026-04-09,2.89,2.9,2.82,2.84,25445600.0,72642150.0,0.00956825021321757,2.89,2.9,2.82,2.84,1.0,0.9966122015764188
2026-04-10,2.85,2.93,2.84,2.9,33991400.0,98236665.0,0.012781707654665787,2.85,2.93,2.84,2.9,1.0,1.340797014233116
2026-04-13,2.87,2.92,2.86,2.92,24118900.0,69547260.0,0.00906937427561438,2.87,2.92,2.86,2.92,1.0,0.8999556777733525
2026-04-14,2.94,2.98,2.92,2.97,36016480.0,106346948.0,0.013543193811085076,2.94,2.98,2.92,2.97,1.0,1.3207770243014454
2026-04-15,2.97,3.04,2.96,3.03,46902973.0,140829209.0,0.0176368166365811,2.97,3.04,2.96,3.03,1.0,1.5432317356775458
2026-04-16,3.04,3.11,3.02,3.1,51187900.0,157394690.0,0.01924806784234444,3.04,3.11,3.02,3.1,1.0,1.5374017558022537
2026-04-17,3.14,3.15,2.99,3.01,71028136.0,216069324.0,0.026708545973623994,3.14,3.15,2.99,3.01,1.0,1.8475965888523256
2026-04-20,2.98,3.04,2.95,2.97,42800900.0,127431439.0,0.01609432359822146,2.98,3.04,2.95,2.97,1.0,0.9334804927115268
2026-04-21,2.96,2.96,2.88,2.91,36033100.0,104816020.0,0.013549443391308914,2.96,2.96,2.88,2.91,1.0,0.7266601757275735
2026-04-22,2.9,2.91,2.86,2.88,26144403.0,75131150.0,0.009831019491746947,2.9,2.91,2.86,2.88,1.0,0.5272047938728585
2026-04-23,2.87,2.88,2.83,2.86,32220599.0,91881366.0,0.012115837443477374,2.87,2.88,2.83,2.86,1.0,0.709097439660484
2026-04-24,2.85,2.86,2.81,2.82,27921136.0,78928573.0,0.010499120299198165,2.85,2.86,2.81,2.82,1.0,0.6704490170728851
2026-04-27,2.81,2.85,2.75,2.85,36196696.0,101264326.0,0.013610960017440013,2.81,2.85,2.75,2.85,1.0,1.0960715161224004
2026-04-28,2.84,2.87,2.82,2.87,31448300.0,89542281.0,0.011825431633772839,2.84,2.87,2.82,2.87,1.0,0.9919602151793775
2026-04-29,2.86,2.95,2.85,2.94,32284900.0,94268617.0,0.012140016400034112,2.86,2.95,2.85,2.94,1.0,1.0486799895854726
2026-04-30,2.99,3.2,2.99,3.07,91177603.0,281454137.0,0.034285303523808326,2.99,3.2,2.99,3.07,1.0,2.8480250507349427
2026-05-06,3.06,3.13,3.01,3.08,64905603.0,199395606.0,0.024406304026777324,3.06,3.13,3.01,3.08,1.0,1.4816693488502086
2026-05-07,3.08,3.14,3.06,3.11,45567200.0,141634630.0,0.01713452899973778,3.08,3.14,3.06,3.11,1.0,0.8899388282088782
2026-05-08,3.1,3.13,3.06,3.1,38893400.0,120305906.0,0.014624995395775942,3.1,3.13,3.06,3.1,1.0,0.7327769899999023
2026-05-11,3.09,3.11,3.03,3.06,39827900.0,122181141.0,0.014976393272982681,3.09,3.11,3.03,3.06,1.0,0.7299066983076187
2026-05-12,3.06,3.09,2.99,3.02,42447600.0,128497371.0,0.015961473015003544,3.06,3.09,2.99,3.02,1.0,0.7569879394320909
2026-05-13,3.01,3.05,2.99,3.01,38394445.0,115599421.0,0.014437374499230528,3.01,3.05,2.99,3.01,1.0,0.8287463894184891
2026-05-14,3.02,3.02,2.89,2.89,47595600.0,139508834.0,0.017897263568091074,3.02,3.02,2.89,2.89,1.0,1.1601295165476209
2026-05-15,2.88,2.94,2.84,2.91,42775745.0,123584459.0,0.016084864621655235,2.88,2.94,2.84,2.91,1.0,1.032437797943024
2026-05-18,2.88,3.05,2.84,3.01,71689200.0,211523858.0,0.026957124343124042,2.88,3.05,2.84,3.01,1.0,1.6984638408910409
2026-05-19,2.99,3.0,2.89,2.95,43686200.0,127977319.0,0.016427220913032725,2.99,3.0,2.89,2.95,1.0,0.899253482640922
2026-05-20,2.93,2.93,2.87,2.89,34333687.0,99440121.0,0.012910417044923106,2.93,2.93,2.87,2.89,1.0,0.7031522824968618
2026-05-21,2.9,2.96,2.8,2.81,51208600.0,147305630.0,0.019255851615547416,2.9,2.96,2.8,2.81,1.0,1.0664884175150102
2026-05-22,2.82,2.88,2.78,2.87,32221800.0,91192460.0,0.012116289052734224,2.82,2.88,2.78,2.87,1.0,0.6611134271357794
2026-05-25,2.87,2.89,2.85,2.86,24945000.0,71536604.0,0.009380010751120521,2.87,2.89,2.85,2.86,1.0,0.5349801597530324
2026-05-26,2.84,2.91,2.81,2.84,36731900.0,104565583.0,0.013812211541755215,2.84,2.91,2.81,2.84,1.0,0.9853226600091021
2026-05-27,2.83,2.84,2.73,2.74,44620600.0,123197110.0,0.016778581187470366,2.83,2.84,2.73,2.74,1.0,1.2433224077172513
