日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2025-07-22,5.24,5.3,5.16,5.23,19637200.0,102763494.0,0.0337770523276326,5.24,5.3,5.16,5.23,1.0
2025-07-23,5.23,5.25,5.13,5.14,14006459.0,72523505.0,0.0240918714769845,5.23,5.25,5.13,5.14,1.0
2025-07-24,5.14,5.27,5.13,5.24,18668606.0,97459392.0,0.0321110179529646,5.14,5.27,5.13,5.24,1.0
2025-07-25,5.25,5.26,5.16,5.17,12689022.0,66006009.0,0.0218258081641212,5.25,5.26,5.16,5.17,1.0
2025-07-28,5.16,5.24,5.15,5.17,13099022.0,67960004.0,0.0225310304694565,5.16,5.24,5.15,5.17,1.0
2025-07-29,5.17,5.19,4.94,5.01,24149200.0,121135719.0,0.0415379377951269,5.17,5.19,4.94,5.01,1.0
2025-07-30,5.01,5.03,4.94,5.01,23473786.0,116977931.0,0.0403761889704057,5.01,5.03,4.94,5.01,1.0
2025-07-31,4.99,5.01,4.84,4.85,22183900.0,108774297.0,0.0381575148764065,4.99,5.01,4.84,4.85,1.0
2025-08-01,4.87,4.9,4.81,4.82,15293592.0,74077885.0,0.0263058102612115,4.87,4.9,4.81,4.82,1.0
2025-08-04,4.81,4.87,4.75,4.86,17229789.0,83210386.0,0.029636174436634,4.81,4.87,4.75,4.86,1.0
2025-08-05,4.85,4.95,4.85,4.91,15976109.0,78346457.0,0.0274797766323591,4.85,4.95,4.85,4.91,1.0
2025-08-06,4.9,4.94,4.88,4.93,13732089.0,67501883.0,0.023619940150363,4.9,4.94,4.88,4.93,1.0
2025-08-07,4.94,4.99,4.9,4.95,16104073.0,79742208.0,0.0276998816740174,4.94,4.99,4.9,4.95,1.0
2025-08-08,4.93,5.26,4.91,5.16,48970947.0,249654084.0,0.0842326930190009,4.93,5.26,4.91,5.16,1.0
2025-08-11,5.15,5.22,5.08,5.14,34590203.0,177514193.0,0.0594970309796934,5.15,5.22,5.08,5.14,1.0
