日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数
2025-07-22,17.48,17.48,17.06,17.08,4086655.0,70215566.0,0.0193593811834776,17.48,17.48,17.06,17.08,1.0
2025-07-23,17.01,17.25,16.63,16.68,5303900.0,89075555.0,0.0251257377632922,17.01,17.25,16.63,16.68,1.0
2025-07-24,16.88,17.1,16.62,17.01,5657475.0,95966032.0,0.0268007000984901,16.88,17.1,16.62,17.01,1.0
2025-07-25,17.1,18.71,16.81,18.71,13677375.0,246257249.0,0.0647927256434338,17.1,18.71,16.81,18.71,1.0
2025-07-28,18.53,18.6,17.73,17.78,17271554.0,310780871.0,0.0818191399853958,18.53,18.6,17.73,17.78,1.0
2025-07-29,17.9,17.92,17.41,17.46,7532675.0,132702125.0,0.0356839338422872,17.9,17.92,17.41,17.46,1.0
2025-07-30,17.62,17.7,16.83,17.03,9274900.0,159232105.0,0.0439372358416936,17.62,17.7,16.83,17.03,1.0
2025-07-31,16.76,17.1,16.72,16.8,6072300.0,102530610.0,0.0287658171194855,16.76,17.1,16.72,16.8,1.0
2025-08-01,16.99,17.09,16.62,16.88,4170100.0,70340720.0,0.0197546784529694,16.99,17.09,16.62,16.88,1.0
2025-08-04,16.66,17.02,16.5,16.93,3756020.0,63328244.0,0.0177930906603972,16.66,17.02,16.5,16.93,1.0
2025-08-05,16.91,17.3,16.8,17.08,5325300.0,90674934.0,0.0252271142575953,16.91,17.3,16.8,17.08,1.0
2025-08-06,17.45,18.2,17.1,17.94,11953499.0,212328808.0,0.0566263468820633,17.45,18.2,17.1,17.94,1.0
2025-08-07,17.99,18.49,17.6,17.74,7503200.0,134129621.0,0.0355443043016524,17.99,18.49,17.6,17.74,1.0
2025-08-08,17.7,17.8,17.38,17.6,5031800.0,88223911.0,0.023836740375447,17.7,17.8,17.38,17.6,1.0
2025-08-11,17.69,17.92,17.5,17.65,4658500.0,82404129.0,0.0220683363883739,17.69,17.92,17.5,17.65,1.0
2025-08-12,17.79,17.79,17.16,17.24,6405900.0,110873784.0,0.0303461534979682,17.79,17.79,17.16,17.24,1.0
2025-08-13,17.21,17.58,17.1,17.51,5190397.0,90258491.0,0.0245880491542786,17.21,17.58,17.1,17.51,1.0
2025-08-14,17.59,17.59,16.86,16.88,5702400.0,97701200.0,0.0270135196782363,17.59,17.59,16.86,16.88,1.0
2025-08-15,16.9,17.57,16.85,17.33,6105700.0,105970097.0,0.0289240402461082,16.9,17.57,16.85,17.33,1.0
2025-08-18,17.31,17.58,17.11,17.16,6039341.0,104880118.0,0.0286096831066006,17.31,17.58,17.11,17.16,1.0
2025-08-19,17.07,17.34,17.02,17.19,5156900.0,88523964.0,0.024429366517378,17.07,17.34,17.02,17.19,1.0
