股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,20日方向证据,MA25上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,收盘价高于MA25,MA25向上,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
300605,恒锋信息,10.18,0.024144869215291687,0.0039447731755424265,-0.03323836657169987,0.015968063872255467,,,,0.08607863974495222,-0.06261510128913439,0.10253807106598983,0.839479803453247,4122669.2,5711855.6,0.7217740588540089,0.033464759289128745,0.04519482730858865,0.74045551851836,True,-0.009388733519776205,-0.014684430613634114,False,3,2,部分收敛/待确认,-0.06261510128913439,0.5310344827586206,-0.012561229933556461,10.2864,-0.010343754860787091,-0.0018630647414997759,,,,-0.0019607843137254832,9.41,9.41,0.08182784272051014,0.08182784272051014,False,0,,创业板20%,4,0.8982035928143617,2,0,1,1,1,1,6,False,False,False,收盘价未站上MA25,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300613,富瀚微,82.32,0.03157894736842093,0.23141361256544513,0.13341594382486566,0.2035087719298243,,,,0.25526157546602535,-0.014131736526946215,0.2600494743351885,0.9815885077968209,15768529.8,11376837.9,1.3860204336742814,0.06903402440011588,0.055170548897368575,1.2512839871964467,False,0.09960136177146683,0.022717932002097596,True,3,2,部分收敛/待确认,-0.014131736526946215,0.9376321353065535,0.13117322120537533,72.50319999999999,0.13539816173630959,0.0021618095064328546,,,,0.0817345597897503,66.52,64.68,0.23752254960914,0.2727272727272725,False,0,,创业板20%,14,8.165199729180772,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300642,透景生命,20.35,0.19988207547169812,0.21058893515764443,0.17156016119746686,0.5107646622123236,,,,0.2726704190118825,0.0,0.27672955974842767,0.9853317414293027,20941800.2,28125119.2,0.7445941846888243,0.13586850091925473,0.20424096858071192,0.6652362739141743,True,0.0473537604456824,0.005694363742010378,True,3,3,收敛较充分,0.0,1.0,0.15664431056041828,16.794,0.21174228891270697,0.015970961887477264,,,,0.17021276595744683,15.99,15.9,0.2726704190118825,0.27987421383647804,False,0,,创业板20%,5,5.128205128205132,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300672,国科微,201.0,0.08361636745916212,0.2360103308326158,0.17296918767506986,0.2677388836329233,,,,0.28125778331257795,-0.023181221752442083,0.2088607594936709,1.3466281746481004,9095923.8,9103313.6,0.9991882296573855,0.03474836705538905,0.045784197438612714,0.7589598376596977,True,0.07912908765567028,0.018019287093612446,True,3,2,部分收敛/待确认,-0.023181221752442083,0.9148518386290608,0.16130597812584857,171.7892,0.17003862873801157,0.0011655745233383197,,,,0.10798743178435588,160.6,158.0,0.25155666251556674,0.2721518987341771,False,0,,创业板20%,14,6.076012152024313,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300688,创业黑马,36.76,0.0043715846994534235,0.1276073619631901,0.23438549361987904,0.29163738580463794,,,,0.18156250000000007,-0.02777043110288291,0.15763718979377833,1.1517745288248347,13580586.2,8273129.1,1.6415295876381284,0.09693858491237316,0.053950546439085395,1.796804505433968,False,0.07919772162637084,0.06712158413315872,True,3,1,结构未成熟,-0.02777043110288291,0.9198473282442745,0.14973805614199676,31.5924,0.16357098542687476,0.005397354786969899,,,,-0.00943142010239828,32.0,29.15,0.14874999999999994,0.2610634648370498,False,0,,创业板20%,17,9.592410400562201,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300741,华宝股份,26.0,0.03379721669980129,0.2333965844402277,0.4069264069264069,0.9475655430711611,,,,0.3920704845814979,-0.0857946554149086,0.5465753424657533,0.7173219392092569,28081527.4,12799059.6,2.194030520804825,0.042227706450872475,0.020781838715724348,2.0319523709382534,False,0.17714672075726856,0.14041255234451744,True,3,2,部分收敛/待确认,-0.0857946554149086,0.8406270411495753,0.3975864756631817,17.574,0.4794582906566518,0.029380754902649908,,,,-0.04306220095693791,20.43,18.18,0.27263827704356336,0.4301430143014302,False,0,,创业板20%,17,9.478672985782,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300788,中信出版,34.7,-0.05346426623022349,0.09463722397476348,0.3114134542705973,0.4899098325461573,,,,0.19960732984293186,-0.05346426623022349,0.3280032800328003,0.6085528468586385,19141910.2,12202105.9,1.5687382454204073,0.1012427326703129,0.060615930406865255,1.6702330887400902,False,0.08237316188172383,0.09569459029165706,True,3,2,部分收敛/待确认,-0.05346426623022349,0.8567251461988308,0.21827054734402962,27.770799999999998,0.24951387788612522,0.013429284598654112,,,,-0.02473299606520507,30.56,27.08,0.1354712041884818,0.2813884785819796,False,0,,创业板20%,6,6.039215686274502,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300820,英杰电气,72.99,0.02183956320873559,0.27471184072651056,0.25996892801657157,0.3863247863247863,,,,0.32156724320508295,-0.02524038461538458,0.12107623318385644,2.655907230916057,10158212.0,4385761.4,2.3161798085960625,0.09365588125227223,0.03923297314860515,2.3871726697216156,False,0.14254555216267906,0.07063591129046043,True,3,1,结构未成熟,-0.02524038461538458,0.9233887312525334,0.23320999543818743,58.0304,0.25778902092696243,0.011617042047276982,,,,0.041226818830242484,56.66,53.52,0.28821037769149305,0.3637892376681613,False,0,,创业板20%,17,10.960960960960954,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300852,四会富仕,72.25,0.05814294083186877,0.07787557809935852,0.36397961110062305,0.6120035698348951,,,,0.18536197295147172,-0.030201342281879207,0.561831017991346,0.32992477633964823,14405944.8,14577757.8,0.9882140311042896,0.09465401347867655,0.09175249044515803,1.0316233708691844,True,0.035953891192973986,0.09681831999189394,True,3,3,收敛较充分,-0.030201342281879207,0.9281609195402298,0.29157393255213204,53.992000000000004,0.33816120906800995,0.017449967964421775,,,,0.053514144065325286,62.85,52.53,0.14956245027844073,0.37540453074433655,False,0,,创业板20%,17,11.28632574904258,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300897,山科智能,16.35,0.03284902084649399,0.060311284046692615,0.02187500000000009,-0.034258712344949704,,,,0.10678307588985896,-0.05381944444444442,0.11140583554376668,0.958505228820876,1615562.2,1784794.8,0.9051809205181458,0.012033255326495426,0.014012189172584,0.8587705445798205,True,0.009738994935722722,-0.005771548170228846,True,3,3,收敛较充分,-0.054913294797687806,0.6058091286307057,0.020058021648937885,16.0156,0.020879642348710092,-7.492133260078582e-05,,,,0.04272959183673475,14.89,14.89,0.0980523841504366,0.0980523841504366,False,0,,创业板20%,4,1.6233766233766156,0,2,1,1,1,1,6,False,True,False,MA25未上扬,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300922,天秦装备,18.3,0.0161021654636313,-0.022435897435897356,-0.03937007874015752,0.06954997077732328,,,,0.06628242074927945,-0.16016521340064238,0.18552774755168663,0.3572641916046206,8243943.8,18093225.8,0.4556370373711911,0.06549955920767545,0.1449396768179271,0.4519091020877316,True,-0.03441600344160023,-0.02088033156707414,False,3,2,部分收敛/待确认,-0.16016521340064238,0.31702544031311175,-0.03739940034716738,18.6312,-0.017776632745072685,0.00015030813167005164,,,,0.0,17.35,17.35,0.054755043227665556,0.054755043227665556,True,1,2026-08-25,创业板20%,6,19.988310929281127,2,0,1,1,1,1,6,False,False,True,收盘价未站上MA25,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300939,秋田微,98.55,0.03236957888120684,0.32352941176470607,0.42805390523112585,0.5967271548930655,,,,0.4121169916434541,-0.02801065193806096,0.20826683689754225,1.9787931568106392,7207134.8,3709866.5,1.9426938408700152,0.0602744270833333,0.031013824999999964,1.9434696327632393,False,0.20231951762724765,0.1259127412369836,True,3,1,结构未成熟,-0.02801065193806096,0.9337840988575424,0.3594416012580526,70.6572,0.3947623172160797,0.016966424097273336,,,,0.017027863777089758,71.8,66.88,0.37256267409470745,0.47353468899521545,False,0,,创业板20%,17,8.187219243587872,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300981,中红医疗,18.79,0.03526170798898076,0.2257012393998694,0.19834183673469385,0.30124653739612195,,,,0.24569536423841054,-0.0010632642211589882,0.18698060941828262,1.3140152072602396,17027467.6,13632672.1,1.249019082619907,0.035489627909197796,0.03869435802449527,0.9171783619392591,True,0.10105540897097631,0.026381667629501226,True,3,2,部分收敛/待确认,-0.0010632642211589882,0.9956043956043957,0.1783149907503212,15.718800000000002,0.1953838715423568,0.008882955508202839,,,,0.15064298836497247,15.1,14.44,0.2443708609271522,0.30124653739612195,False,0,,创业板20%,17,10.333551340745606,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
300990,同飞股份,107.34,0.06109134045077114,0.2461109821221268,0.09979508196721332,0.46579270790659555,,,,0.2790286455263468,-0.024181818181818193,0.3364111286599441,0.8294275122164538,10063801.4,9767567.9,1.0303282764996187,0.11085624175264734,0.11789450246819941,0.9403003484623844,True,0.09818430969510095,0.00397769034545381,True,3,3,收敛较充分,-0.024181818181818193,0.9376757263355202,0.14347805244403267,89.4252,0.20033279209887134,0.013206495384071593,,,,0.09855695425237965,84.83,82.31,0.26535423788753976,0.3040942777305309,False,0,,创业板20%,4,7.219132369299208,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
301060,兰卫医学,11.81,0.07461328480436769,0.13339731285988488,0.13014354066985656,0.03324584426946631,,,,0.1843409316154608,-0.0303776683087027,0.1386036960985626,1.3299856843959916,19488918.8,12528226.9,1.5556007211204006,0.048510125209983775,0.03385511125077736,1.4328744883055116,False,0.06254886630179812,0.021491904394757233,True,3,1,结构未成熟,-0.15401146131805155,0.490521327014218,0.09625916643460508,10.9816,0.07543527354848112,-0.004604619121859277,,,,0.0687782805429864,10.09,9.74,0.1704658077304262,0.21252566735112932,False,0,,创业板20%,9,6.666666666666665,2,2,0,1,1,0,6,False,True,False,MA25未上扬,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
301086,鸿富瀚,176.0,0.06158393147958274,0.1607201741080262,0.13923231277105308,0.5058179329226558,,,,0.2068847287938009,0.0,0.30477011044098073,0.678822239144296,5513956.8,6778884.6,0.8134017799919474,0.07763711653051078,0.0985375042354813,0.7878940828963605,True,0.06442867394944574,0.018410852713178105,True,3,3,收敛较充分,0.0,1.0,0.20384683785003888,141.29,0.24566494444051257,0.013854844172469516,,,,0.10344827586206895,145.83,141.1,0.20688472879380093,0.24734231041814314,False,0,,创业板20%,17,15.165911416459576,2,2,0,1,1,0,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
301165,锐捷网络,116.46,-0.009272649936197364,0.09857560607489857,0.03991427806054104,0.004831751509922322,,,,0.13852896341463422,-0.11732605729877221,0.22801932367149752,0.607531682771807,15053621.4,13292162.3,1.1325186271612107,0.01143687959837205,0.011935819214983679,0.9581981255224373,True,0.052912109266559426,0.010269517996670752,True,3,3,收敛较充分,-0.21995981245813812,0.2829694323144103,0.0182295081967212,116.4992,-0.0003364829973081518,-0.010713242437211723,,,,-0.021508990085699953,104.96,103.5,0.10956554878048785,0.12521739130434772,False,0,,创业板20%,4,2.9717022975250584,2,0,1,1,1,1,6,False,False,False,收盘价未站上MA25,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
301183,东田微,303.53,0.0013195658628311069,0.17939850792663958,0.2503810504634396,0.2905735788086228,,,,0.22101090188305253,-0.014512987012987089,0.2563247415312784,0.8622300779969122,5811327.6,4119977.5,1.4105241108719646,0.10475338510951468,0.06772441484040258,1.5467595453777419,False,0.125509821476397,0.09400523271713546,True,3,2,部分收敛/待确认,-0.014512987012987089,0.9578222306095487,0.2252081336091627,243.22560000000001,0.2479360725186821,0.01465758910692827,,,,-0.010432628044208414,252.25,229.85,0.20329038652130804,0.32055688492495094,False,0,,创业板20%,17,14.429150560950333,2,2,0,0,1,1,6,False,True,True,近5日波动仍偏大,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
301190,善水科技,20.08,0.07841031149301814,0.06751727804359375,0.07956989247311808,-0.05059101654846332,,,,0.12590529247910873,-0.0788990825688074,0.2944009632751355,0.4276660343717783,5460614.0,7480952.5,0.7299356599310047,0.024651504778558576,0.04289536661277724,0.5746892199591467,True,0.041814551907719766,0.011227339941946468,True,3,3,收敛较充分,-0.0788990825688074,0.6685934489402694,0.04878303562101727,19.2928,0.04080278653176306,0.00368327957548642,,,,0.05739863085834651,17.95,16.61,0.1186629526462395,0.20891029500301017,False,0,,创业板20%,4,8.311688311688314,0,2,1,1,1,1,6,False,True,True,20日方向仍偏弱,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,378,False,,,230,4,未入选：未满足一级粗筛最低资格条件
