股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,有效突破阶段,有效突破观察资格,有效突破确认,整理交易日数,整理超过一周,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,N型走势,有效突破原因,20日方向证据,MA25上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,收盘价高于MA25,MA25向上,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000635,英 力 特,7.44,0.020576131687242816,0.008130081300813163,0.006765899864682012,0.17535545023696697,0.22570016474464571,0.18095238095238098,-0.1328671328671328,0.05485232067510544,-0.11952662721893481,0.1968838526912181,0.2786024345080895,10228296.8,26766135.2,0.38213573695166875,0.027518256401938702,0.07647298512720839,0.35984284327548705,True,-0.010583446404341945,-0.008594064724049888,False,3,2,部分收敛/待确认,-0.3193046660567246,0.3452157598499063,0.03534650709713327,7.026400000000001,0.05886371399294088,0.00584058634906115,0.022056295131895665,0.017412805830296696,-0.041320081492070115,0.0013458950201885589,7.11,7.11,0.04641350210970474,0.04641350210970474,True,2,2026-09-02,沪深主板10%,17,10.060975609756095,READY_FOR_BREAKOUT,False,False,5,False,7.47,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000735,罗 牛 山,6.09,0.021812080536912637,0.008278145695364225,-0.09643916913946593,0.14473684210526305,0.22535211267605626,0.26086956521739135,-0.10309278350515472,0.15492957746478872,-0.16689466484268123,0.32909090909090905,0.47078048400902656,87010834.8,110427798.4,0.787943217746882,0.079677691015472,0.07456334152904419,1.0685906691082996,True,-0.027540983606557212,-0.007169029791301407,False,3,2,部分收敛/待确认,-0.4958609271523179,0.18724559023066484,0.009531703273932823,5.977199999999999,0.018871712507528837,0.0031552094522018237,0.02054556006964603,0.03921319393689027,-0.034871131483851237,-0.031796502384737746,5.68,5.68,0.07218309859154926,0.07218309859154926,True,1,2026-08-18,沪深主板10%,2,9.964412811387891,INELIGIBLE,False,False,4,False,6.01,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000798,中水渔业,10.4,0.024630541871921263,0.012658227848101333,-0.06726457399103136,0.1954022988505748,0.36304062909567514,0.47100424328147095,0.008729388942773975,0.07048008171603691,-0.19814957594448734,0.4174863387978142,0.1688200910213973,30313363.8,51515781.7,0.5884286872812803,0.08739684167733505,0.14354465453153845,0.6088477621305846,True,-0.029002098836099832,0.003454392680422025,False,3,2,部分收敛/待确认,-0.37349397590361444,0.3673469387755102,0.017065180186788043,9.912799999999999,0.0491485755790495,0.00797201659481006,0.03630575526701718,0.06875823451910401,-0.009871909163421289,-0.006685768863419317,9.79,9.79,0.06230847803881523,0.06230847803881523,True,4,2026-09-09,沪深主板10%,17,10.000000000000009,READY_FOR_BREAKOUT,False,False,5,False,10.47,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000930,中粮科技,5.41,0.046421663442940186,0.022684310018903586,0.020754716981132182,0.13179916317991625,0.194260485651214,0.2494226327944573,-0.22046109510086453,0.1034482758620691,-0.2326241134751773,0.4358452138492871,0.2373509506928782,92571149.2,100245884.4,0.9234408948962297,0.05053374942970713,0.050940625481541955,0.9920127393806294,True,-0.06799276672694399,0.007053716766142193,False,3,2,部分收敛/待确认,-0.33127317676143386,0.309278350515464,0.018065487391795365,5.224,0.03560490045941811,0.004615384615384688,0.013128528291978192,0.0334586999716151,-0.054442685959755655,0.026565464895635715,4.93,4.93,0.0973630831643002,0.0973630831643002,True,2,2026-09-09,沪深主板10%,17,10.000000000000009,INELIGIBLE,False,False,0,False,,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000962,东方钽业,62.91,0.04849999999999999,0.15325389550870772,0.17150837988826795,0.22392996108949403,0.2315974941268597,-0.32988922028121004,0.334535426389478,0.15034583181652722,-0.004588607594936844,0.2020180786209796,0.744219689855588,28290013.6,18888930.1,1.4977033347166655,0.057568702916262225,0.037550971373012686,1.5330815904708122,False,0.09413063477460915,0.03848155859607383,True,3,2,部分收敛/待确认,-0.34632169576059846,0.5624261520283577,0.14047968673519362,54.6696,0.150730936388779,0.003929807035456312,0.02004161103002855,-0.04931110316416665,0.017709146517521868,0.04937447873227674,54.94,47.57,0.14506734619585004,0.32247214631069987,True,1,2026-08-27,沪深主板10%,17,9.99617737003058,INELIGIBLE,False,False,0,False,,,,,False,False,False,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
001210,金房能源,30.16,0.03287671232876721,0.038567493112947604,0.0661010957935666,0.14155942467827387,0.6681415929203542,0.3434298440979955,0.9803020354563361,0.12228163992869874,-0.041931385006353294,0.16828358208955216,0.7266403437004718,4669024.4,9338609.6,0.49996997411691785,0.0303049959019978,0.06848457382565237,0.4425083520143979,True,0.02509570395576355,0.006266190576209807,True,3,3,收敛较充分,-0.041931385006353294,0.9384902143522833,0.05399266119168278,28.482000000000003,0.05891440207850551,0.006160889655075108,0.04891723937173298,0.04074964100460088,0.11206662207935136,0.026548672566371723,28.05,26.8,0.07522281639928696,0.12537313432835817,True,1,2026-08-20,沪深主板10%,3,10.018484288354902,BREAKOUT_AWAIT_RETEST,False,False,5,False,29.38,2026-09-21,1.540553397319166,,False,False,True,首次放量突破，仅观察，等待缩量回踩确认,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
001232,嘉立创,193.51,-0.011695607763023586,-0.02109469850263057,0.15246262878923234,0.35246016214705045,,,,0.0739231664726426,-0.04651391968465135,0.24653791219027504,0.2998450251156081,4387013.2,4934332.5,0.8890793638247929,0.09923898832274822,0.11161994346131832,0.8890793638247927,True,0.03512390070846205,0.04703973585335319,True,3,3,收敛较充分,-0.17479744136460562,0.5685263157894735,0.11292915292351657,169.62040000000002,0.14084154971925522,0.005086453111482481,0.0010994358987495012,,,-0.035968714193194806,188.98,161.03,0.023970790559847632,0.20170154629572123,True,2,2026-09-11,沪深主板10%,25,10.000602809090363,READY_FOR_BREAKOUT,False,False,5,False,201.38,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
001268,联合精密,24.15,0.004158004158004047,0.004158004158004047,-0.07186779400461185,0.0771632471008028,0.3283828382838283,-0.055164319248826255,0.1555023923444976,0.046245226983453534,-0.10522415709522048,0.14412886816447643,0.3208602660410792,2225571.4,3631656.2,0.6128254651417719,0.023436178698471852,0.04037045211773789,0.5805280215867216,True,-0.010597223363180586,-0.015922158337019043,False,3,2,部分收敛/待确认,-0.28039332538736605,0.4716451431779898,-0.029145728643216184,24.03,0.004993757802746357,0.006534305101784321,0.034088055887869784,-0.03100544895948054,0.018619400793828955,-0.01948842874543244,23.57,23.57,0.02460755197284681,0.02460755197284681,True,2,2026-08-26,沪深主板10%,14,10.009813542688928,READY_FOR_BREAKOUT,False,False,5,False,24.63,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002040,南 京 港,9.57,0.03125,0.0010460251046024993,0.07286995515695072,0.10000000000000009,0.19625000000000004,0.28975741239892194,-0.05153617443012881,0.16531791907514448,-0.12841530054644812,0.25773195876288657,0.6414335260115607,39393294.2,36215952.8,1.087733199166308,0.08822457540516158,0.06705386741855353,1.3157268745508661,False,-0.01918616909129267,0.011437733832175168,False,3,1,结构未成熟,-0.287416232315711,0.3733766233766235,0.04441776710684264,9.0912,0.05266631467793026,0.005708217177751385,0.022047604516326036,0.02632920686068596,-0.027766647238816944,-0.050595238095238027,8.65,8.65,0.10635838150289012,0.10635838150289012,True,2,2026-09-09,沪深主板10%,17,10.033076074972435,INELIGIBLE,False,False,0,False,,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002094,青岛金王,5.49,0.072265625,0.06395348837209314,-0.06153846153846143,0.17558886509635974,0.26206896551724146,0.25917431192660545,-0.16183206106870218,0.16563146997929604,-0.09999999999999987,0.19842829076620822,0.8347170120738782,33726131.0,56298444.4,0.5990597317463358,0.03521370342032953,0.08669144857032707,0.40619581286339873,True,-0.011201235998455017,-0.027229532163742687,False,3,2,部分收敛/待确认,-0.3947078280044102,0.27235772357723576,0.0016420361247948545,5.3104,0.033820427839710954,0.005833775286006482,0.010783237554077507,0.023487569547151033,-0.04501124141702617,0.03977272727272729,4.83,4.83,0.1366459627329193,0.1366459627329193,True,1,2026-08-25,沪深主板10%,6,10.064239828693777,BREAKOUT_AWAIT_RETEST,False,False,5,False,5.28,2026-09-21,2.9365886152668734,,False,False,True,首次放量突破，仅观察，等待缩量回踩确认,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
