股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
002902,铭普光磁,28.05,0.04197622585438321,0.09228971962616828,0.09698865858427852,0.13013698630136994,0.14677023712183157,-0.20199146514935984,,0.1792144026186579,-0.026717557251908386,0.20626072041166374,0.8688731536522045,19456910.2,15542621.0,1.2518422858023752,0.0774292486451206,0.08335148004852186,0.9289486953326598,True,0.026867275658248202,0.02925624300436147,True,3,3,收敛较充分,-0.34812921217755055,0.3895680521597393,0.0856103413576903,0.036849194568145505,-0.04220018034265105,,0.01667270750271843,24.44,24.44,0.14770867430441892,0.14770867430441892,True,True,False,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,30,50,39,12,入选：阶段2分=15；软容量30-50只，本次实际39只
600165,宁科生物,3.33,0.024615384615384706,0.047169811320754595,0.03416149068322971,0.3214285714285714,0.3110236220472442,0.1766784452296819,,0.0900321543408361,-0.07499999999999996,0.21212121212121207,0.42443729903537025,18797939.8,25835541.1,0.7276000037018772,0.0172348407877781,0.03525045718687568,0.4889253122706991,True,0.02272727272727293,0.0006234413965087171,True,3,3,收敛较充分,-0.14395886889460152,0.67816091954023,0.07263649540988881,0.05552150998896921,0.023428176622071417,,-0.0029940119760478723,3.11,3.09,0.07073954983922826,0.07766990291262132,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,30,50,39,12,入选：阶段2分=15；软容量30-50只，本次实际39只
000670,盈方微,7.23,0.008368200836820217,0.014025245441795287,0.026988636363636465,0.047826086956521685,0.18137254901960786,-0.21498371335504884,,0.0606060606060606,-0.09170854271356776,0.16413373860182373,0.3692480359147025,36139080.0,46939689.6,0.769904537246876,0.037391001409949845,0.056523192543457314,0.6615160914911544,True,-0.003085553997195012,0.008496176720475646,True,3,3,收敛较充分,-0.3027965284474444,0.4086629001883241,0.010764714105969464,0.009039870587115972,-0.05017986018415865,,-0.013642564802182733,6.93,6.86,0.04329004329004338,0.05393586005830908,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
000723,美锦能源,3.91,0.005141388174807249,0.039893617021276695,0.002564102564102555,0.08011049723756902,0.1333333333333333,0.026246719160105014,,0.07608695652173908,-0.0532687651331718,0.1936416184971098,0.39292667099286155,93495599.4,154393135.7,0.6055683691901337,0.0165799080181644,0.03512786159749452,0.47198739872474776,True,0.0047120418848167755,0.0007772020725391737,True,3,3,收敛较充分,-0.25239005736137665,0.35294117647058826,0.030167303385588262,0.013671344499773586,-0.00981381271209747,,0.002564102564102555,3.68,3.68,0.0625,0.0625,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
000889,中嘉博创,4.2,0.05527638190954787,0.05263157894736836,0.03960396039603964,0.021897810218977964,0.2574850299401199,0.15068493150684947,,0.1288659793814433,-0.041095890410958846,0.11081081081081084,1.1629368871008297,50383867.0,35984515.6,1.4001540985034129,0.03445351335362015,0.041371048876415024,0.8327928415965675,True,0.002989536621823774,0.00298656047784962,True,3,2,部分收敛/待确认,-0.2869269949066213,0.44407894736842113,0.05302745393004882,0.017656090071647812,0.017694272163444102,,0.021897810218977964,3.88,3.88,0.08247422680412386,0.08247422680412386,True,False,False,True,True,True,True,True,True,True,True,True,3,0,1,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
002155,湖南黄金,28.54,0.0031634446397188487,0.03631082062454616,0.05625462620281274,0.13479125248508939,0.17642209398186304,0.2583774250440918,,0.1289062499999999,-0.03385240352065,0.22318840579710147,0.5775669642857137,87443255.2,74272496.7,1.1773302243116865,0.0413722037159018,0.04753443083506466,0.8703628714826817,True,0.019932305377961645,0.02352277004140002,True,3,3,收敛较充分,-0.1603412768461313,0.5983787767133381,0.08216736814165992,0.03467979489417394,0.021814323315005435,,0.019649874955341318,25.6,24.99,0.11484374999999991,0.1420568227290917,True,True,False,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
002457,青龙管业,12.71,0.0486798679867988,0.05564784053156169,0.1502262443438913,0.17685185185185182,0.13583556747095638,-0.05712166172106825,,0.12299915754001693,-0.046511627906976716,0.24466019417475723,0.5027346518500693,47079416.4,25942488.3,1.8147610150411053,0.14117325303430295,0.07779164962451282,1.8147610150411058,False,0.030126498002663205,0.040141880785535156,True,3,2,部分收敛/待确认,-0.22969696969696962,0.4676966292134832,0.11339844947658917,0.03743512575622643,-0.008821249911928342,,0.0007874015748032814,11.87,10.94,0.07076663858466747,0.1617915904936016,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
002517,恺英网络,17.7,0.0350877192982455,0.038123167155425186,0.06306306306306309,0.019585253456221086,0.04056437389770706,0.21399176954732502,,0.06382978723404245,-0.04168922577152134,0.08054522924411404,0.7924713584288036,69273659.0,52857327.2,1.3105781671079273,0.03686256003966338,0.028126945011611566,1.3105781671079284,False,0.020510430019811343,0.016898079763663088,True,3,2,部分收敛/待确认,-0.13235294117647056,0.5813953488372093,0.036755015375603994,0.017443109678679347,0.02537760031045444,,-0.011173184357541888,16.92,16.19,0.04609929078014163,0.09326744904261886,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
002918,蒙娜丽莎,11.24,0.04558139534883732,0.019963702359346636,0.09126213592233001,0.12287712287712282,0.20085470085470103,-0.09718875502008029,,0.110586011342155,-0.0979133226324238,0.2871900826446282,0.38506208265901437,16668535.4,22324662.8,0.7466422023628505,0.0624420309886002,0.10422103383187697,0.5991307962779172,True,-0.01738351254480297,0.02272519014019969,False,3,2,部分收敛/待确认,-0.39276066990815783,0.30563514804202485,0.05867947631157566,0.03139043307479805,-0.010743076592011458,,-0.001776198934280604,10.58,10.28,0.06238185255198481,0.09338521400778221,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
002953,日丰股份,11.03,-0.03752181500872609,0.025092936802973975,-0.0715488215488217,0.14537902388369672,0.23793490460157107,0.1347736625514402,,0.1432692307692308,-0.08083333333333342,0.16470588235294134,0.8698489010989003,24649665.6,24594217.7,1.0022545096036946,0.05221071073836825,0.08743405531215517,0.5971438766275532,True,0.009449694274596965,-0.002819719847189317,True,3,3,收敛较充分,-0.1376075058639562,0.6018099547511313,0.014952841039797438,0.022391692357618176,0.0203228771090187,,-0.007200720072007227,10.4,10.4,0.060576923076923084,0.060576923076923084,True,True,False,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,3,True,30,50,39,12,入选：阶段2分=14；软容量30-50只，本次实际39只
