股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000520,凤凰航运,4.43,0.0572792362768495,0.0045351473922901064,0.11868686868686873,0.0254629629629628,0.0278422273781902,,0.11510791366906485,-0.047311827956989405,-0.1140000000000001,0.6666666666666665,0.06953162723322048,0.026193099940662767,0.006164721354594782,,0.0278422273781902,4.17,4.13,0.062350119904076795,0.07263922518159793,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,0.10944527736131948,-0.2629482071713146,,0.11661807580174924,-0.07035175879396982,-0.2864030858244937,0.4406779661016951,0.04247376206240738,0.034071212796513706,-0.04573749503333191,,0.029207232267037586,6.86,6.58,0.07871720116618075,0.12462006079027366,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
000723,美锦能源,3.99,0.023076923076923217,0.12711864406779672,0.09315068493150691,0.18397626112759657,-0.05450236966824629,,0.09283819628647218,-0.03155339805825241,-0.2975352112676055,0.3212851405622491,0.07532677536720112,0.02248234856930509,-0.0213428390939443,,-0.0024999999999999467,3.77,3.46,0.05835543766578244,0.15317919075144526,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
000735,罗 牛 山,5.9,0.03690685413005279,-0.0453074433656957,0.11742424242424243,0.18951612903225823,0.16600790513834007,,0.1298701298701299,-0.08809891808346204,-0.23969072164948446,0.39016393442622965,0.07029478458049887,0.02414384649596557,0.0076449627470036585,,0.0016977928692700761,5.39,5.18,0.09461966604823768,0.13899613899613916,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
000887,中鼎股份,21.32,0.0319457889641821,0.020584011488750553,0.14377682403433467,0.24751316559391467,-0.022018348623853212,,0.09163745618427652,-0.10004221190375695,-0.10004221190375695,0.6865079365079365,0.014658290500666249,0.032226579520697074,0.001530669280843222,,-0.01751152073732709,19.97,19.97,0.0676014021031548,0.0676014021031548,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
001210,金房能源,29.88,0.03678001387925045,0.10462107208872462,0.4372294372294372,0.5315222962583288,0.29127052722558333,,0.1549243821468093,-0.045672309166400527,-0.045672309166400527,0.9198430493273543,0.14544199953998294,0.08080435384189655,0.03846242375417175,,0.008777852802160702,27.11,25.79,0.10217631870158606,0.1585886002326482,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
002365,永安药业,15.8,0.03879026955950038,0.016077170418006492,0.23727486296006273,0.5061963775023832,0.4311594202898552,,0.11715481171548116,-0.07764156450671322,-0.07764156450671322,0.8180574555403559,0.08826669421772237,0.03533982516872958,0.053727589958040944,,0.0050890585241729624,14.34,14.1,0.10181311018131112,0.12056737588652489,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
002702,海欣食品,5.32,0.035019455252918386,0.029013539651837617,0.09465020576131677,0.20090293453724617,0.04930966469428011,,0.09650924024640652,-0.0037453183520598232,-0.14193548387096777,0.6106194690265487,0.0657051282051282,0.027829050120687038,-0.011485851519264845,,0.0037735849056603765,4.87,4.72,0.0924024640657084,0.12711864406779672,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
002724,海洋王,7.15,0.03623188405797095,0.10510046367851622,0.33395522388059695,0.4895833333333335,0.35416666666666674,,0.11782477341389731,-0.041554959785522705,-0.11290322580645162,0.7323529411764705,0.1482254697286014,0.05953169204839592,0.0351362523450669,,0.021428571428571574,6.62,5.63,0.08006042296072513,0.26998223801065735,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
002913,奥士康,63.43,0.030376868096166243,0.07892498724272845,0.259031361651449,0.13065953654188944,0.27395059248845155,,0.11099656357388304,-0.019022579647386295,-0.10232097367676196,0.7940757618911992,0.08159263364310698,0.06461112875900055,0.022335515325504485,,-0.006733479486376481,58.2,54.71,0.08986254295532636,0.1593858526777554,True,True,True,True,True,True,3,3,1,4,1,12,True,,核心：整理成熟+40日趋势仍活+稳健5日上沿；2%-6%单日加速仅为中等证据,1,True,30,40,40,11,入选：阶段2分=12；软容量30-40只，本次实际40只
