股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
002138,顺络电子,52.52,0.05187262167033846,0.09166493452504687,0.180489997752304,0.051661994393272126,0.24720968890999773,-0.23684975297878508,,0.1335476956055735,-0.006807866868381196,0.13958238765320014,0.9567660924197675,31328064.4,26611059.8,1.1772572996134485,0.04087985576539206,0.03472465686032689,1.177257299613449,False,0.04416807833739611,0.03707134286255598,True,3,2,部分收敛/待确认,-0.34119417962870036,0.4298889121777406,0.0889487870619945,0.0097313029324948,-0.053876887910759286,,0.020796890184645367,46.65,44.8,0.12583065380493053,0.17232142857142874,True,1,2026-09-07,沪深主板10%,18,10.002247696111466,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002708,光洋股份,17.03,-0.01332560834298957,0.03778184034125531,0.11525867714472837,0.5300988319856244,0.7869884575026236,0.27374719521316404,,0.08523780111179734,-0.030734206033010802,0.4162520729684907,0.20477447836818252,35977479.2,55741336.6,0.6454362488322536,0.06963941449005259,0.10937601438105868,0.636697313246701,True,0.01998788612961855,0.036983998505697,True,3,3,收敛较充分,-0.030734206033010802,0.9397321428571429,0.1473421814996969,0.08555823633905146,0.034873373917710504,,-0.005837711617046049,16.19,14.97,0.0518838789376157,0.13760855043420173,True,3,2026-09-07,沪深主板10%,18,10.028248587570632,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002837,英维克,63.28,0.02477732793522258,0.04508670520231228,-0.009857612267250793,0.16925351071692551,0.07802385008517887,-0.23361995882281694,,0.07890252215405594,-0.10393656188048717,0.1892893230043786,0.4168355663263204,33546317.4,59555776.1,0.5632756316309678,0.0306827609486188,0.055803809168673967,0.5498327337454032,True,0.009871343489848972,-0.018364787860510212,False,3,2,部分收敛/待确认,-0.3229913341178988,0.3664218258132214,0.0054978231162805535,0.02828412300502503,-0.03930473031327075,,0.01703632272581168,58.68,58.68,0.07839127471029306,0.07839127471029306,True,1,2026-08-25,沪深主板10%,18,10.009132420091316,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002963,豪尔赛,20.56,0.03316582914572863,0.021361152508693415,0.020854021847070303,0.1775486827033217,0.5646879756468797,-0.10647544545849641,,0.13729729729729725,-0.16354759967453214,0.23861766319253966,0.5753861447654552,6208670.2,13609829.9,0.45619013945207354,0.044281139194161524,0.09033170488961728,0.49020594981874627,True,-0.012129648041360297,0.00518438814438027,False,3,2,部分收敛/待确认,-0.16354759967453214,0.6881303335919318,0.010865824278479819,0.02328371704806309,0.0006154072250645903,,-0.016738402678144526,18.5,18.5,0.11135135135135132,0.11135135135135132,True,3,2026-09-07,沪深主板10%,18,10.016242555495403,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300378,鼎捷数智,36.87,0.02845188284518807,0.029888268156424536,-0.07221942627076006,0.17233704292527818,0.3960620976902687,0.041231290595876935,,0.06444254348445959,-0.12256068538791065,0.19612866495872475,0.3285727942828832,13783314.8,23964960.8,0.5751444750954903,0.05043529376869538,0.08891944505478358,0.5672020752898538,True,-0.008241758241758212,-0.021303724167242244,False,3,2,部分收敛/待确认,-0.16828332957365222,0.5892070484581496,0.018353565066081323,0.0013703993735316722,-0.0022860731052819494,,0.0019021739130435922,35.07,35.07,0.05132591958939248,0.05132591958939248,True,1,2026-08-28,创业板20%,18,19.993591797500798,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300456,赛微电子,36.58,0.03861442362294154,0.055699855699855805,-0.04391008886565606,0.1653392800254858,0.27456445993031364,-0.06445012787723792,,0.09364747986877425,-0.12488038277511959,0.22744750073942613,0.4117322879536097,30479416.8,40940870.1,0.7444740848338736,0.054521856833916416,0.06851308823193729,0.7957874654451954,True,-0.0007952286282307819,-0.0245244160208119,False,3,2,部分收敛/待确认,-0.3741659538066724,0.3214396524976729,0.006576593929721319,0.021610810283428483,-0.024431638215090867,,0.01217487548422791,33.53,33.53,0.090963316433045,0.090963316433045,True,1,2026-08-27,创业板20%,18,20.012953367875653,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300679,电连技术,45.39,0.025762711864406818,0.07178276269185369,0.055581395348837326,-0.11778425655976676,0.13873557451078788,-0.2862085233527284,,0.12475538160469653,-0.16192762186115206,0.25582548339117483,0.48765814863696333,17519463.4,17546660.7,0.9984500013726259,0.04836801604358555,0.04881234774482128,0.9908971454608456,True,0.026286509040333694,-0.000342168894566397,True,3,3,收敛较充分,-0.38827493261455526,0.2976596782057533,-0.018170019467878107,0.01587232086170287,-0.0707170822782518,,0.009115162294353052,40.88,40.34,0.11032289628180036,0.125185919682697,True,1,2026-08-17,创业板20%,18,20.004690431519712,True,True,True,True,True,True,True,True,False,True,True,True,3,1,1,1,3,0,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301211,亨迪药业,11.84,0.023336214347450257,0.07149321266968323,0.020689655172413834,-0.05052125100240579,0.15964740450538684,0.12547528517110274,,0.10540788267644366,-0.1338697878566203,0.14732965009208118,0.7154560036663606,9152537.0,9750748.5,0.9386496841755276,0.0224512753222968,0.02334969482495535,0.9615232871609803,True,0.012902085542594532,-0.005534417156693006,True,3,3,收敛较充分,-0.21066666666666667,0.4724540901502504,-0.00583567740039459,0.007144842924659445,0.019243876618762368,,0.029565217391304355,10.91,10.86,0.08524289642529781,0.09023941068139973,True,1,2026-08-19,创业板20%,18,19.96699669966997,True,True,True,True,True,True,True,True,False,True,True,True,3,1,1,1,3,0,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
600103,青山纸业,3.73,0.05070422535211283,0.016348773841961872,0.05070422535211283,0.29513888888888884,0.4346153846153846,0.21103896103896091,,0.17378048780487815,-0.11190476190476195,0.21449275362318845,0.8101928147659858,261260587.0,468351293.1,0.5578303953656789,0.12679511898575183,0.21170055771545443,0.5989361594227657,True,-0.021822149481723896,-0.005339028296849957,False,3,2,部分收敛/待确认,-0.3467600700525394,0.4018126888217523,0.013862462625713556,0.029264882141430304,0.015865306783228172,,-0.002673796791443861,3.28,3.28,0.13719512195121952,0.13719512195121952,True,5,2026-09-07,沪深主板10%,18,10.158730158730167,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
600378,昊华科技,48.0,0.017164653528289886,0.057501652346331866,0.049180327868852514,0.01608806096528359,0.09839816933638446,-0.2295345104333868,,0.13118527042577666,-0.12168344007319298,0.24544211485870546,0.5344855771850587,52069037.2,83265138.9,0.62534018303307,0.05152190198034575,0.07763176191621987,0.6636703935168718,True,0.01169715926132242,-0.0025197450610879857,True,3,3,收敛较充分,-0.4551645856980704,0.3083822007588824,0.009325749371799974,0.010978213230408151,-0.05100365446745414,,-0.010309278350515427,43.45,43.45,0.10471806674338313,0.10471806674338313,True,2,2026-08-28,沪深主板10%,18,10.011350737797976,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
