股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000626,远大控股,成功,26,global-cache+sina,global-cache,per-stock-incremental,20,
000868,安凯客车,成功,26,sina,sina,deep-backfill,26,
002285,世联行,成功,26,sina,sina,deep-backfill,26,
002442,龙星科技,成功,26,sina,sina,deep-backfill,26,
002487,大金重工,成功,26,sina,sina,deep-backfill,26,
002617,露笑科技,成功,26,sina,sina,deep-backfill,26,
002669,康达新材,成功,26,sina,sina,deep-backfill,26,
002806,华锋股份,成功,26,sina,sina,deep-backfill,26,
002824,和胜股份,成功,26,sina,sina,deep-backfill,26,
003001,中岩大地,成功,26,sina,sina,deep-backfill,26,
300112,万讯自控,成功,26,sina,sina,deep-backfill,26,
300151,昌红科技,成功,26,sina,sina,deep-backfill,26,
300689,澄天伟业,成功,26,sina,sina,deep-backfill,26,
301297,富乐德,成功,26,sina,sina,deep-backfill,26,
301373,凌玮科技,成功,26,sina,sina,deep-backfill,26,
301390,经纬股份,成功,26,sina,sina,deep-backfill,26,
301486,致尚科技,成功,26,sina,sina,deep-backfill,26,
301520,万邦医药,成功,26,sina,sina,deep-backfill,26,
600059,古越龙山,成功,26,sina,sina,deep-backfill,26,
601218,吉鑫科技,成功,26,sina,sina,deep-backfill,26,
603155,新亚强,成功,26,sina,sina,deep-backfill,26,
603230,内蒙新华,成功,26,sina,sina,deep-backfill,26,
603897,长城科技,成功,26,sina,sina,deep-backfill,26,
688035,德邦科技,成功,26,sina,sina,deep-backfill,26,
688216,气派科技,成功,26,sina,sina,deep-backfill,26,
688835,高凯技术,成功,18,sina,sina,deep-backfill,18,
